
[00:00:00.000 --> 00:00:10.000]  大家好,今次是我豈能代替神,誰夠膽代替神?
[00:00:10.000 --> 00:00:15.000]  不過話說回來,我們時時都自己去代替神
[00:00:15.000 --> 00:00:21.000]  今日生命說書的網絡為大家預備了聖經人和聖經的故事
[00:00:21.000 --> 00:00:25.000]  讓我們一齊去看看我們的上帝和這個故事
[00:00:25.000 --> 00:00:31.000]  今天的主人翁仍然是弱失,他說了這句說話,這句說話真是好
[00:00:31.000 --> 00:00:37.000]  我都要時時記住這句說話,希望你都記得,我怎能夠代替神呢?
[00:00:37.000 --> 00:00:44.000]  看看經文,創世紀去到第五十章是最尾那一章,創世紀
[00:00:44.000 --> 00:00:50.000]  第十五節,這個時間瓦國已經死了
[00:00:50.000 --> 00:00:59.000]  弱失的哥哥們見父親死了,就說去到這個時間危險了
[00:00:59.000 --> 00:01:05.000]  因為或者,未必,或者弱失懷恨我們
[00:01:05.000 --> 00:01:11.000]  不是呀,他對我們幾好,沒什麼問題,都沒有什麼心懷怨恨
[00:01:11.000 --> 00:01:15.000]  叫我們不要自憂自恨,就這樣說這裡
[00:01:15.000 --> 00:01:22.000]  但是有些就會想,或者他其實裝得很漂亮,可能他是懷恨我們
[00:01:22.000 --> 00:01:29.000]  會照著我們從前代他一切的惡,足足地報復我們
[00:01:29.000 --> 00:01:33.000]  你會看到現在很多世界上的事都是
[00:01:33.000 --> 00:01:43.000]  就是很多時候那個人的行為,說話是由裡面浮出來
[00:01:43.000 --> 00:01:50.000]  然後投射在別人身上,如果是那些叫什麼呢?
[00:01:50.000 --> 00:01:54.000]  我想偷襲你,然後就說你為什麼要偷襲我?
[00:01:54.000 --> 00:01:57.000]  他會先告別人,很有趣的
[00:01:57.000 --> 00:02:02.000]  又或者是,鬼鬼祟祟,是不是想偷錢?
[00:02:02.000 --> 00:02:07.000]  其實他自己有個心想偷人錢,他才會看到別人想偷錢
[00:02:07.000 --> 00:02:15.000]  整天看著我,為什麼這樣?有什麼企圖?其實他是自己先有企圖
[00:02:15.000 --> 00:02:17.000]  他才會覺得別人有的
[00:02:17.000 --> 00:02:23.000]  這班弟弟,或者哥哥的弟弟,沒有弟弟,哥哥就會在這裡說
[00:02:23.000 --> 00:02:29.000]  他會好像從前我們代他那樣,足足地報復我們
[00:02:29.000 --> 00:02:33.000]  其實就是他們自己這個人心凶宅,他們會
[00:02:33.000 --> 00:02:37.000]  不過於是由於這樣,他們會看到別人會
[00:02:37.000 --> 00:02:42.000]  他看不到弱勢那種胸襟的廣闊,他看不到他的靈性
[00:02:42.000 --> 00:02:45.000]  就是將自己投射在那裡
