
[00:00:00.000 --> 00:00:04.000]  這樣有機會來到第二天去分享上帝的話語
[00:00:04.000 --> 00:00:07.000]  讓我們聽到之前 我們同心吐高
[00:00:07.000 --> 00:00:16.000]  全能的父神 感謝你的看顧和保守
[00:00:16.000 --> 00:00:19.000]  願聖靈在我們當中去運行
[00:00:19.000 --> 00:00:23.000]  給我們每一個人都有受教的耳朵
[00:00:23.000 --> 00:00:26.000]  我們將你真理的說話聽進去
[00:00:26.000 --> 00:00:30.000]  由願聖靈去開我們的心門
[00:00:30.000 --> 00:00:33.000]  我們將你的話藏在心中去反復思量
[00:00:33.000 --> 00:00:35.000]  如我口中的言語
[00:00:35.000 --> 00:00:38.000]  並重弟兄姊妹的心思 意念
[00:00:38.000 --> 00:00:40.000]  都蒙父神的月立
[00:00:40.000 --> 00:00:42.000]  吐個福我主耶穌基督的名求
[00:00:42.000 --> 00:00:44.000]  阿們
[00:00:44.000 --> 00:00:46.000]  各位弟兄姊妹
[00:00:46.000 --> 00:00:48.000]  想問下你們一個問題
[00:00:48.000 --> 00:00:52.000]  就是 最近你們快不快樂呢
[00:00:55.000 --> 00:00:59.000]  相信在過去這幾年
[00:00:59.000 --> 00:01:03.000]  可能我們大部份人都未必是很快樂
[00:01:03.000 --> 00:01:08.000]  最近有一個問卷調查
[00:01:08.000 --> 00:01:13.000]  就是全港精神健康指數的調查
[00:01:13.000 --> 00:01:16.000]  這個調查好像很新穎
[00:01:16.000 --> 00:01:20.000]  但原來在香港已經做了十一年
[00:01:20.000 --> 00:01:24.000]  連續十一年香港都有參加這個調查
[00:01:24.000 --> 00:01:26.000]  去年的年底
[00:01:26.000 --> 00:01:30.000]  政府公佈了這個調查結果
[00:01:30.000 --> 00:01:34.000]  就是2022年的調查結果
[00:01:34.000 --> 00:01:36.000]  那是怎樣呢
[00:01:36.000 --> 00:01:39.000]  世衛的指標就說
[00:01:39.000 --> 00:01:42.000]  分數怎樣才算合格呢
[00:01:42.000 --> 00:01:45.000]  就說52分就算合格
[00:01:45.000 --> 00:01:50.000]  不知道你猜一下香港合不合格呢
[00:01:50.000 --> 00:01:55.000]  是啊 在上年2022年
[00:01:55.000 --> 00:01:59.000]  我們可以再下多一張powerpoint
[00:01:59.000 --> 00:02:03.000]  原來在上年2022年
[00:02:03.000 --> 00:02:09.000]  平均香港人是拿到47.64分
[00:02:09.000 --> 00:02:11.000]  還記得多少分合格嗎
[00:02:11.000 --> 00:02:13.000]  52分 是不是
[00:02:13.000 --> 00:02:15.000]  即是差一點
[00:02:15.000 --> 00:02:19.000]  其實原來都不只是2022年不合格
[00:02:19.000 --> 00:02:23.000]  原來連續五年香港都不合格
[00:02:23.000 --> 00:02:27.000]  似乎我們香港人快不快樂呢
[00:02:27.000 --> 00:02:30.000]  我們的心理精神健康如何呢
[00:02:30.000 --> 00:02:34.000]  我們都看到應該是一個警號
[00:02:34.000 --> 00:02:36.000]  連續五年
[00:02:36.000 --> 00:02:40.000]  前陣子不知道大家有沒有看劇集
[00:02:40.000 --> 00:02:43.000]  我們可以看下一張powerpoint
[00:02:45.000 --> 00:02:49.000]  前陣子有一套劇集
[00:02:49.000 --> 00:02:50.000]  不知道你們知不知道是哪一套
[00:02:50.000 --> 00:02:52.000]  我不會賣廣告的
[00:02:52.000 --> 00:02:53.000]  我也有看過
[00:02:53.000 --> 00:02:56.000]  一套韓國的復仇劇
[00:02:56.000 --> 00:03:02.000]  這套劇一出的時候就引起社會很大的迴響
[00:03:02.000 --> 00:03:06.000]  因為是講述女主角
[00:03:06.000 --> 00:03:10.000]  中學的時候在校園被欺凌
[00:03:10.000 --> 00:03:13.000]  是一個受害者
[00:03:13.000 --> 00:03:17.000]  後來她如何處心積慮去做復仇呢
[00:03:17.000 --> 00:03:20.000]  這套劇一出的時候大家就很喜歡看了
[00:03:20.000 --> 00:03:21.000]  最喜歡是什麼呢
[00:03:21.000 --> 00:03:25.000]  就是那套劇講明是不講和的
[00:03:25.000 --> 00:03:28.000]  因為最怕是後來爛尾
[00:03:28.000 --> 00:03:31.000]  又說加大歡喜又講和
[00:03:31.000 --> 00:03:32.000]  然後悔改
[00:03:32.000 --> 00:03:34.000]  最不喜歡這些
[00:03:34.000 --> 00:03:37.000]  講明這套劇最後是絕對復仇的
[00:03:37.000 --> 00:03:38.000]  絕對不原諒的
[00:03:38.000 --> 00:03:40.000]  大家很懺悔
[00:03:40.000 --> 00:03:43.000]  因為在現實之中
[00:03:43.000 --> 00:03:50.000]  在韓國都是被欺凌的事情常常發生
[00:03:50.000 --> 00:03:52.000]  原來在2017年
[00:03:52.000 --> 00:03:56.000]  韓國有些機構做了一些調查
