
[00:00:00.000 --> 00:00:05.120]  我們今天的題目是合臣心意的領袖
[00:00:05.120 --> 00:00:09.700]  我曾經在網上看過一個食物公司
[00:00:09.700 --> 00:00:13.460]  當他找下一任的行政總裁的時候
[00:00:13.460 --> 00:00:17.220]  他列出了下面14個條件
[00:00:17.220 --> 00:00:20.420]  我們又看看在這個商業的社會裡面
[00:00:20.420 --> 00:00:24.680]  他們怎樣去找下一個的領袖
[00:00:24.680 --> 00:00:26.480]  他說第一件事
[00:00:26.480 --> 00:00:31.640]  誰在公司裡面是最多人認識的人
[00:00:31.640 --> 00:00:32.960]  不單止是這樣
[00:00:32.960 --> 00:00:38.880]  更加是在公司裡面誰最多人喜愛和信任他呢
[00:00:38.880 --> 00:00:40.420]  不單止在公司裡面
[00:00:40.420 --> 00:00:43.820]  更加在行業裡面在公司之外
[00:00:43.820 --> 00:00:46.640]  誰的名聲最好呢
[00:00:46.640 --> 00:00:47.740]  不單止是這樣
[00:00:47.740 --> 00:00:51.980]  第四他就說誰最禍心
[00:00:51.980 --> 00:00:55.480]  接著一個領袖也要有能力
[00:00:55.480 --> 00:00:58.040]  去揀選有能力的人
[00:00:58.040 --> 00:01:00.280]  不單止去揀選有能力的人
[00:01:00.280 --> 00:01:03.600]  更加願意懂得下放權力
[00:01:03.600 --> 00:01:05.480]  去給有能力的人
[00:01:05.480 --> 00:01:10.320]  這個人又要懂得處理每天的運作
[00:01:10.320 --> 00:01:14.060]  但是又要有長遠的思想
[00:01:14.060 --> 00:01:16.820]  去想公司長遠的發展
[00:01:16.820 --> 00:01:19.100]  這個人需要很大膽
[00:01:19.100 --> 00:01:21.320]  去做出一些大膽的決定
[00:01:21.320 --> 00:01:26.320]  但是在中間又要去做很精明的決定
[00:01:26.320 --> 00:01:29.560]  這個人要有開放的思想
[00:01:29.560 --> 00:01:32.240]  要在新的知識來到的時候
[00:01:32.240 --> 00:01:35.600]  他夠膽去做一個轉變的決定
[00:01:35.600 --> 00:01:39.120]  而這個人也要懂得去出盡合作
[00:01:39.120 --> 00:01:40.960]  控制互動
[00:01:40.960 --> 00:01:45.120]  但是又不可以踐踏已經發出的指引
[00:01:45.120 --> 00:01:46.700]  到了這裡我已經覺得
[00:01:46.700 --> 00:01:49.480]  有沒有這樣的人存在的
[00:01:49.480 --> 00:01:52.800]  接著第十就是這個人無論在任何的環境裏面
[00:01:52.800 --> 00:01:54.880]  都有自制的能力
[00:01:54.880 --> 00:02:00.020]  能夠按著情況作出適當的調教
[00:02:00.020 --> 00:02:05.760]  接著這個人也要能夠被信任去發展新的計劃
[00:02:05.760 --> 00:02:10.160]  這個人更加要能夠抵受重量級的職責
[00:02:10.160 --> 00:02:15.600]  這個人又要是能夠是一個人才最好的建立者
[00:02:15.600 --> 00:02:17.400]  最後我覺得這裡也挺好笑的
[00:02:17.400 --> 00:02:21.280]  最後這個人要在逆境或者順境裏面
[00:02:21.280 --> 00:02:22.800]  記得最重要的東西
[00:02:22.800 --> 00:02:24.680]  就是總裁的基本任務
[00:02:24.680 --> 00:02:27.080]  就是幫公司賺錢
[00:02:27.080 --> 00:02:28.040]  當我看完之後
[00:02:28.040 --> 00:02:32.240]  我都覺得原來真的要做一個領袖很難
[00:02:32.240 --> 00:02:35.480]  當然你說在這個商業社會裏面去找一個領袖
[00:02:35.480 --> 00:02:39.360]  但是裏面其實我覺得有很多都是很好的特質
[00:02:39.360 --> 00:02:44.360]  在裏面其實也有很多合乎聖經真理的特質
[00:02:44.360 --> 00:02:46.560]  但是今天如果我們看
[00:02:46.560 --> 00:02:50.440]  聖經的真理裏面一個合乎神意的領袖
[00:02:50.440 --> 00:02:52.440]  又應該有什麼特質呢?
[00:02:52.440 --> 00:02:56.840]  如果要從整本聖經去看一個合乎神意的領袖
[00:02:56.840 --> 00:02:58.080]  有什麼特質呢?
[00:02:58.080 --> 00:03:02.040]  大家留到五點都還沒說完的
[00:03:02.040 --> 00:03:03.920]  或者將來我們邀請陳牧師
[00:03:03.920 --> 00:03:06.760]  可以跟我們開一個一天的研習會
[00:03:06.760 --> 00:03:09.360]  只是說說領袖的特質好不好?
[00:03:09.360 --> 00:03:10.560]  好
[00:03:10.560 --> 00:03:12.600]  我幫你告訴他
[00:03:12.600 --> 00:03:14.920]  但是今天我們在崇拜裏面
[00:03:14.920 --> 00:03:16.800]  我們只有四十分鐘
[00:03:16.800 --> 00:03:21.560]  所以我們只會在聶王記上的十二和十四章裏面
[00:03:21.560 --> 00:03:23.240]  去看三個特質
[00:03:23.240 --> 00:03:26.400]  這個不是一個領袖應該有所有的特質的
[00:03:26.400 --> 00:03:31.280]  但是起碼我們能夠從聖經裏面去看三個特質
[00:03:31.280 --> 00:03:32.320]  讓我們在中間
[00:03:32.320 --> 00:03:35.760]  當我們去看到兩個皇帝的記載裏面
[00:03:35.760 --> 00:03:39.120]  給我們自己什麼學習的功課
[00:03:39.120 --> 00:03:41.640]  這個時候你可能覺得我要關機了
[00:03:41.640 --> 00:03:45.000]  因為合乎聖經心意的領袖
[00:03:45.000 --> 00:03:46.160]  我不是領袖
[00:03:46.160 --> 00:03:47.160]  所以與我無關
[00:03:47.160 --> 00:03:48.160]  有沒有人這樣想的?
[00:03:48.160 --> 00:03:48.840]  你是這樣想的
[00:03:48.840 --> 00:03:50.880]  你舉手
[00:03:50.880 --> 00:03:54.520]  舉手不代表你可以離開的
[00:03:54.520 --> 00:03:55.760]  其實我想說
[00:03:55.760 --> 00:03:58.600]  你可能覺得你自己不是公司的領袖
[00:03:58.600 --> 00:04:01.040]  甚至你又覺得自己不是教會的領袖
[00:04:01.040 --> 00:04:03.000]  但我想說其實我們每一個人
[00:04:03.000 --> 00:04:05.280]  在某個層面裏面都是領袖
[00:04:05.280 --> 00:04:06.080]  為什麼呢?
[00:04:06.080 --> 00:04:08.240]  因為在某個層面裏面
[00:04:08.240 --> 00:04:12.720]  其實神都會將管理的任務給予我們
[00:04:12.720 --> 00:04:14.240]  我問大家一個很簡單的問題
[00:04:14.240 --> 00:04:15.760]  你們便會明白的
[00:04:15.760 --> 00:04:17.200]  在你們家裏面
[00:04:17.200 --> 00:04:19.040]  如果你和家人一起坐
[00:04:19.040 --> 00:04:20.800]  你都可以告訴我
[00:04:20.800 --> 00:04:22.160]  在你們家裏面
[00:04:22.160 --> 00:04:24.880]  誰負責出去吃飯的時候
