
[00:00:00.000 --> 00:00:03.960]  "直我自欣福"
[00:00:03.960 --> 00:00:05.600]  各位聽眾朋友平安
[00:00:05.600 --> 00:00:07.760]  有一首歌在年輕的時候
[00:00:07.760 --> 00:00:09.400]  很多人都很喜歡唱
[00:00:09.400 --> 00:00:11.760]  就是"直我自欣福"
[00:00:11.760 --> 00:00:13.960]  原來我們好像一個頻道
[00:00:13.960 --> 00:00:15.760]  一個管道一樣
[00:00:15.760 --> 00:00:17.720]  神的福氣 神的祝福
[00:00:17.720 --> 00:00:20.320]  要透過我們身上流露出去
[00:00:20.320 --> 00:00:22.120]  今天有太多人
[00:00:22.120 --> 00:00:24.320]  他們真的在很多仇犯
[00:00:24.320 --> 00:00:26.400]  在很多苦惱的裡面
[00:00:26.400 --> 00:00:28.000]  但是直著我
[00:00:28.000 --> 00:00:30.320]  求你叫我成為一個祝福
[00:00:30.320 --> 00:00:32.320]  去感動別人
[00:00:32.320 --> 00:00:35.320]  去懂得去數算神的恩典
[00:00:35.320 --> 00:00:37.800]  去慰神賜下各樣的東西
[00:00:37.800 --> 00:00:39.800]  讓我有生命氣息
[00:00:39.800 --> 00:00:42.320]  讓我可以在床上起身
[00:00:42.320 --> 00:00:44.320]  讓我今天有衣有食
[00:00:44.320 --> 00:00:46.000]  有了這一切
[00:00:46.000 --> 00:00:48.200]  我就懂得去謝恩
[00:00:48.200 --> 00:00:51.720]  我知道"直我自欣福"這首歌
[00:00:51.720 --> 00:00:53.920]  是一首舊歌
[00:00:53.920 --> 00:00:57.120]  很多人都說劉牧師你這麼老套
[00:00:57.120 --> 00:00:59.920]  還唱這麼古老的詩歌
[00:00:59.920 --> 00:01:02.520]  現在沒有人唱了
[00:01:02.520 --> 00:01:05.520]  現在全是現代讚美詩歌
[00:01:05.520 --> 00:01:07.720]  我想告訴各位
[00:01:07.720 --> 00:01:11.720]  沒錯 現代人會為很多事情煩惱
[00:01:11.720 --> 00:01:14.120]  我很明白大家的心情
