
[00:00:00.000 --> 00:00:03.860]  舊約聖經三十九卷
[00:00:03.860 --> 00:00:08.400]  你知道其中有多少卷是先知書嗎?
[00:00:08.400 --> 00:00:11.320]  其實很容易記
[00:00:11.320 --> 00:00:17.360]  三十九卷可以分開五個部份
[00:00:17.360 --> 00:00:23.520]  簡單說是三個五加兩打
[00:00:23.520 --> 00:00:25.040]  記得嗎?
[00:00:25.040 --> 00:00:28.320]  摩西五經創出利民生
[00:00:28.320 --> 00:00:31.360]  這是第一個五
[00:00:31.360 --> 00:00:34.160]  詩歌自慰書
[00:00:34.160 --> 00:00:37.400]  白詩針全歌
[00:00:37.400 --> 00:00:41.160]  是中間的五卷
[00:00:41.160 --> 00:00:44.880]  第三個大先知書
[00:00:44.880 --> 00:00:49.120]  塞耶哀結誕
[00:00:49.120 --> 00:00:52.720]  然後兩個十二的書卷
[00:00:52.720 --> 00:00:55.040]  是歷史書
[00:00:55.040 --> 00:00:56.480]  不跟你背了
[00:00:56.480 --> 00:01:02.000]  舒士德薩王代拉尼斯
[00:01:02.000 --> 00:01:04.600]  十二小先知書
[00:01:04.600 --> 00:01:08.160]  我們一般華人教會是這樣稱呼
[00:01:08.160 --> 00:01:09.680]  荷爾摩
[00:01:09.680 --> 00:01:11.040]  瓦那尼
[00:01:11.040 --> 00:01:13.120]  洪哈芬
[00:01:13.120 --> 00:01:15.760]  蓋亞瑪
[00:01:15.760 --> 00:01:19.480]  所以你不用緊張
[00:01:19.480 --> 00:01:22.560]  三十九卷中間那卷是甚麼
[00:01:22.560 --> 00:01:23.640]  一定是詩篇
[00:01:23.640 --> 00:01:25.480]  不是
[00:01:25.480 --> 00:01:30.000]  是,你打開聖經中間那卷一定是詩篇
[00:01:30.000 --> 00:01:32.400]  不過如果你要數
[00:01:32.400 --> 00:01:35.920]  就不用由《創世紀》開始數到第二十卷
[00:01:35.920 --> 00:01:37.840]  那就是中間了
[00:01:37.840 --> 00:01:40.640]  現在中間過半數很緊張
[00:01:40.640 --> 00:01:43.200]  270票
[00:01:43.200 --> 00:01:46.920]  差多少?
[00:01:46.920 --> 00:01:48.800]  你數中間那五卷
[00:01:48.800 --> 00:01:52.200]  白詩針全歌
[00:01:52.200 --> 00:01:58.920]  你知道舊約聖經是針研在最中間一卷
[00:01:58.920 --> 00:02:00.200]  不過這些都是其次
[00:02:00.200 --> 00:02:03.960]  今晚我們想提的不是聖經目錄
[00:02:03.960 --> 00:02:10.840]  這個是小時候在團契補儉練習的時候
[00:02:10.840 --> 00:02:14.200]  一定要考的
[00:02:14.200 --> 00:02:15.640]  我想指出的就是
