
[00:00:00.000 --> 00:00:01.460]  今天的講道就是
[00:00:01.460 --> 00:00:04.980]  我們都是按照教會的安排
[00:00:04.980 --> 00:00:06.980]  亦都是今年的主題
[00:00:06.980 --> 00:00:09.980]  我們是要興起什麼?
[00:00:09.980 --> 00:00:11.300]  發光
[00:00:11.300 --> 00:00:13.140]  你們說的 不是我說的
[00:00:13.140 --> 00:00:14.380]  興起什麼?
[00:00:14.380 --> 00:00:15.220]  發光
[00:00:15.220 --> 00:00:18.980]  當然教會就用了聖經裡不同的人物
[00:00:18.980 --> 00:00:21.500]  去透過他們的心靈
[00:00:21.500 --> 00:00:22.780]  他們的見證
[00:00:22.780 --> 00:00:25.660]  如何鼓勵我們能夠在這個世代
[00:00:25.660 --> 00:00:29.060]  能夠繼續為主興起發光
[00:00:29.060 --> 00:00:33.580]  而今天我的人物的分享就是
[00:00:33.580 --> 00:00:37.340]  紐約裡面的約書亞
[00:00:37.340 --> 00:00:40.500]  當然約書亞我們可能聽過無數次
[00:00:40.500 --> 00:00:41.260]  都不奇怪
[00:00:41.260 --> 00:00:43.020]  特別是《信主內》的第一姐妹
[00:00:43.020 --> 00:00:44.660]  可能聽過真是無數次
[00:00:44.660 --> 00:00:47.500]  特別第一章 由第一節到第九節
[00:00:47.500 --> 00:00:48.580]  可能我們這些第一姐妹
[00:00:48.580 --> 00:00:49.380]  會背都不奇怪
[00:00:49.380 --> 00:00:51.500]  因為裡面有很多個重複的
[00:00:51.500 --> 00:00:53.100]  所以可能會背都不奇怪
[00:00:53.100 --> 00:00:55.420]  不過當我自己去思考
[00:00:55.420 --> 00:00:58.860]  約書亞和興起發光的時候
[00:00:58.860 --> 00:01:01.380]  我想神秘有一個感動就是
[00:01:01.380 --> 00:01:03.500]  將這個題目
[00:01:03.500 --> 00:01:08.300]  就是約書亞為什麼可以為主來發光呢
[00:01:08.300 --> 00:01:11.700]  就是因為他信神的道
[00:01:11.700 --> 00:01:15.220]  但他也是走出神的道
[00:01:15.220 --> 00:01:17.780]  我們讀一讀這九節的聖經
[00:01:17.780 --> 00:01:19.340]  我們一起讀一讀這九節的聖經
[00:01:19.340 --> 00:01:20.820]  準備 1 2 3
