
[00:00:00.000 --> 00:00:03.480]  為什麼我們要去讀聖經?為什麼讀聖經那麼重要?
[00:00:03.480 --> 00:00:06.080]  如果你平時有聽我講道
[00:00:06.080 --> 00:00:11.640]  可能你也有聽過我很喜歡的提摩太后書第三章第十六節
[00:00:11.640 --> 00:00:13.400]  聖經都是神所
[00:00:13.400 --> 00:00:15.680]  如果你本聖經通常是默示的
[00:00:15.680 --> 00:00:20.680]  但是應該更好的翻譯是都是神所呼出的原文
[00:00:20.680 --> 00:00:22.960]  好像上帝吹氣出來的
[00:00:22.960 --> 00:00:27.440]  於教訓督責使人歸正教導人學義都是有益的
[00:00:27.440 --> 00:00:31.560]  叫屬神的人得以完全預備行各樣的善事
[00:00:31.560 --> 00:00:34.240]  他說聖經都是神所呼出的
[00:00:34.240 --> 00:00:36.680]  是上帝所呼出的靈氣
[00:00:36.680 --> 00:00:42.000]  其實很多新約的聖經都是有舊約背景的
[00:00:42.000 --> 00:00:44.520]  保羅自己也是一個猶太人
[00:00:44.520 --> 00:00:46.280]  猶太人的拉比
[00:00:46.280 --> 00:00:48.600]  保羅在想什麼呢?
[00:00:48.600 --> 00:00:50.920]  他說聖經都是上帝所呼出的
[00:00:50.920 --> 00:00:53.800]  如果你想一下這個呼出的靈氣
[00:00:53.800 --> 00:00:57.960]  可能你第一樣東西會想到就是創世紀裏面
[00:00:57.960 --> 00:01:00.200]  上帝吹氣下來亞當
[00:01:00.200 --> 00:01:01.880]  亞當成為一個活人
[00:01:01.880 --> 00:01:03.680]  但是在舊約聖經裏面
[00:01:03.680 --> 00:01:06.600]  有另外一邊是講道上帝的呼氣
[00:01:06.600 --> 00:01:09.440]  令到我們叫做起死回生
[00:01:09.440 --> 00:01:13.800]  那個故事就是在以西傑書第三十七章
[00:01:13.800 --> 00:01:15.520]  Valley of Dry Bones
[00:01:15.520 --> 00:01:21.800]  這個枯乾的骸骨有個平原
[00:01:21.800 --> 00:01:24.880]  最後就是上帝問以西傑
[00:01:24.880 --> 00:01:27.720]  你說這些骸骨可不可以復原呢?
[00:01:27.720 --> 00:01:29.680]  可不可以復活呢?
[00:01:29.680 --> 00:01:34.760]  上帝不單止讓他們有肌肉、有身體
[00:01:34.760 --> 00:01:36.200]  然後骸骨可以復活
[00:01:36.200 --> 00:01:39.120]  最重要的那件事就是上帝的靈
[00:01:39.120 --> 00:01:40.640]  來到他們的當中
[00:01:40.640 --> 00:01:46.800]  吹氣到這些骸骨裏面
[00:01:46.800 --> 00:01:51.880]  最後創造出來是一個極大的軍隊
[00:01:51.880 --> 00:01:53.600]  所以我們今天的目標
[00:01:53.600 --> 00:01:54.920]  為什麼要去讀聖經呢?
[00:01:54.920 --> 00:02:00.120]  除了上帝可以個人讓我們自己成為一個
[00:02:00.120 --> 00:02:01.640]  有靈的活物
[00:02:01.640 --> 00:02:04.760]  真正重生的基督徒之外
[00:02:04.760 --> 00:02:06.640]  另外一樣東西很重要的就是
[00:02:06.640 --> 00:02:12.680]  我們總體上教會成為一個強大的軍隊
[00:02:12.680 --> 00:02:14.920]  而沒有了聖經是不行的
[00:02:14.920 --> 00:02:17.160]  所以這個是我們最終的意象
[00:02:17.160 --> 00:02:18.440]  希望大家都記住
[00:02:18.440 --> 00:02:24.080]  我們要成為一個復活的骸骨
[00:02:24.080 --> 00:02:27.000]  也都是成為一個強大的軍隊
[00:02:27.000 --> 00:02:33.880]  今天既然是《創世紀》第一章開始讀
[00:02:33.880 --> 00:02:37.400]  我想都想和大家讀一兩節《創世紀》
[00:02:37.400 --> 00:02:39.080]  之前我們做《創世紀》查經
[00:02:39.080 --> 00:02:43.240]  都是有思想過非常有意思的聖經
[00:02:43.240 --> 00:02:45.600]  「起初上帝創造天地
[00:02:45.600 --> 00:02:47.800]  地是空虛混沌
[00:02:47.800 --> 00:02:49.880]  深淵上面一片黑暗
[00:02:49.880 --> 00:02:52.880]  上帝的靈運作在水面」
[00:02:52.880 --> 00:02:54.960]  聖經學者告訴我們
[00:02:54.960 --> 00:02:59.000]  他說在上帝創造天地這個圖畫當中
[00:02:59.000 --> 00:03:01.800]  他說「起初地是空虛混沌」
[00:03:01.800 --> 00:03:04.440]  就是代表有些東西很不整齊
[00:03:04.440 --> 00:03:05.880]  它是混亂
[00:03:05.880 --> 00:03:12.520]  現在上帝要將這個混沌變成最後有條理
[00:03:12.520 --> 00:03:14.520]  我們有次序
[00:03:14.520 --> 00:03:18.200]  另外一樣東西就說「深淵上面一片黑暗」
[00:03:18.200 --> 00:03:26.960]  這個彷彿是代表了黑暗對光明的一種抗拒
[00:03:26.960 --> 00:03:31.880]  而在當中上帝的靈來到我們當中
[00:03:31.880 --> 00:03:33.480]  也都上帝開始說話
[00:03:33.480 --> 00:03:35.080]  如果你記得上帝的說話
[00:03:35.080 --> 00:03:36.960]  第一句話「Let there be light」
[00:03:36.960 --> 00:03:39.000]  讓這裡有光
[00:03:39.000 --> 00:03:45.200]  這個光當然是照亮了這個黑暗等等
[00:03:45.200 --> 00:03:48.360]  這個故事就是一個創造的故事
[00:03:48.360 --> 00:03:50.720]  但是我記得我前一段時間
[00:03:50.720 --> 00:03:53.040]  和一些大英姐妹茶經的時候就問他們
[00:03:53.040 --> 00:03:56.000]  你猜創世紀是寫給誰的呢?
[00:03:56.000 --> 00:04:00.840]  創世紀其實是寫給那些出現埃及的猶太人
[00:04:00.840 --> 00:04:05.840]  所以這個故事其實不是單單說創造的
