
[00:00:00.000 --> 00:00:03.000]  主讓你敬拜一靈,繼續在我們當中
[00:00:03.000 --> 00:00:06.000]  主要帶領我們更深的進到祢的同在裡邊
[00:00:06.000 --> 00:00:10.000]  讓我們進到祢的致勝所,沾揚祢的榮美
[00:00:10.000 --> 00:00:12.000]  我們奉耶穌基督的名,吩咐一切
[00:00:12.000 --> 00:00:15.000]  心硬驕傲,攔阻我們去領受主祢的教導
[00:00:15.000 --> 00:00:17.000]  這一切都要離開我們
[00:00:17.000 --> 00:00:20.000]  不屬於祢的都要離開這個地方,離開頂姐妹的身心靈
[00:00:20.000 --> 00:00:23.000]  主讓我們這個地方是屬於耶穌基督
[00:00:23.000 --> 00:00:27.000]  所以坐在寶座上的羔羊,繼續在我們當中
[00:00:27.000 --> 00:00:31.000]  我們頂姐妹的身體,聖靈的電,求聖靈掌管我們每一位
[00:00:31.000 --> 00:00:34.000]  讓我們這個時間分別為聖,歸向祢
[00:00:34.000 --> 00:00:36.000]  求主讓你繼續跟我們講說話
[00:00:36.000 --> 00:00:39.000]  聽我們的禱告,奉耶穌基督的德性的名
[00:00:39.000 --> 00:00:41.000]  Amen,頂姐妹請坐
[00:00:41.000 --> 00:00:47.000]  很久之前有三個秀才入京考試
[00:00:47.000 --> 00:00:49.000]  他們同住在一間客棧
[00:00:49.000 --> 00:00:52.000]  這一天秀才在A就沒什麼事做
[00:00:52.000 --> 00:00:54.000]  就叫客棧的老闆
[00:00:54.000 --> 00:00:58.000]  你猜猜我們三個今年哪個高中狀元
[00:00:58.000 --> 00:01:01.000]  客棧的老闆就這樣跟他說
[00:01:01.000 --> 00:01:04.000]  今年是C狀元高中
[00:01:04.000 --> 00:01:07.000]  明年是C秀才高中
[00:01:07.000 --> 00:01:09.000]  明年是B秀才高中
[00:01:09.000 --> 00:01:13.000]  至於你A秀才,你就一定考不到
[00:01:13.000 --> 00:01:15.000]  結果怎麼樣呢?
[00:01:15.000 --> 00:01:17.000]  結果老闆全部都猜中了
[00:01:17.000 --> 00:01:23.000]  很多年後,A秀才就來找客棧老闆
[00:01:23.000 --> 00:01:25.000]  就不是找他算帳
[00:01:25.000 --> 00:01:28.000]  他問老闆,為什麼你這麼聰明
[00:01:28.000 --> 00:01:31.000]  當年全部猜中了我們考不考得到呢?
[00:01:31.000 --> 00:01:33.000]  老闆說很簡單
[00:01:33.000 --> 00:01:37.000]  當日你們三位秀才走進客棧的時間
[00:01:37.000 --> 00:01:41.000]  C秀才就向我深深的鞠躬
[00:01:41.000 --> 00:01:44.000]  B秀才就向我拱手作泣
[00:01:44.000 --> 00:01:48.000]  而你A秀才就只是對我笑一笑
[00:01:48.000 --> 00:01:52.000]  從你們三個的態度,我就可以猜到結果了
[00:01:52.000 --> 00:01:53.000]  為什麼呢?
[00:01:53.000 --> 00:01:55.000]  因為越有學識的人
[00:01:55.000 --> 00:01:59.000]  就越懂得用身體語言去表達那種謙卑
[00:01:59.000 --> 00:02:04.000]  等於我們今天每一位跟從耶穌的人都是一樣
[00:02:04.000 --> 00:02:06.000]  越認識耶穌的人
[00:02:06.000 --> 00:02:11.000]  就越學會去謙卑、屈膝、俯伏
[00:02:11.000 --> 00:02:15.000]  敬拜獨一的真神,耶穌基督
[00:02:15.000 --> 00:02:18.000]  敬拜希伯來文叫Shahar
[00:02:18.000 --> 00:02:20.000]  是代表跪拜
[00:02:20.000 --> 00:02:23.000]  而希臘文就更全神了
[00:02:23.000 --> 00:02:24.000]  Poskurno
[00:02:24.000 --> 00:02:29.000]  其實是整個人俯伏,趴著去敬拜神
[00:02:29.000 --> 00:02:31.000]  其實兩個字都指向一樣東西
[00:02:31.000 --> 00:02:36.000]  就是人用身體語言謙卑地去敬拜上帝
[00:02:36.000 --> 00:02:39.000]  請問你的敬拜生命是怎樣的呢?
[00:02:39.000 --> 00:02:42.000]  今天我們講到主角大衛
[00:02:42.000 --> 00:02:46.000]  大衛是一個真誠投入的敬拜者
[00:02:46.000 --> 00:02:49.000]  大衛的生命充滿敬拜讚美
[00:02:49.000 --> 00:02:54.000]  在聖經說大衛建立了288人的敬拜隊
[00:02:54.000 --> 00:02:56.000]  一直在敬拜上帝
[00:02:56.000 --> 00:02:59.000]  大衛成為以色列王的時候
[00:02:59.000 --> 00:03:04.000]  他迎接代表神同在的約櫃進入耶路撒冷城
[00:03:04.000 --> 00:03:06.000]  當約櫃進入城的時候
