
[00:00:00.000 --> 00:00:04.720]  請我們低頭,我們一齊同心祈禱
[00:00:04.720 --> 00:00:08.760]  親愛的天父,我們真的祈求祢,復興祢的教會
[00:00:08.760 --> 00:00:16.160]  讓我們在祢的面前,我們的愛心,我們的信心,我們的盼望都不斷地加增
[00:00:16.160 --> 00:00:19.640]  求祢激勵我們,讓我們愛祢更深
[00:00:19.640 --> 00:00:22.840]  多謝祢帶領我們今早能夠回到祢的家
[00:00:22.840 --> 00:00:25.040]  我們一同的來到親近祢
[00:00:25.040 --> 00:00:28.040]  現在我們打開祢的話,來去閱讀
[00:00:28.040 --> 00:00:31.280]  求祢將祢的真理賜給我們
[00:00:31.280 --> 00:00:34.800]  要讓我們將祢的真理藏在心中
[00:00:34.800 --> 00:00:37.040]  免得我們得罪祢
[00:00:37.040 --> 00:00:41.360]  我們這樣仰望,祈禱奉耶穌基督的名球
[00:00:41.360 --> 00:00:42.360]  阿門
[00:00:42.360 --> 00:00:50.720]  我非常敬佩一位牧者,就是滕振輝牧師
[00:00:50.720 --> 00:00:56.040]  他是多年來擔任宣道會北角堂的主任牧師
[00:00:56.040 --> 00:01:01.640]  還有一段時間,他也是中國神學研究院的院長
[00:01:01.640 --> 00:01:07.440]  他一生忠心,很辛勤地來為神工作
[00:01:07.440 --> 00:01:10.720]  他寫了很多本屬靈的書籍
[00:01:10.720 --> 00:01:15.640]  帶給弟兄姊妹很多生命的詛咒
[00:01:15.640 --> 00:01:19.960]  當我有機會出席他的安息禮拜的時候
[00:01:19.960 --> 00:01:23.800]  我就聽到北宣的一些弟兄姊妹在那裡說
[00:01:23.800 --> 00:01:27.720]  滕牧師為神做了那麼多事
[00:01:27.720 --> 00:01:34.200]  是不是他在天國裡面會得到很大的獎賞?
[00:01:34.200 --> 00:01:39.960]  我不知各位,當你聽見一位很努力侍奉神的人
[00:01:39.960 --> 00:01:43.280]  他離開了,他回到天父懷中
[00:01:43.280 --> 00:01:49.400]  是不是在天上,神會為他預備有很多的獎賞
[00:01:49.400 --> 00:01:51.280]  很多的賞賜?
[00:01:51.280 --> 00:01:53.920]  我不知道你的答案是什麼
[00:01:53.920 --> 00:01:59.880]  彼得他同樣也有一個疑問
[00:01:59.880 --> 00:02:03.800]  彼得他的疑問是什麼呢?
[00:02:03.800 --> 00:02:05.920]  我們一起來看一看
[00:02:05.920 --> 00:02:10.160]  我想請大家打開《馬太福音》第十九章
[00:02:10.160 --> 00:02:11.880]  我們跳前一章
[00:02:11.880 --> 00:02:15.920]  我們看看到底彼得提了一個什麼疑問
[00:02:15.920 --> 00:02:21.240]  希望你打開了聖經就不要蓋住了
[00:02:21.240 --> 00:02:25.000]  找到第二十七節
[00:02:25.000 --> 00:02:27.800]  我請大家一起讀出來
[00:02:27.800 --> 00:02:31.320]  彼得就對他說
[00:02:31.320 --> 00:02:36.720]  看啊,我們已經撇下所有的跟從你
[00:02:36.720 --> 00:02:40.200]  將來我們要得什麼呢?
[00:02:40.200 --> 00:02:44.320]  彼得代表所有的門徒去問耶穌
[00:02:44.320 --> 00:02:49.040]  我們撇下了那麼多東西跟從你
[00:02:49.040 --> 00:02:53.880]  將來我們要得些什麼呢?
[00:02:53.880 --> 00:02:57.120]  你猜耶穌會怎樣答呢?
[00:02:57.120 --> 00:03:01.120]  耶穌是不是會因著他們已經撇下所有的
[00:03:01.120 --> 00:03:03.480]  將來他們會得更多呢?
[00:03:03.480 --> 00:03:07.440]  於是接著耶穌就講了一個比喻
[00:03:07.440 --> 00:03:12.840]  這個比喻就要解答彼得這個疑問
[00:03:12.840 --> 00:03:17.080]  剛才我們已經看過這個比喻的一部分
[00:03:17.080 --> 00:03:19.240]  就是有一個家主
[00:03:19.240 --> 00:03:22.920]  他出去聘用一些工人
[00:03:22.920 --> 00:03:25.560]  來他的葡萄園工作
[00:03:25.560 --> 00:03:28.680]  所以我們看到第一個人物出現的
[00:03:28.680 --> 00:03:33.800]  就是這一批等待工作的工人
[00:03:33.800 --> 00:03:37.880]  有一批工人很想做工的
[00:03:37.880 --> 00:03:41.240]  在這裡我稍微講一點背景
[00:03:41.240 --> 00:03:46.360]  由於當時巴勒斯坦的經濟不是那麼好
[00:03:46.360 --> 00:03:50.200]  所以很多人是沒有辦法有長工的
[00:03:50.200 --> 00:03:52.200]  既然現在沒有辦法有長工
[00:03:52.200 --> 00:03:55.560]  於是他們就只好做散工
[00:03:55.560 --> 00:03:59.960]  哪裡有人請他就去哪裡工作
[00:03:59.960 --> 00:04:05.160]  每天就在街市上面在這裡等
