
[00:00:00.000 --> 00:00:08.380]  (明鏡需要您的支持,感謝您的支持,感謝您的支持)
[00:00:08.380 --> 00:00:10.620]  有一件事發生在多年前
[00:00:10.620 --> 00:00:13.320]  直到今天仍然令我們很難忘
[00:00:13.320 --> 00:00:15.500]  就是有一次師母身體不適
[00:00:15.500 --> 00:00:17.200]  並且需要做手術
[00:00:17.200 --> 00:00:19.200]  有一個朋友來問我們
[00:00:19.200 --> 00:00:20.480]  「你有沒有祈禱?」
[00:00:20.480 --> 00:00:25.200]  「誰誰,都是因為祈禱,神就醫好了她的病」
[00:00:25.200 --> 00:00:28.240]  當時我和師母都無話可說
[00:00:28.240 --> 00:00:31.520]  祈禱,我們也不知道祈禱得多狠
[00:00:31.520 --> 00:00:35.280]  但最後師母還是要做手術
[00:00:35.280 --> 00:00:38.160]  我不知道大家會不會有一個觀念
[00:00:38.160 --> 00:00:41.360]  就是認為信了耶穌就會順風順水
[00:00:41.360 --> 00:00:44.240]  生活平順,身體健康
[00:00:44.240 --> 00:00:46.320]  又或者只要我們祈禱
[00:00:46.320 --> 00:00:50.120]  神就會照我們的心意滿足我們的祈求
[00:00:50.120 --> 00:00:51.680]  如果祈禱沒有實現
[00:00:51.680 --> 00:00:53.680]  就是我們信心有問題
[00:00:53.680 --> 00:00:55.840]  我們的祈禱不夠誠心
[00:00:55.840 --> 00:00:58.640]  我絕對相信上帝會賜福給我們
[00:00:58.640 --> 00:01:02.640]  但同時間人也一定會經歷大小的困難
[00:01:02.640 --> 00:01:04.960]  痛苦或者病患
[00:01:04.960 --> 00:01:06.960]  就以今次的疫情為例
[00:01:06.960 --> 00:01:09.680]  基督徒都不會有免疫的能力
[00:01:09.680 --> 00:01:11.680]  都會中招
[00:01:11.680 --> 00:01:14.000]  我們不要有一個錯誤的觀念
[00:01:14.000 --> 00:01:16.560]  以為遇到困難和痛苦
[00:01:16.560 --> 00:01:18.560]  就是表示上帝不愛我們
[00:01:18.560 --> 00:01:21.600]  其實很多時候我們會在困境裏面
[00:01:21.600 --> 00:01:22.800]  在掙扎裏面
[00:01:22.800 --> 00:01:26.400]  在當中更加大大經歷上帝的恩典和愛
[00:01:26.400 --> 00:01:29.360]  就好像約伯在經歷了苦難之後
[00:01:29.360 --> 00:01:32.000]  他說:我以前風聞有你
[00:01:32.000 --> 00:01:34.000]  現在親眼看見你
[00:01:34.000 --> 00:01:35.280]  我同意
[00:01:35.280 --> 00:01:37.280]  這是一個很難學的功課
[00:01:37.280 --> 00:01:38.960]  但它是很寶貴
[00:01:38.960 --> 00:01:40.960]  是我們必須學的功課
[00:01:40.960 --> 00:01:44.400]  新普及《日本哥倫多後書》十二章九字說
[00:01:44.400 --> 00:01:47.200]  我的恩典足夠你一切的需要
[00:01:47.200 --> 00:01:51.600]  我的能力在人的軟弱中最見功效
[00:01:52.800 --> 00:01:55.800]  由 Amara.org 社群提供的字幕
