
[00:00:00.000 --> 00:00:03.120]  我們今天和大家討論的主題
[00:00:03.120 --> 00:00:05.000]  剛纔主席也說了
[00:00:05.000 --> 00:00:07.740]  是「合一與差異」
[00:00:07.740 --> 00:00:10.740]  首先想問一下弟兄姊妹一些問題
[00:00:10.740 --> 00:00:12.480]  我想問一下弟兄姊妹
[00:00:12.480 --> 00:00:16.740]  你是一個喜歡獨立多一點的人
[00:00:16.740 --> 00:00:20.280]  還是喜歡多一些一羣人一起的人呢?
[00:00:20.280 --> 00:00:20.880]  我想問一下
[00:00:20.880 --> 00:00:23.300]  如果你是喜歡獨立多一點的人
[00:00:23.300 --> 00:00:25.660]  可不可以舉起你的手
[00:00:25.660 --> 00:00:26.980]  喜歡獨立一點的
[00:00:26.980 --> 00:00:28.580]  C班也喜歡獨立的?
[00:00:28.580 --> 00:00:30.820]  玩SOLO吧
[00:00:30.820 --> 00:00:34.700]  喜歡一羣人一起多一點的
[00:00:34.700 --> 00:00:35.860]  這些又獨立了
[00:00:35.860 --> 00:00:37.420]  一起也可以
[00:00:37.420 --> 00:00:39.060]  可能兩邊都可以
[00:00:39.060 --> 00:00:41.820]  都是一半一半
[00:00:41.820 --> 00:00:44.300]  有時候有些人不喜歡一個人的
[00:00:44.300 --> 00:00:45.900]  覺得很孤獨
[00:00:45.900 --> 00:00:47.780]  有沒有試過一個人喫飯呢?
[00:00:47.780 --> 00:00:49.860]  哇 很淒涼啊
[00:00:49.860 --> 00:00:50.980]  再淒涼一點是
[00:00:50.980 --> 00:00:53.620]  有沒有試過一個人去看電影呢?
[00:00:53.620 --> 00:00:54.980]  哇 你看恐怖片
[00:00:54.980 --> 00:00:56.500]  沒有一個人在旁邊
[00:00:56.500 --> 00:00:59.380]  被你抓住 很害怕的嘛
[00:00:59.380 --> 00:01:04.140]  甚至有沒有一個人去迪士尼啊?
[00:01:04.140 --> 00:01:06.580]  哇 又想去迪士尼玩啊
[00:01:06.580 --> 00:01:07.460]  但這裏去
[00:01:07.460 --> 00:01:09.380]  哎呀 最好不要被人看到啦
[00:01:09.380 --> 00:01:12.140]  那麼可憐
[00:01:12.140 --> 00:01:14.340]  我們有時候很害怕被人說的
[00:01:14.340 --> 00:01:15.460]  很害怕被人說
[00:01:15.460 --> 00:01:17.300]  是獨男獨女
[00:01:17.300 --> 00:01:19.300]  不單單是孤獨的獨
[00:01:19.300 --> 00:01:22.100]  是獨品的獨
[00:01:22.100 --> 00:01:23.740]  但也可以這麼說
[00:01:23.740 --> 00:01:28.540]  也有些人是很怕人多的
[00:01:28.540 --> 00:01:31.460]  人多就會是非多
[00:01:31.460 --> 00:01:34.180]  也都覺得有時候做決定很難
[00:01:34.180 --> 00:01:35.580]  一羣人一起
[00:01:35.580 --> 00:01:37.060]  待會你們會做一個決定的
[00:01:37.060 --> 00:01:38.060]  完了崇拜
[00:01:38.060 --> 00:01:39.180]  去哪裏喫飯
[00:01:39.180 --> 00:01:40.780]  除非你基本上
[00:01:40.780 --> 00:01:42.700]  夾定去哪一間
[00:01:42.700 --> 00:01:43.900]  你要談
[00:01:43.900 --> 00:01:45.740]  談到第三堂開始
[00:01:45.740 --> 00:01:46.780]  有沒有試過
[00:01:46.780 --> 00:01:49.420]  都原地踏步 還在門口
[00:01:49.420 --> 00:01:51.580]  一羣人一起做決定很難
[00:01:51.580 --> 00:01:54.140]  一羣人一起開會也是很煩
[00:01:54.140 --> 00:01:56.460]  有時候談幾個小時
[00:01:56.460 --> 00:01:59.620]  都沒有結論的
[00:01:59.620 --> 00:02:01.180]  我們用另一個說法
[00:02:01.180 --> 00:02:03.900]  究竟人何時需要獨立
[00:02:03.900 --> 00:02:06.820]  何時我們是需要合一的呢
[00:02:06.820 --> 00:02:09.180]  有時候我們一個潮流社會
[00:02:09.180 --> 00:02:11.900]  去說多元共融
[00:02:11.900 --> 00:02:14.140]  我們回到聖經
[00:02:14.140 --> 00:02:16.260]  如果大家留意的話
[00:02:16.260 --> 00:02:19.140]  我們這幾次的崇拜裏面
[00:02:19.140 --> 00:02:21.260]  都在說什麼呢
[00:02:21.260 --> 00:02:24.020]  上個星期是說哥倫多前書
