
[00:00:00.000 --> 00:00:01.000]  今早的平安
[00:00:01.000 --> 00:00:06.000]  非常讓鄧恩和鄧董交流機會
[00:00:06.000 --> 00:00:09.000]  大家一起在兩岸沉
[00:00:09.000 --> 00:00:10.000]  去敬拜主
[00:00:10.000 --> 00:00:11.000]  但是
[00:00:11.000 --> 00:00:14.000]  我也好期待
[00:00:14.000 --> 00:00:17.000]  看看能不能一次是
[00:00:17.000 --> 00:00:19.000]  去侍奉主
[00:00:19.000 --> 00:00:21.000]  去正道的時候的心裏面
[00:00:21.000 --> 00:00:24.000]  會有我的盼望
[00:00:24.000 --> 00:00:25.000]  我的盼望就是
[00:00:25.000 --> 00:00:27.000]  我希望可以跟他講到
[00:00:27.000 --> 00:00:29.000]  其實就是那個教會
[00:00:29.000 --> 00:00:31.000]  的教務長長年代智慧
[00:00:31.000 --> 00:00:33.000]  都是同步
[00:00:33.000 --> 00:00:35.000]  同時都是保佑在我身上
[00:00:35.000 --> 00:00:38.000]  所以今天也是一個大活動
[00:00:38.000 --> 00:00:41.000]  由於鄧恩和鄧董是在
[00:00:41.000 --> 00:00:44.000]  回答我們的心智和心願
[00:00:44.000 --> 00:00:46.000]  特別是這些年間
[00:00:46.000 --> 00:00:49.000]  我感激主教德龍船中信會
[00:00:49.000 --> 00:00:51.000]  一直都是
[00:00:51.000 --> 00:00:54.000]  會機會很多的前輩同工
[00:00:54.000 --> 00:00:57.000]  很多的香港的年代智慧
[00:00:57.000 --> 00:00:58.000]  都是受益的
[00:00:58.000 --> 00:01:01.000]  因為九龍城親信會
[00:01:01.000 --> 00:01:04.000]  就不單止是你們自己親信會
[00:01:04.000 --> 00:01:08.000]  而我是怕香港的教徒
[00:01:08.000 --> 00:01:09.000]  監獄
[00:01:09.000 --> 00:01:11.000]  是沒有哪個
[00:01:11.000 --> 00:01:14.000]  是你們曾經受過眾籌的
[00:01:14.000 --> 00:01:16.000]  包括大紀元副理會
[00:01:16.000 --> 00:01:18.000]  或是特調聚會
[00:01:18.000 --> 00:01:20.000]  都是重重其他的
[00:01:20.000 --> 00:01:23.000]  恐怕都是連上關係的
[00:01:23.000 --> 00:01:25.000]  就像現在要去商販醫院
[00:01:25.000 --> 00:01:28.000]  你問我去登機
[00:01:28.000 --> 00:01:30.000]  我問你第一次
[00:01:30.000 --> 00:01:32.000]  我是不是第一次來看你
[00:01:32.000 --> 00:01:33.000]  不是的
[00:01:33.000 --> 00:01:35.000]  你一定來過
[00:01:35.000 --> 00:01:37.000]  你說過你曾經給過我三十萬美元
[00:01:37.000 --> 00:01:38.000]  你應該知道
[00:01:38.000 --> 00:01:40.000]  都是在回應我的時候
[00:01:40.000 --> 00:01:41.000]  我不是的
[00:01:41.000 --> 00:01:43.000]  我沒有回應過你
[00:01:43.000 --> 00:01:46.000]  我跟國內有幾十萬美元
[00:01:46.000 --> 00:01:49.000]  註冊那些
[00:01:49.000 --> 00:01:51.000]  打開大連之後
[00:01:51.000 --> 00:01:55.000]  我就是離開不過十分鐘前
[00:01:55.000 --> 00:01:57.000]  結果你問我
[00:01:57.000 --> 00:01:58.000]  你看我
[00:01:58.000 --> 00:02:00.000]  你跟我有關係
[00:02:00.000 --> 00:02:01.000]  我問你
[00:02:01.000 --> 00:02:03.000]  我跟誰不跟QE有關係
[00:02:03.000 --> 00:02:04.000]  總是你問我的
[00:02:04.000 --> 00:02:07.000]  我都不記得
[00:02:07.000 --> 00:02:09.000]  同樣地
[00:02:09.000 --> 00:02:11.000]  香港信徒教育會
[00:02:11.000 --> 00:02:13.000]  跟誰不跟城鎮有關係
[00:02:13.000 --> 00:02:14.000]  多了一點
[00:02:14.000 --> 00:02:16.000]  是你跟他們一起做的
[00:02:16.000 --> 00:02:21.000]  很多在神所通過教會的
[00:02:21.000 --> 00:02:23.000]  畢生的醫療會中
[00:02:23.000 --> 00:02:24.000]  歸來這個
[00:02:24.000 --> 00:02:26.000]  我們香港的應對性
[00:02:26.000 --> 00:02:28.000]  甚至是共生法人教會
[00:02:28.000 --> 00:02:30.000]  甚至是國共教會
[00:02:30.000 --> 00:02:31.000]  但是上帝
[00:02:31.000 --> 00:02:33.000]  我如何使用城鎮
[00:02:33.000 --> 00:02:35.000]  都同樣的大型使用
[00:02:35.000 --> 00:02:37.000]  同樣地我的歲月
[00:02:37.000 --> 00:02:39.000]  會加上他們的使用
[00:02:39.000 --> 00:02:41.000]  今天是一個決定會
[00:02:41.000 --> 00:02:46.000]  就給我有一點點的驚喜
[00:02:46.000 --> 00:02:48.000]  我現在還在想
[00:02:48.000 --> 00:02:51.000]  這是一個很奇妙的時刻
[00:02:51.000 --> 00:02:53.000]  很異地
[00:02:53.000 --> 00:02:54.000]  在過去幾年
[00:02:54.000 --> 00:02:57.000]  香港沒有像我之前有的
[00:02:57.000 --> 00:02:58.000]  這樣的情況
[00:02:58.000 --> 00:02:59.000]  陰暗
[00:02:59.000 --> 00:03:01.000]  艱辛
[00:03:01.000 --> 00:03:03.000]  我還經常看
[00:03:03.000 --> 00:03:04.000]  2019年初一年
[00:03:04.000 --> 00:03:06.000]  是廣州國民議會的
[00:03:06.000 --> 00:03:08.000]  第九十一屆
[00:03:08.000 --> 00:03:12.000]  我面對十萬的議會議員
[00:03:12.000 --> 00:03:14.000]  當時我還很緊張
[00:03:14.000 --> 00:03:16.000]  因為整個大會都不斷
[00:03:16.000 --> 00:03:17.000]  每天晚上都要決定
[00:03:17.000 --> 00:03:19.000]  究竟會舉行還是不舉行
[00:03:19.000 --> 00:03:21.000]  還是往上踢我算數
[00:03:21.000 --> 00:03:22.000]  就幾乎每天晚上
[00:03:22.000 --> 00:03:24.000]  都要經歷這些事情
[00:03:24.000 --> 00:03:27.000]  現在一天還不緊張
[00:03:27.000 --> 00:03:28.000]  會議中看不到
[00:03:28.000 --> 00:03:29.000]  我跟他們商量
[00:03:29.000 --> 00:03:31.000]  第二天我聽他們說
[00:03:31.000 --> 00:03:33.000]  外面那些
[00:03:33.000 --> 00:03:35.000]  警車的閃光
[00:03:35.000 --> 00:03:37.000]  大家用鑽是用鑽是用鑽
[00:03:37.000 --> 00:03:38.000]  我都知道
[00:03:38.000 --> 00:03:40.000]  但我相當緊張
[00:03:40.000 --> 00:03:41.000]  因為我在這裏
[00:03:41.000 --> 00:03:42.000]  相當多人都要為議
[00:03:42.000 --> 00:03:44.000]  主席的面對這間法院
[00:03:44.000 --> 00:03:45.000]  你想想
[00:03:45.000 --> 00:03:46.000]  一個這樣的形勢
[00:03:46.000 --> 00:03:47.000]  你看看
[00:03:47.000 --> 00:03:49.000]  這裏的議會議員
[00:03:49.000 --> 00:03:50.000]  我聽說會議不繼續的
[00:03:50.000 --> 00:03:51.000]  所以這個議員
[00:03:51.000 --> 00:03:52.000]  竟然在這裏
[00:03:52.000 --> 00:03:53.000]  這麼多年來做過
[00:03:53.000 --> 00:03:55.000]  你看看
[00:03:55.000 --> 00:03:56.000]  你看看
[00:03:56.000 --> 00:03:57.000]  其實
