
[00:00:00.000 --> 00:00:01.520]  OK 各位平安
[00:00:01.520 --> 00:00:04.360]  平安 大家好
[00:00:04.360 --> 00:00:05.360]  平安 再一次
[00:00:05.360 --> 00:00:07.360]  平安 大家好
[00:00:07.360 --> 00:00:10.840]  我們今天可以一起去思想經文的時間
[00:00:10.840 --> 00:00:13.200]  今天的主題
[00:00:13.200 --> 00:00:16.680]  在這個系列的主題是 Miracle Worker
[00:00:16.680 --> 00:00:20.640]  靈感來自於一個大概在疫情前後
[00:00:20.640 --> 00:00:24.200]  我想差不多時間的一個很出名的詩歌
[00:00:24.200 --> 00:00:25.520]  叫 Waymaker
[00:00:25.520 --> 00:00:28.400]  如果大家記得副歌就是 Waymaker, Miracle Worker
[00:00:28.400 --> 00:00:29.400]  就是在那裡 那裡來的
[00:00:29.400 --> 00:00:32.360]  不過不是說我待會兒的回應詩就是那首歌
[00:00:32.360 --> 00:00:33.360]  不是的
[00:00:33.360 --> 00:00:37.400]  但為什麼會想到這個主題
[00:00:37.400 --> 00:00:40.520]  為什麼會想說是 Miracle Worker
[00:00:40.520 --> 00:00:42.720]  因為如果我們看《出埃及記》
[00:00:42.720 --> 00:00:46.080]  對我來說是很多很多的神蹟出現
[00:00:46.080 --> 00:00:47.520]  很多上帝的工作出現
[00:00:47.520 --> 00:00:51.840]  而今天我們也很經常想盼望的就是
[00:00:51.840 --> 00:00:54.400]  這些神蹟發生在我們身上
[00:00:54.400 --> 00:00:58.160]  甚至我們會覺得是我們很需要這些神蹟
[00:00:58.160 --> 00:01:02.720]  但是問題就是好像很少人能夠經歷到
[00:01:02.720 --> 00:01:06.720]  我想我們今天可以透過一段經文去思想的幾個問題就是
[00:01:06.720 --> 00:01:09.920]  我究竟可以怎樣經歷到呢
[00:01:09.920 --> 00:01:15.560]  或者究竟怎樣可以去理解這個神蹟
[00:01:15.560 --> 00:01:18.400]  或者看到這個神蹟對我自己有什麼影響
[00:01:18.400 --> 00:01:23.240]  或者神蹟在我生命當中的意義是什麼呢
[00:01:23.240 --> 00:01:25.200]  我想用一段經文
[00:01:25.200 --> 00:01:28.720]  也是記著神蹟的經文去思想這個問題
[00:01:28.720 --> 00:01:31.040]  我們看今天的經文是取自於
[00:01:31.040 --> 00:01:34.240]  《出埃及記》十六章一至三十六節
[00:01:34.240 --> 00:01:36.600]  但是我不會現在跟大家一起讀
[00:01:36.600 --> 00:01:38.720]  我們會不會一節一節地去看
[00:01:38.720 --> 00:01:41.640]  首先我們看第一節
[00:01:41.640 --> 00:01:42.640]  第一節呢
[00:01:42.640 --> 00:01:44.840]  這一節當中我們會看到這裡說
[00:01:44.840 --> 00:01:47.480]  以色列傳會眾從以臨起行
[00:01:47.480 --> 00:01:50.720]  在出埃及後第二個月十五日
[00:01:50.720 --> 00:01:54.400]  到了以臨和西內中間進的曠野
[00:01:54.400 --> 00:01:56.200]  那麼在那個位置呢
[00:01:56.200 --> 00:01:58.280]  我覺得可以留意的就是
[00:01:58.280 --> 00:02:01.920]  第二句所講的出埃及後的第二個月十五日
[00:02:01.920 --> 00:02:03.480]  就是大概四十五日左右
[00:02:03.480 --> 00:02:05.400]  那麼其實我們可以想像到
[00:02:05.400 --> 00:02:08.280]  當時的以色列人其實已經經歷了很多事情
[00:02:08.280 --> 00:02:09.880]  包括可能在之前
[00:02:09.880 --> 00:02:11.240]  如果我們看第十四章的話
[00:02:11.240 --> 00:02:13.280]  他們已經剛剛過紅海了
[00:02:13.280 --> 00:02:18.560]  接著就看到他們可以很成功地過海
[00:02:18.560 --> 00:02:22.920]  但是這個埃及兵就要死在海中
[00:02:22.920 --> 00:02:25.120]  所以就是這樣一個發生
[00:02:25.120 --> 00:02:29.360]  因為這樣今天也是過海有落的這個系列
[00:02:29.360 --> 00:02:31.400]  接著之後到了十五章
[00:02:31.400 --> 00:02:34.600]  就是看到摩西米尼亞人也在讚美上帝
[00:02:34.600 --> 00:02:37.560]  如果大家有回兩個禮拜前的崇拜
[00:02:37.560 --> 00:02:39.480]  Sandy那時說起的就是
[00:02:39.480 --> 00:02:41.760]  這個第十五章的最後一個部分
[00:02:41.760 --> 00:02:43.680]  就是在說當時的以色列人
[00:02:43.680 --> 00:02:45.440]  他們走的時候其實找不到水
[00:02:45.440 --> 00:02:47.480]  或者他們找到水但是水是苦的
[00:02:47.480 --> 00:02:49.760]  但是上帝的工作令到水變甜
[00:02:49.760 --> 00:02:52.960]  令到他們可以有得喝水
[00:02:52.960 --> 00:02:54.320]  所以我們看到的是
[00:02:54.320 --> 00:02:57.200]  其實他們經歷了很多的事情
[00:02:57.200 --> 00:02:59.680]  經歷了很多上帝的工作
