
[00:00:00.000 --> 00:00:05.820]  總統大選終於都過了,塵埃落定,無論是你覺得歡喜,有些人覺得好憂愁
[00:00:05.820 --> 00:00:12.520]  上禮拜其實因爲我們家在裝修,所以所有東西都拆了,我就搬出來搬到睡裏的舊舊家去住
[00:00:12.520 --> 00:00:15.620]  那麼因爲所有東西都拆了嘛,就所有東西都換
[00:00:15.620 --> 00:00:23.420]  那所以上禮拜當大家正在激烈地選總統的時候,我也很激烈地在選馬桶
[00:00:23.420 --> 00:00:28.320]  那麼經過一番的掙扎,我發現選馬桶原來是很複雜的
[00:00:28.320 --> 00:00:33.880]  什麼one piece, two piece,光是出水就有十幾種不同的出水的方式
[00:00:33.880 --> 00:00:35.680]  所以弄得我眼睛很花
[00:00:35.680 --> 00:00:40.820]  所以我們花了好多的時間去研究,跑了好多地方,終於選中了一個馬桶
[00:00:40.820 --> 00:00:46.780]  那麼上禮拜二,馬桶送到我家的那一天也剛好是選總統的那一天
[00:00:46.780 --> 00:00:51.660]  所以禮拜二你們選總統,禮拜一你們選總統,然後我就收到那個馬桶
[00:00:51.660 --> 00:00:57.880]  那我去看到那個馬桶的時候,我才突然發現,我選錯了馬桶
[00:00:57.880 --> 00:01:03.180]  所以後來回家我心情就很不好,就突然覺得有那種frustration
[00:01:03.180 --> 00:01:09.740]  就覺得說怎麼會像個傻帽子,選個馬桶都選錯,你還叫我選總統,怎麼可能選對呢
[00:01:09.740 --> 00:01:11.280]  所以心情又很不好
[00:01:11.280 --> 00:01:17.360]  無論怎麼樣,但是你知道我國內有些朋友跟我說,他很不可思議美國的民主制度
[00:01:17.360 --> 00:01:21.900]  他說憑我這種傻帽,憑什麼可以選總統,選個馬桶都選錯
[00:01:21.900 --> 00:01:27.300]  無論怎麼樣,但是總統選舉算是塵埃落定
[00:01:27.300 --> 00:01:32.220]  所以就不要管他了,無論是你喜歡也好你不喜歡也好,反正都已經選定了
[00:01:32.220 --> 00:01:39.120]  那就只能夠照聖經所說的,爲在上的在位的當官的那些在高位的禱告
[00:01:39.120 --> 00:01:42.500]  那希望他真的能夠管理得好
[00:01:42.500 --> 00:01:46.460]  那麼Donald Trump既然已經選中了,我也替他說一句好話
[00:01:46.460 --> 00:01:50.920]  他有一個地方我好厲害,我很佩服的,那是林修榮告訴我的
[00:01:50.920 --> 00:01:55.980]  你知道Donald Trump在紐約做生意的時候,他很多的project都是under budget
[00:01:55.980 --> 00:01:59.180]  就是沒有超出預算,並且提早完成
[00:01:59.180 --> 00:02:01.300]  你知道這個有多重要嗎?
[00:02:01.300 --> 00:02:08.480]  我家裝修一個這麼小的project,我居然超出我的預算快一倍
[00:02:08.480 --> 00:02:11.560]  但是好處是那個裝修師傅好厲害
[00:02:11.560 --> 00:02:17.180]  聽說所有裝修師傅如果他跟你說一個月裝修完了,你預計他大概一個半月
[00:02:17.180 --> 00:02:19.940]  我的裝修師傅提早交貨
[00:02:19.940 --> 00:02:24.260]  他今天說今天剛好弄完,他說下禮拜一你可以搬回去
[00:02:24.260 --> 00:02:28.020]  所以很少有人是可以提早交貨的,但是Donald Trump這點厲害
[00:02:28.020 --> 00:02:33.640]  他可以把他的那些hotel什麼的project管理到under budget,並且可以on time
[00:02:33.640 --> 00:02:38.560]  可見這個人並不是傻瓜是吧?希望神能夠使用他至少把這個國家管理得好
[00:02:38.560 --> 00:02:45.380]  那麼今天我們會開始一個新的系列,是因爲我們開始學習怎麼樣去禱告
[00:02:45.380 --> 00:02:49.680]  因爲禱告是一個很重要的話題,那麼今天我們只看一段的聖經
[00:02:49.680 --> 00:02:54.660]  看這段聖經來告訴我們,禱告上面有些什麼的提醒跟啓發
[00:02:54.660 --> 00:02:59.980]  好,只分兩點跟大家分享,這段聖經講到第一個是告訴我們禱告的重要性
[00:02:59.980 --> 00:03:06.180]  禱告的重要性,那麼記載的聖經在路加福音的二十二章三十九到四十六節
[00:03:06.180 --> 00:03:10.740]  路加福音二十二章三十九到四十六節
[00:03:10.740 --> 00:03:12.700]  OK,那邊是這樣說的
[00:03:12.700 --> 00:03:17.240]  這段聖經其實很重要,因爲光是這段聖經只有幾節的聖經
[00:03:17.240 --> 00:03:22.900]  其實本身它可以大概一個系列講十堂,大概都講不完裏面到底有多複雜
[00:03:22.900 --> 00:03:28.740]  那今天只講一個主題,因爲跟禱告有關,就從禱告這個角度看這段聖經
[00:03:28.740 --> 00:03:34.120]  這段聖經是這樣說的,它說耶穌出城,照常住橄欖山
[00:03:34.120 --> 00:03:39.260]  門出門跟着他去,到了那地方,耶穌對他們說
[00:03:39.260 --> 00:03:44.940]  你們要禱告,免得陷於誘惑,於是耶穌離開他們
[00:03:44.940 --> 00:03:49.020]  在約扔一塊石子的距離,跪下禱告
[00:03:49.020 --> 00:03:53.940]  是不是我的echo很大,可以幫我調一下嗎,謝謝
[00:03:53.940 --> 00:03:59.100]  OK,說父親若是你願意,就把這苦悲移去
[00:03:59.100 --> 00:04:03.880]  然而不要照我的意思,乃是要成全你的旨意
[00:04:03.880 --> 00:04:08.820]  有一個天使從天上向他顯現,加強他的力量
[00:04:08.820 --> 00:04:13.540]  在極度傷痛中,耶穌更懇切地禱告
[00:04:13.540 --> 00:04:18.500]  他的汗珠向大地的雪滴落在地上
[00:04:18.500 --> 00:04:22.020]  禱告後,耶穌起來,回到門徒那裏
[00:04:22.020 --> 00:04:26.080]  發現他們因憂傷過度沉睡了
[00:04:26.080 --> 00:04:30.880]  祂對他們說,你們爲什麼睡着呢,起來禱告吧
[00:04:30.880 --> 00:04:35.460]  免得陷於誘惑,就是這段經文
[00:04:35.460 --> 00:04:41.580]  這段是講到耶穌在快要釘石架前被捕的最後一次
[00:04:41.580 --> 00:04:44.440]  跟門徒一起,有一個禱告的時間
[00:04:44.440 --> 00:04:46.720]  祂去到一個地方叫橄欖山
[00:04:46.720 --> 00:04:51.000]  耶穌其實在福音書裏面記載,祂以前常常去
[00:04:51.000 --> 00:04:57.260]  在祂離世之前,將要完成神給祂救贖的計劃的最後一步的時候
[00:04:57.260 --> 00:04:59.900]  祂去到橄欖山,去最後一次的禱告
[00:04:59.900 --> 00:05:05.360]  在這個禱告裏面,從路加,路加就是作者路加
[00:05:05.360 --> 00:05:08.580]  就跟隨他其中的一個人,路加的記載呢
[00:05:08.580 --> 00:05:12.620]  祂用了一個非常簡單的結構,就是所謂的交叉結構
[00:05:12.620 --> 00:05:16.580]  所謂的ABA的結構,就是一開始先告訴你說
[00:05:16.580 --> 00:05:20.580]  耶穌叫他們說,你們要警醒禱告,免得陷於迷惑
[00:05:20.580 --> 00:05:23.080]  然後中間記載耶穌怎麼樣禱告的
