
[00:00:00.000 --> 00:00:04.500]  好 大家早晨 讓我們再次回到主的說話面前
[00:00:04.500 --> 00:00:09.500]  我們再次以禱告 預備我們身心靈來聆聽主的說話
[00:00:09.500 --> 00:00:18.000]  天父 我多謝祢 讓我們能夠再次打開祢的啟示
[00:00:18.000 --> 00:00:21.000]  藉著祢愛之耶穌基督在地上的教導
[00:00:21.000 --> 00:00:25.000]  讓我們更加明白到天國的奧秘
[00:00:25.000 --> 00:00:29.000]  讓我們能夠在祂的介紹當中
[00:00:29.000 --> 00:00:33.000]  讓我們更加學會如何在天國裡生活
[00:00:33.000 --> 00:00:37.000]  求祢繼續幫助我們 隨著聖靈的引導
[00:00:37.000 --> 00:00:40.000]  有悟性能夠理解當中的教訓
[00:00:40.000 --> 00:00:43.000]  也要讓每一個無論在網絡上面
[00:00:43.000 --> 00:00:46.000]  或者在實體崇拜的弟兄姊妹
[00:00:46.000 --> 00:00:49.000]  可以祈求主理 讓我們能夠靈性
[00:00:49.000 --> 00:00:52.000]  能夠得到更加進一步的栽培
[00:00:52.000 --> 00:00:57.000]  也要讓慕道的人藉著去聆聽到我們的信息
[00:00:57.000 --> 00:01:01.000]  讓我們可以知道我們這位主是何等的偉大
[00:01:01.000 --> 00:01:05.000]  能夠將生命再次歸到去應罪悔改
[00:01:05.000 --> 00:01:08.000]  得永生的生命當中
[00:01:08.000 --> 00:01:12.000]  我們同心的禱告 奉靠主耶穌的德性的名字而靠
[00:01:12.000 --> 00:01:19.000]  廣東話有句說話叫做根根計鑑
[00:01:19.000 --> 00:01:22.000]  通常是用來陳述一些人
[00:01:22.000 --> 00:01:27.000]  為自己謀求最大的好處
[00:01:27.000 --> 00:01:30.000]  於是乎在很多的小事情上面
[00:01:30.000 --> 00:01:37.000]  都跟人去量度 揣摩 計算
[00:01:37.000 --> 00:01:40.000]  相反於這個根根計鑑
[00:01:40.000 --> 00:01:44.000]  又有另一個陳述叫做歡宏大量
[00:01:44.000 --> 00:01:47.000]  或者我們叫做毫不介意
[00:01:47.000 --> 00:01:49.000]  通常是指一個人
[00:01:49.000 --> 00:01:53.000]  做的事情不會算到盡
[00:01:53.000 --> 00:01:58.000]  他永遠雖然會為自己的好處去考慮
[00:01:58.000 --> 00:02:01.000]  但是他對人的處理
[00:02:01.000 --> 00:02:06.000]  也都帶著一份歡宏的胸懷和眼光
[00:02:06.000 --> 00:02:10.000]  因此兩者根根計鑑的人
[00:02:10.000 --> 00:02:14.000]  和歡宏大量的人去做事的方式
[00:02:14.000 --> 00:02:18.000]  是有截然不同的方向
[00:02:18.000 --> 00:02:21.000]  前者是為自己而謀取
[00:02:21.000 --> 00:02:28.000]  後者是為大眾的好處而去思索
[00:02:28.000 --> 00:02:29.000]  甚至有些時候
[00:02:29.000 --> 00:02:31.000]  有些不根根計鑑的人
[00:02:31.000 --> 00:02:34.000]  願意將自己有的東西提出來
[00:02:34.000 --> 00:02:36.000]  自己可能沒有什麼益處
[00:02:36.000 --> 00:02:38.000]  不過人家有益處
[00:02:38.000 --> 00:02:39.000]  整體受益的人
[00:02:39.000 --> 00:02:42.000]  他都會在當中得到喜悅
[00:02:42.000 --> 00:02:45.000]  今天我們將會在這段聖經裡面
[00:02:45.000 --> 00:02:48.000]  馬太福音第二十章
[00:02:48.000 --> 00:02:50.000]  第一至十六節裡面
[00:02:50.000 --> 00:02:55.000]  看到耶穌有一個介紹
[00:02:55.000 --> 00:02:57.000]  在這個介紹
[00:02:57.000 --> 00:03:00.000]  或者我們講得準確一點的一個比喻當中
[00:03:00.000 --> 00:03:02.000]  讓我們看一下
[00:03:02.000 --> 00:03:06.000]  一些人怎樣是根根計鑑
[00:03:06.000 --> 00:03:11.000]  但是又想活在天國裡面的享受
[00:03:11.000 --> 00:03:14.000]  而這種人最後
[00:03:14.000 --> 00:03:16.000]  他能不能夠真的理解到
[00:03:16.000 --> 00:03:21.000]  這個天國的主人的心思意念呢
[00:03:21.000 --> 00:03:24.000]  還是他仍然只不過是一班
[00:03:24.000 --> 00:03:29.000]  忘恩負義 只謀私利的一班的人呢
[00:03:29.000 --> 00:03:31.000]  所以今天我給了一個題目
[00:03:31.000 --> 00:03:32.000]  給今天的講道
[00:03:32.000 --> 00:03:36.000]  叫做如何能夠持續地明白
[00:03:36.000 --> 00:03:41.000]  上主是一位仁慈的主的心腸
[00:03:41.000 --> 00:03:43.000]  好 讓我們再次打開
[00:03:43.000 --> 00:03:45.000]  這段聖經第二十章
[00:03:45.000 --> 00:03:46.000]  馬太福音
[00:03:46.000 --> 00:03:48.000]  我們會由第一至十六節
[00:03:48.000 --> 00:03:50.000]  讀多一次 好不好
[00:03:50.000 --> 00:03:51.000]  雖然這個故事
[00:03:51.000 --> 00:03:53.000]  不多不少你都會聽過
[00:03:53.000 --> 00:03:56.000]  剛才Joey也幫我們讀了一次
[00:03:56.000 --> 00:03:58.000]  但是自己讀
[00:03:58.000 --> 00:04:00.000]  可能又會提出一些
[00:04:00.000 --> 00:04:03.000]  找到一些你可能漏了的地方
[00:04:03.000 --> 00:04:05.000]  好 我們一起打開
[00:04:05.000 --> 00:04:07.000]  馬太福音第二十章
[00:04:07.000 --> 00:04:09.000]  第一至十六節
[00:04:09.000 --> 00:04:11.000]  一起讀囉
[00:04:11.000 --> 00:04:14.000]  因為天國好象家主
[00:04:14.000 --> 00:04:19.000]  清早去故人進他的葡萄園做工
[00:04:19.000 --> 00:04:23.000]  和工人講定一天一銀子
[00:04:23.000 --> 00:04:27.000]  就打發他們進葡萄園去
[00:04:27.000 --> 00:04:30.000]  約在已初出去
[00:04:30.000 --> 00:04:34.000]  看見史上還有閒暫的人
[00:04:34.000 --> 00:04:36.000]  就對他們說
[00:04:36.000 --> 00:04:39.000]  你們已進葡萄園去
[00:04:39.000 --> 00:04:42.000]  所當給的我必給你們
[00:04:42.000 --> 00:04:44.000]  他們也進去了
[00:04:44.000 --> 00:04:48.000]  約在五正和新初又出去
[00:04:48.000 --> 00:04:50.000]  也是這樣行
[00:04:50.000 --> 00:04:53.000]  約在有初出去
[00:04:53.000 --> 00:04:56.000]  看見還有人站在那裡
[00:04:56.000 --> 00:04:58.000]  就問他們說
[00:04:58.000 --> 00:05:02.000]  你們為什麼整天在這裡閒暫呢
[00:05:02.000 --> 00:05:04.000]  他們說
[00:05:04.000 --> 00:05:06.000]  因為沒有人顧我們
[00:05:06.000 --> 00:05:10.000]  他說你們也進葡萄園去
[00:05:10.000 --> 00:05:12.000]  到了晚上
[00:05:12.000 --> 00:05:14.000]  原主對管事的人說
[00:05:14.000 --> 00:05:18.000]  叫工人到來給他們工錢
[00:05:18.000 --> 00:05:20.000]  從後來的起
[00:05:20.000 --> 00:05:22.000]  到先來的為止
[00:05:22.000 --> 00:05:26.000]  約在有初顧的人來了
[00:05:26.000 --> 00:05:29.000]  各人得了一銀子
[00:05:29.000 --> 00:05:32.000]  及至那先顧的來了
[00:05:32.000 --> 00:05:35.000]  他們以為必要得多
[00:05:35.000 --> 00:05:38.000]  誰知也是覺得一錢
[00:05:38.000 --> 00:05:40.000]  他們得了
[00:05:40.000 --> 00:05:42.000]  就埋怨家主說
[00:05:42.000 --> 00:05:45.000]  我們整天勞苦受熱
[00:05:45.000 --> 00:05:49.000]  那後來的只做了一小時
[00:05:49.000 --> 00:05:52.000]  你竟叫他們和我們一樣嗎
[00:05:52.000 --> 00:05:55.000]  家主回答其中的一人說
[00:05:55.000 --> 00:05:58.000]  朋友 我不虧負你
[00:05:58.000 --> 00:06:03.000]  你與我說定的不是一銀子嗎
[00:06:03.000 --> 00:06:05.000]  那你的酒吧
[00:06:05.000 --> 00:06:08.000]  我給那後來的和給你一樣
[00:06:08.000 --> 00:06:10.000]  這是我願意的
[00:06:10.000 --> 00:06:12.000]  我的東西難道不可
[00:06:12.000 --> 00:06:14.000]  隨我的意思用嗎
[00:06:14.000 --> 00:06:16.000]  因為我作好人
[00:06:16.000 --> 00:06:19.000]  你就紅了眼嗎
[00:06:19.000 --> 00:06:21.000]  這樣那在後的
[00:06:21.000 --> 00:06:23.000]  將要在前
[00:06:23.000 --> 00:06:27.000]  在前的將要在後
[00:06:27.000 --> 00:06:30.000]  在先前這段經文裡
[00:06:30.000 --> 00:06:33.000]  我們已經看過
[00:06:33.000 --> 00:06:36.000]  一些關乎於我們這位主
[00:06:36.000 --> 00:06:39.000]  他的心路歷程是怎樣
[00:06:39.000 --> 00:06:41.000]  他的心態是怎樣
[00:06:41.000 --> 00:06:43.000]  我們再少少的
[00:06:43.000 --> 00:06:46.000]  一些連貫的經文先
[00:06:46.000 --> 00:06:48.000]  一開始第20章
[00:06:48.000 --> 00:06:50.000]  第一節就說
[00:06:50.000 --> 00:06:53.000]  因為天國好像家主
[00:06:53.000 --> 00:06:57.000]  又是一個講及於天國的比喻
[00:06:57.000 --> 00:06:59.000]  其實這個不是第一次說
[00:06:59.000 --> 00:07:01.000]  如果我們回前少少
[00:07:01.000 --> 00:07:03.000]  第18章的第23節
[00:07:03.000 --> 00:07:05.000]  那裡已經說了給我聽
[00:07:05.000 --> 00:07:09.000]  另一次的天國好像什麼
[00:07:09.000 --> 00:07:10.000]  來去介紹
[00:07:10.000 --> 00:07:12.000]  不過上次是談論到
