
[00:00:00.000 --> 00:00:01.860]  等致命我們進入講道之前
[00:00:01.860 --> 00:00:05.000]  我們先再將這段時間交託給主
[00:00:05.000 --> 00:00:07.540]  我們用祈禱、信心交託
[00:00:07.540 --> 00:00:14.540]  主祢的愛寶貴
[00:00:14.540 --> 00:00:16.140]  引領我們
[00:00:16.140 --> 00:00:20.640]  祢的靈也帶領我們打開你的話語的時候去明白
[00:00:20.640 --> 00:00:23.340]  你要我們去明白屬靈的真理
[00:00:23.340 --> 00:00:24.840]  幫助我們
[00:00:24.840 --> 00:00:27.600]  除去我們裡面的驕傲、不信
[00:00:28.100 --> 00:00:30.640]  讓我們謙卑順服在祢的話語面前
[00:00:30.640 --> 00:00:31.800]  多謝主
[00:00:31.800 --> 00:00:33.000]  祈禱奉主耶穌基督
[00:00:33.000 --> 00:00:34.200]  得勝明智祈求
[00:00:34.200 --> 00:00:35.200]  阿們
[00:00:35.200 --> 00:00:41.700]  哈巴菊
[00:00:41.700 --> 00:00:45.500]  在一個內憂外患的處境裡面
[00:00:45.500 --> 00:00:49.100]  她從一個負面的提問開始
[00:00:49.100 --> 00:00:50.500]  她高聲地問
[00:00:50.500 --> 00:00:52.000]  要到什麼時候呢
[00:00:52.000 --> 00:00:53.600]  How long
[00:00:53.600 --> 00:00:55.600]  然後
[00:00:56.000 --> 00:00:58.700]  在當中有兩輪同神的答問
[00:00:58.700 --> 00:01:01.000]  到最後的祈禱裡面
[00:01:01.000 --> 00:01:03.500]  是我們上個月背的金句
[00:01:03.500 --> 00:01:05.900]  她以一個喜樂的語調去結束
[00:01:05.900 --> 00:01:08.100]  她說她會以神為樂
[00:01:08.100 --> 00:01:10.400]  I will rejoice in the Lord
[00:01:10.400 --> 00:01:14.900]  在這個過程裡面有什麼改變了
[00:01:14.900 --> 00:01:17.600]  有什麼是她明白了
[00:01:17.600 --> 00:01:19.800]  有什麼是她調整了呢
[00:01:19.800 --> 00:01:25.300]  在這兩輪的答問之後才來到聖殿裡面
[00:01:26.100 --> 00:01:27.100]  她祈禱
[00:01:27.100 --> 00:01:29.300]  你打開今天的聖經
[00:01:29.300 --> 00:01:31.300]  1408頁
[00:01:31.300 --> 00:01:35.300]  在當中你看見
[00:01:35.300 --> 00:01:38.600]  上一章的結束的時候
[00:01:38.600 --> 00:01:41.200]  就說耶和華在她的聖殿裡面
[00:01:41.200 --> 00:01:43.700]  全地當在她面前肅靜
[00:01:43.700 --> 00:01:47.000]  然後就到三章一節的禱告
[00:01:47.000 --> 00:01:50.900]  還有在三章最後十九節那兩句
[00:01:50.900 --> 00:01:53.800]  說她的祈禱成為一首詩歌
[00:01:53.800 --> 00:01:55.100]  可以唱頌
[00:01:55.600 --> 00:01:59.700]  表達她來到神的面前禱告
[00:01:59.700 --> 00:02:03.000]  在聖殿裡面以激動的聲音音調去禱告
[00:02:03.000 --> 00:02:05.300]  表達一種哀動
[00:02:05.300 --> 00:02:06.800]  很激動的情況
[00:02:06.800 --> 00:02:07.900]  她怎樣祈禱呢
[00:02:07.900 --> 00:02:09.900]  我請你幫我讀第二節
[00:02:09.900 --> 00:02:10.800]  預備起
[00:02:26.600 --> 00:02:28.200]  先知的禱告一開始就說
