
[00:00:00.000 --> 00:00:04.000]  今天我們讀的這段聖經是第十七章
[00:00:04.000 --> 00:00:09.000]  第十七章很特別的
[00:00:09.000 --> 00:00:12.000]  它完全是一個禱告
[00:00:12.000 --> 00:00:14.000]  其實是一個禱告
[00:00:14.000 --> 00:00:18.000]  這種段落在福音書裏不多的
[00:00:18.000 --> 00:00:22.000]  這種段落形式在福音書裏面不是很多見
[00:00:22.000 --> 00:00:26.000]  我們先說一下第十七章大概的結構
[00:00:26.000 --> 00:00:29.000]  我們先說一下第十七章大概的結構
[00:00:29.000 --> 00:00:32.000]  第一段是耶穌為自己禱告
[00:00:32.000 --> 00:00:34.000]  第一段是耶穌為自己禱告
[00:00:34.000 --> 00:00:38.000]  第二段是耶穌為他面前的一些門徒們在禱告
[00:00:38.000 --> 00:00:41.000]  第二段是耶穌為面前的門徒禱告
[00:00:41.000 --> 00:00:43.000]  第三段就是剛才我們讀的這段
[00:00:43.000 --> 00:00:45.000]  第三段就是剛才我們讀的那段
[00:00:45.000 --> 00:00:47.000]  是為你看這句話
[00:00:47.000 --> 00:00:50.000]  他說為了信了你們的話的人
[00:00:50.000 --> 00:00:55.000]  你看這句話裏面說是為了信了你們的話的人禱告
[00:00:55.000 --> 00:00:59.000]  也就是說聖靈降下教會建立
[00:00:59.000 --> 00:01:02.000]  也就是說聖靈降下教會得到建立
[00:01:02.000 --> 00:01:04.000]  使徒們他們傳福音
[00:01:04.000 --> 00:01:06.000]  使徒各自傳福音
[00:01:06.000 --> 00:01:09.000]  聽了他們的話信耶穌的人
[00:01:09.000 --> 00:01:12.000]  聽了他們的傳福音而信了主的人
[00:01:12.000 --> 00:01:14.000]  其實就是包括到今天的我們
[00:01:14.000 --> 00:01:16.000]  其實就是包括到了今天的我們
[00:01:16.000 --> 00:01:22.000]  所以剛才這一段其實是穿過兩千年在為我們在禱告
[00:01:22.000 --> 00:01:27.000]  這句以上讀的這段經文其實是穿越了兩千年為我們去做一個禱告
[00:01:27.000 --> 00:01:29.000]  這幾節聖經很短
[00:01:29.000 --> 00:01:31.000]  這幾節聖經其實很短
[00:01:31.000 --> 00:01:36.000]  他一上來開宗明義就告訴了我們大家
[00:01:36.000 --> 00:01:39.000]  一上來就開宗明義告訴我們
[00:01:39.000 --> 00:01:41.000]  耶穌在為什麼事情禱告
[00:01:41.000 --> 00:01:43.000]  耶穌是為了什麼禱告
[00:01:43.000 --> 00:01:46.000]  他其實就是一個重要的點
[00:01:46.000 --> 00:01:48.000]  其實只有一個重點
[00:01:48.000 --> 00:01:50.000]  就是主內合一
[00:01:50.000 --> 00:01:52.000]  剛才唱那首歌你們看到
[00:01:52.000 --> 00:01:55.000]  在剛才唱的歌我們都可以看到一二
[00:01:55.000 --> 00:02:02.000]  所以你看耶穌在釘十字架之前最後一個可以說是全篇的禱告
[00:02:02.000 --> 00:02:06.000]  看到耶穌在釘十四架之前全篇的禱告
[00:02:06.000 --> 00:02:08.000]  他最後為我們禱告
[00:02:08.000 --> 00:02:11.000]  最後為我們去禱告
[00:02:11.000 --> 00:02:12.000]  他沒說別的
[00:02:12.000 --> 00:02:13.000]  他沒說別的
[00:02:13.000 --> 00:02:17.000]  他就是說要為我們代求是主內合一
[00:02:17.000 --> 00:02:20.000]  為我們代求的唯一是主內合一
[00:02:20.000 --> 00:02:22.000]  可見這個合一是多重要
[00:02:22.000 --> 00:02:24.000]  可見合一的重要性
[00:02:24.000 --> 00:02:26.000]  那我們來說說主內合一到底是什麼
[00:02:26.000 --> 00:02:30.000]  我們可以看看主內合一包括什麼
[00:02:30.000 --> 00:02:35.000]  是不是人們都聚在一起就叫合一
[00:02:35.000 --> 00:02:37.000]  是不是大家聚在一起就叫合一
[00:02:37.000 --> 00:02:43.000]  無論是聚在一起崇拜禱告還是吃飯還是怎麼樣
[00:02:43.000 --> 00:02:50.000]  聚在一起可以是禱告吃飯和敬拜是不是合一呢
[00:02:50.000 --> 00:02:57.000]  那是不是把幾個教會都叫到一起來生活就是合一呢
[00:02:57.000 --> 00:03:03.000]  是不是把幾個教會的信徒都叫在一起生活就叫合一呢
[00:03:03.000 --> 00:03:04.000]  不是這樣的
[00:03:04.000 --> 00:03:05.000]  不是這樣的
[00:03:05.000 --> 00:03:09.000]  是在基督裏是在基督裏的合一
[00:03:09.000 --> 00:03:10.000]  是在靈裏合一
[00:03:10.000 --> 00:03:12.000]  是在靈裏的合一
[00:03:12.000 --> 00:03:16.000]  你們大家其實一聽這個什麼基督理啊靈理啊
[00:03:16.000 --> 00:03:18.000]  你會覺得有點玄
[00:03:18.000 --> 00:03:21.000]  大家聽到基督律啊靈裏面啊
[00:03:21.000 --> 00:03:25.000]  有些迷惑有些很搞不清
[00:03:25.000 --> 00:03:28.000]  它其實指的就是生命
[00:03:28.000 --> 00:03:30.000]  其實指的就是生命
[00:03:30.000 --> 00:03:34.000]  就是我們都有神的新生命
[00:03:34.000 --> 00:03:37.000]  其實我們大家都有神的新生命
[00:03:37.000 --> 00:03:39.000]  所以我們是一體的
[00:03:39.000 --> 00:03:41.000]  所以我們是一體的
[00:03:41.000 --> 00:03:43.000]  大家記住這句話
[00:03:43.000 --> 00:03:45.000]  不是我們信了耶穌
[00:03:45.000 --> 00:03:48.000]  我們一個人一份新生命
[00:03:48.000 --> 00:03:50.000]  不是我們信了耶穌之後
[00:03:50.000 --> 00:03:52.000]  每一個人有一份的新生命
[00:03:52.000 --> 00:03:53.000]  好像那個掰餅一樣
