
[00:00:00.000 --> 00:00:08.000]  主持人:主持人早安,特別是網上的主持人早安,一起敬拜我們的上帝。
[00:00:08.000 --> 00:00:23.000]  在我們生活中面對著很多困難,很多的轉變,但是我們在上帝的手中,我們是否仍然能夠靠著上帝,帶著平安的心來渡過?
[00:00:24.000 --> 00:00:39.000]  求主來帶領我們在以下的正道時間,我們好好去聆聽上帝的話語,也幫助我們,特別在現在這麼多變的世代裡面,我們如何在主的裡面站立得穩,我們一起去禱告。
[00:00:39.000 --> 00:00:52.000]  親愛的主原主,來保守引導我們,讓我們好好地去跟隨你,聽到主你的話,主,我們真的知道這個世界很紛亂,
[00:00:53.000 --> 00:01:18.000]  有時候我們的心也很紛亂,我們不知道怎樣去前行,但是主,求你親自帶領保守,讓我們好好地去跟隨你,也很藉著主你的話,重新的挑戰我們,也讓我們明白經文裡面的道理,知道主你當中的心因,主你當中的引導,求主繼續保守帶領。
[00:01:18.000 --> 00:01:22.000]  以上的禱告,奉我之耶,訴其聖名夜求,下門。
[00:01:23.000 --> 00:01:42.000]  主持人:教會安穩在轉變的當中,我不知道大家是否覺得我們生活在一個很大的轉變環境,很多事情都在變,在我們生活裡面,我們很多事情都一直在轉變。
[00:01:43.000 --> 00:02:09.000]  如果你認識這首歌的人,你應該有足夠的資深,你真的是香港人。這首歌的加辯叫做《知否世事常變,變幻原是永恆》。
[00:02:10.000 --> 00:02:24.000]  好像導出一個真相,就是生活不斷地很多事情在轉變,而這個轉變好像是永恆一樣,不會停,不斷地發生。
[00:02:25.000 --> 00:02:46.000]  這些發生令到我們,有些是迫著我們去動的,又或者我們之前有一個字眼,就是新常態。但這個轉變,有時回想我們是否受得了,我們是否能夠面對呢?
[00:02:47.000 --> 00:02:56.000]  我們面對不了的時間,我們有很大的壓力,我們有很大的焦慮,我們有很多不安,有很多不自在的狀況。
[00:02:57.000 --> 00:03:21.000]  接下來我們會有很多的轉變,我們又要去接受了,無論這些是樂意地接受,還是無樂意地接受,我們都知道這些轉變又會來了。第三針之後又不知道多少針呢?我們人生要面對多少針破紀錄地呢?
[00:03:22.000 --> 00:03:47.000]  你結婚的,你發覺你的簽紙,婚禮,擺酒,所有東西可以是斬件的,甚至你拍照也可以斬件的,你可以簽完紙之後,一年後來行禮,再過兩年,兒子都快要生了,你的時間就擺走了。
[00:03:48.000 --> 00:04:17.000]  現在有這樣的狀況。我們有時會想,你簽了名,簽了紙,結了婚,但是下年才行教堂,這段時間,這一年,在上帝裡面你是夫婦還是不是夫婦呢?現在出現很多令我們很頭痛的狀況,這些轉變令我們很難去適應,甚至我們都不知道怎樣適應。
[00:04:18.000 --> 00:04:39.000]  在世界裡面也有這些戰亂,這些戰亂令我們覺得為什麼會有這樣的侵略,甚至我們心中覺得這個轉變讓我們覺得,世界不是已經經歷了兩次世界大戰嗎?
[00:04:40.000 --> 00:04:59.000]  歐洲不是已經很清楚,對於戰亂這件事,對於公義的事,他們應該很清楚我們要去禁止嗎?為什麼發生一個擺明以大欺小,擺明是侵略,但是西方國家好像沒什麼行動。
[00:05:00.000 --> 00:05:19.000]  所以很多人會問,為什麼這些轉變讓我們推翻了我們過去一直有的價值,我們一直在想,我們有很多的前設,覺得應該是怎樣?我們面對轉變,我們應該怎樣去前行?
[00:05:20.000 --> 00:05:45.000]  最近突然間看多了電視,為什麼看多了電視呢?我一大壓力就要看電視去減壓,突然間什麼都看,突然看了一個節目是講一個大學的教授和一個初創業的企業,又做得很好才出來分享。
[00:05:46.000 --> 00:06:07.000]  他們在講怎樣面對一個轉變,人生面對很多轉變,他們在不同的專業當中覺得轉變應該怎樣應對呢?我覺得有多有智慧,他們在講一個狀況,我們面對一個轉變,不是去想怎樣去應對。
[00:06:08.000 --> 00:06:37.000]  我們以前習慣了面對困難,危難,棘手,我們很快就想怎樣去解決它,香港人很厲害,但他說現在新的思維不是這樣,現在新的思維讓我們重新思考自己的定位,因為你發覺你去解決一件事,你真的解決了,不過那件事又再出現。
[00:06:38.000 --> 00:07:07.000]  如果你不知道自己的身份,不知道自己的定位,不知道自己有什麼優勢的時間,你這麼快的去應對,只會無限回復,所以他在講一個面對轉變的時候,我們要好好思考我們是哪一個,我們自己有什麼優勢,有什麼特點,我們才能夠好好地面對這些轉變。
[00:07:09.000 --> 00:07:22.000]  回到今天的經文裡面,「以不鎖書」,「以不鎖書」是一個很重要的經卷,它講述一個很重要的教會觀,教會是什麼?
[00:07:24.000 --> 00:07:43.000]  去到現在這麼轉變的世界,我們要想一下教會是什麼?我們現在有聚會了,不過限到一半,150人去聚會,但是我們有時候去想一下,其實教會怎樣走下去呢?
[00:07:44.000 --> 00:08:09.000]  聖經裡面怎麼提醒我們繼續去前行?如果你看「以不鎖書」,你就知道是由保羅所寫,而保羅的處境就是坐牢,坐牢要寫一封書信給一個地方,你就知道這件事對於那個地方的教會來說很重要,不然不用坐牢也要寫給你。
[00:08:10.000 --> 00:08:23.000]  它裡面講的是什麼呢?在第二章,今天跟大家講的經文11到22節,不用太過花眼力去看,你應該看不到的。
[00:08:24.000 --> 00:08:52.000]  剛才有個物子的導師說,每逢powerpoint過30個字就不是給別人看的,其實我是想給大家看看左邊那邊的東西。它裡面講的是一個很重要的,它將整段的經文,首先講今天的經文,今天的經文裡面分了三個大段,很清楚的,因為它裡面對那批人講的當中的詞語都有不同,
[00:08:53.000 --> 00:09:12.000]  比如說「你們」、「我們」、「你們」,這些的稱謂很清楚地幫我們分到三個很清楚的段落,為什麼有時候寫「你們」講「我們」呢?你就知道「我們」比較親切一點,「你們」就比較格外一點。
