
[00:00:00.000 --> 00:00:02.000]  各位大英姊妹,早晨!
[00:00:02.000 --> 00:00:03.000]  弟兄姊妹早安!
[00:00:03.000 --> 00:00:04.000]  主內平安!
[00:00:04.000 --> 00:00:05.000]  主內平安!
[00:00:05.000 --> 00:00:10.000]  多謝大家給我有機會今天和大家分享神的說話
[00:00:10.000 --> 00:00:14.000]  很感謝大家今天有機會讓我可以跟大家分享神的話
[00:00:14.000 --> 00:00:18.000]  一開始的時候想請大家先閉上雙眼
[00:00:18.000 --> 00:00:21.000]  首先請大家先閉上眼睛
[00:00:21.000 --> 00:00:26.000]  因為我接下來會帶大家去想像一些情況
[00:00:26.000 --> 00:00:30.000]  接下來我會帶大家去想像一些情況
[00:00:30.000 --> 00:00:32.000]  還有會問大家一些問題
[00:00:32.000 --> 00:00:34.000]  還有問大家一些問題
[00:00:34.000 --> 00:00:40.000]  希望大家閉上雙眼可以集中一些去想像我形容的畫面
[00:00:40.000 --> 00:00:42.000]  希望大家可以閉上眼睛
[00:00:42.000 --> 00:00:45.000]  集中精力去想像我形容的畫面
[00:00:45.000 --> 00:00:48.000]  還有可以在心裏面很誠實地回答我的問題
[00:00:48.000 --> 00:00:52.000]  還有在心裏非常誠實地回答我的問題
[00:00:52.000 --> 00:00:56.000]  我看大家都準備好了
[00:00:56.000 --> 00:01:01.000]  請大家想像一下今天一早你剛剛起床的時候
[00:01:01.000 --> 00:01:05.000]  請你想像一下今天早上你剛起來的時候
[00:01:05.000 --> 00:01:11.000]  你刷牙、換衣服、吃早餐
[00:01:11.000 --> 00:01:13.000]  之後你就離開了家裏
[00:01:13.000 --> 00:01:15.000]  因為是時候開車回教會了
[00:01:15.000 --> 00:01:17.000]  然後你就離開屋子
[00:01:17.000 --> 00:01:20.000]  因為要開車回教會了
[00:01:20.000 --> 00:01:24.000]  你沿著你很熟悉的路去開車
[00:01:24.000 --> 00:01:26.000]  因為已經開過很多次了
[00:01:26.000 --> 00:01:28.000]  你沿著你熟悉的路一直開
[00:01:28.000 --> 00:01:30.000]  因為已經開過很多次了
[00:01:30.000 --> 00:01:32.000]  你不需要認路了
[00:01:32.000 --> 00:01:34.000]  所以你有很多時間去想其他的事情
[00:01:34.000 --> 00:01:36.000]  你不再需要認路
[00:01:36.000 --> 00:01:38.000]  所以你有時間去想其他的事情
[00:01:38.000 --> 00:01:40.000]  開著開著不知道為什麼
[00:01:40.000 --> 00:01:44.000]  你就突然想起一個令你很生氣的人
[00:01:44.000 --> 00:01:48.000]  不知道為什麼你忽然想到一個令你很生氣的人
[00:01:48.000 --> 00:01:52.000]  希望大家不要想一些歷史人物或者公眾人物
[00:01:52.000 --> 00:01:56.000]  大家不要想一些歷史人物或者公眾人物
[00:01:56.000 --> 00:02:00.000]  希望大家想的是一個你真的跟他互相認識的人
[00:02:00.000 --> 00:02:04.000]  我希望你想到一個你跟他互相認識的人
[00:02:04.000 --> 00:02:10.000]  有沒有一個你認識的人是你聽到他的名字已經無名火起的了
[00:02:10.000 --> 00:02:15.000]  有沒有一個你認識他的人你聽到他的名字就無名火起
[00:02:15.000 --> 00:02:18.000]  你見到他前面你甚至憎恨他後面
[00:02:18.000 --> 00:02:20.000]  你非常的憎恨他
[00:02:20.000 --> 00:02:25.000]  可能他曾經對你說過或者做過什麼事情
[00:02:25.000 --> 00:02:29.000]  可能他曾經對你做過或者講過什麼
[00:02:29.000 --> 00:02:31.000]  可能是近期的
[00:02:31.000 --> 00:02:33.000]  或者可能是已經很多年前發生的事情
[00:02:33.000 --> 00:02:35.000]  可能是近期的事
[00:02:35.000 --> 00:02:37.000]  又或者是很多年前發生的事
[00:02:37.000 --> 00:02:40.000]  但是你每次想起來你還是覺得很生氣的
[00:02:40.000 --> 00:02:43.000]  但是你每次想起來都覺得很生氣
[00:02:43.000 --> 00:02:45.000]  有沒有一個這樣的人呢
[00:02:45.000 --> 00:02:47.000]  有沒有這樣一個人
[00:02:47.000 --> 00:02:51.000]  你想一想不知不覺就來到教會附近
[00:02:51.000 --> 00:02:55.000]  你不知不覺你就來到教會附近了
[00:02:55.000 --> 00:03:03.000]  你停好車子拉上手煞熄火
[00:03:03.000 --> 00:03:09.000]  你開門關門鎖車
[00:03:09.000 --> 00:03:14.000]  一抬起你的頭你正準備走過去教會的大門的時候
[00:03:14.000 --> 00:03:20.000]  當你一抬起頭正準備向教會大門去的時候
[00:03:20.000 --> 00:03:25.000]  你就見到站在你前面的就是剛好是你剛才想起的那個人
[00:03:25.000 --> 00:03:31.000]  你就見到在你面前你看到的剛剛就是你想到的那個人
[00:03:31.000 --> 00:03:35.000]  你兩個站在那裡你眼看我眼
[00:03:35.000 --> 00:03:40.000]  你們兩個都停住了腳步你看著我我看著你
[00:03:40.000 --> 00:03:44.000]  請問在這個情況你會跟他說什麼呢
[00:03:44.000 --> 00:03:49.000]  那請問在這個情況下你會跟他說什麼呢
[00:03:49.000 --> 00:03:52.000]  有沒有什麼說話其實你已經想了很久了
[00:03:52.000 --> 00:03:56.000]  你在腦裡面是不停演練過很多次了
