
[00:00:00.000 --> 00:00:01.320]  大英之妹早晨
[00:00:01.320 --> 00:00:04.200]  還在疫症當中
[00:00:04.200 --> 00:00:07.360]  特別是在這裡祝願每一個人都平安
[00:00:07.360 --> 00:00:12.840]  當夜空漆黑
[00:00:12.840 --> 00:00:14.840]  大地昏暗的時候
[00:00:14.840 --> 00:00:18.360]  我們抬頭望天
[00:00:18.360 --> 00:00:21.480]  如果偶然見到一顆流星
[00:00:21.480 --> 00:00:24.560]  我們已經開心到不得了
[00:00:24.560 --> 00:00:27.440]  如果見到流星雨
[00:00:28.000 --> 00:00:30.040]  那就真是喜出望外了
[00:00:30.040 --> 00:00:34.880]  流星雨是眾多的流星
[00:00:34.880 --> 00:00:37.680]  這些這麼多的流星
[00:00:37.680 --> 00:00:41.520]  都是從外太空同一個源頭那裡來的
[00:00:41.520 --> 00:00:47.040]  它們以平衡的軌道闖向這個地球
[00:00:47.040 --> 00:00:49.280]  跟我們大氣層摩擦
[00:00:49.280 --> 00:00:51.720]  就會產生一些平衡的
[00:00:51.720 --> 00:00:55.240]  令人驚歎的光的軌跡
[00:00:56.640 --> 00:00:59.040]  外太空的東西闖向地球
[00:00:59.040 --> 00:01:01.040]  我們就會見到流星
[00:01:01.040 --> 00:01:04.440]  類比地來說
[00:01:04.440 --> 00:01:09.840]  就是當神聖世界的東西闖入我們世界的時候
[00:01:09.840 --> 00:01:13.920]  其實都是會跟我們世界慣常的事物
[00:01:13.920 --> 00:01:15.520]  產生一些摩擦
[00:01:15.520 --> 00:01:18.280]  亦都會產生一些耀眼的
[00:01:18.280 --> 00:01:21.000]  令人驚歎的光的軌跡
[00:01:21.000 --> 00:01:23.560]  我們稱它為神跡
[00:01:24.520 --> 00:01:27.800]  這些是從神聖世界而來的流星
[00:01:27.800 --> 00:01:31.320]  在馬太福音的聖誕故事裡面
[00:01:31.320 --> 00:01:36.800]  神聖的世界密集地闖進我們的世界
[00:01:36.800 --> 00:01:43.040]  譬如聖靈闖進瑪利亞的生命裡面
[00:01:43.040 --> 00:01:44.640]  讓祂懷孕
[00:01:44.640 --> 00:01:48.600]  天使闖進約瑟的夢境裡面
[00:01:48.600 --> 00:01:50.960]  讓祂去接納瑪利亞
[00:01:50.960 --> 00:01:54.240]  天上亦都有些特別的星光
