
[00:00:00.000 --> 00:00:03.360]  今天我要和大家開始一部新的書
[00:00:03.360 --> 00:00:05.120]  就是《羅馬書》
[00:00:05.120 --> 00:00:08.240]  我剛剛才和大家講完《士思記》
[00:00:08.240 --> 00:00:10.080]  舊約的《士思記》
[00:00:10.080 --> 00:00:12.800]  《士思記》是歷史書
[00:00:12.800 --> 00:00:14.880]  所以有很多故事
[00:00:14.880 --> 00:00:16.520]  我身為一個牧師
[00:00:16.520 --> 00:00:18.200]  我很喜歡講故事
[00:00:18.200 --> 00:00:20.200]  但是我更加喜歡的是什麼?
[00:00:20.200 --> 00:00:21.480]  就是神學
[00:00:21.480 --> 00:00:23.880]  現在新約的《羅馬書》
[00:00:23.880 --> 00:00:27.320]  充滿了很多很多的神學思想
[00:00:27.320 --> 00:00:29.480]  非常非常豐富
[00:00:30.360 --> 00:00:32.840]  我叫今天的這篇道
[00:00:32.840 --> 00:00:35.640]  叫《為何要讀羅馬書》
[00:00:35.640 --> 00:00:37.520]  我每講一部新的書
[00:00:37.520 --> 00:00:39.840]  我就會用這個題目
[00:00:39.840 --> 00:00:42.000]  《為何要讀這部書》
[00:00:42.000 --> 00:00:44.640]  如果你只想知道
[00:00:44.640 --> 00:00:47.000]  羅馬書大概講什麼
[00:00:47.000 --> 00:00:49.520]  你只聽今天這篇道就可以
[00:00:49.520 --> 00:00:50.800]  但是如果你想知道
[00:00:50.800 --> 00:00:53.840]  羅馬書的細節
[00:00:53.840 --> 00:00:56.680]  你就需要聽完整個系列
[00:00:57.640 --> 00:01:01.080]  《羅馬書》的書名叫做《羅馬書》
[00:01:01.080 --> 00:01:02.120]  為什麼?
[00:01:02.120 --> 00:01:05.800]  因為是保羅寫給羅馬的信徒
[00:01:05.800 --> 00:01:08.080]  所以是用修信人的名字
[00:01:08.080 --> 00:01:09.840]  來做這部書的名字
[00:01:09.840 --> 00:01:11.360]  就是《羅馬書》
[00:01:11.360 --> 00:01:14.600]  羅馬這個城很有趣
[00:01:14.600 --> 00:01:16.960]  它是羅馬帝國的首都
[00:01:16.960 --> 00:01:19.160]  它是一個很重要的城市
[00:01:19.160 --> 00:01:22.240]  它是被七座山圍圍繞著
[00:01:23.000 --> 00:01:28.520]  羅馬城在公元前的753年被建立
[00:01:28.520 --> 00:01:31.160]  早在舊約的時候已經被建立
[00:01:31.160 --> 00:01:32.840]  但是到了新約的時候
[00:01:32.840 --> 00:01:36.120]  聖經才有提及羅馬城
[00:01:36.120 --> 00:01:37.960]  歷代的羅馬王
[00:01:37.960 --> 00:01:40.040]  蓋薩王或者海薩王
[00:01:40.040 --> 00:01:42.280]  他們都是將他們的宮殿
[00:01:42.280 --> 00:01:45.160]  建立在羅馬城裡面
[00:01:45.160 --> 00:01:49.560]  羅馬的位置在台柏河
[00:01:49.560 --> 00:01:55.400]  台柏河的沿岸距離地中海大約15里
[00:01:55.400 --> 00:02:00.760]  它聚集了東西、文化、商業的交流
[00:02:00.760 --> 00:02:03.440]  所以是一個非常混雜
[00:02:03.440 --> 00:02:06.240]  非常亂的一個地方
[00:02:06.240 --> 00:02:08.800]  有很多不同的宗教
[00:02:08.800 --> 00:02:10.960]  有物質主義的教導
[00:02:10.960 --> 00:02:13.440]  有多神論主義
[00:02:13.440 --> 00:02:17.320]  它的宗教是包括埃及、希臘
[00:02:17.320 --> 00:02:20.400]  還有羅馬本色的宗教
[00:02:20.400 --> 00:02:21.920]  以軍事來講
[00:02:21.920 --> 00:02:24.720]  它是征服了很多的國家
[00:02:24.720 --> 00:02:26.480]  包括希臘
[00:02:26.480 --> 00:02:28.320]  但是在文化來講
[00:02:28.320 --> 00:02:33.040]  它反而是被希臘的文化同化了
[00:02:33.040 --> 00:02:35.320]  羅馬的交通發達
[00:02:35.320 --> 00:02:37.720]  有一句話相信大家都認識
[00:02:37.720 --> 00:02:40.920]  就是「條條大路通羅馬」
[00:02:40.920 --> 00:02:44.440]  羅馬每個地方都有重兵駐守
[00:02:44.440 --> 00:02:47.520]  所以是非常之太平
[00:02:47.520 --> 00:02:51.760]  羅馬城裡面一般的生活又是怎樣
[00:02:51.760 --> 00:02:54.280]  在耶穌基督出生的前後
[00:02:54.280 --> 00:02:57.040]  大概是公元前的27年
[00:02:57.040 --> 00:02:59.880]  到公元的180年間
[00:02:59.880 --> 00:03:02.760]  羅馬是一片的太平盛世
[00:03:02.760 --> 00:03:05.840]  各個人都是安居樂業
[00:03:05.840 --> 00:03:09.240]  歷史學家稱它為「羅馬太平」
[00:03:09.240 --> 00:03:12.320]  就是「Pax Romana」
[00:03:12.320 --> 00:03:14.240]  在保羅的時代
[00:03:14.240 --> 00:03:17.320]  羅馬城裡面是有100萬的人口
[00:03:17.320 --> 00:03:20.480]  但是有一半都是奴隸
[00:03:20.480 --> 00:03:24.200]  你看到一半是主人一半是奴隸
[00:03:24.200 --> 00:03:29.000]  所以羅馬是一個貧富懸殊的地方
[00:03:29.000 --> 00:03:31.240]  它是豪華和簡陋
[00:03:31.240 --> 00:03:32.800]  尊貴和卑賤
[00:03:32.800 --> 00:03:35.520]  富足和貧窮的
[00:03:35.520 --> 00:03:38.560]  很強烈對比的一個地方
[00:03:38.560 --> 00:03:40.480]  在羅馬城裡面的貴族
[00:03:40.480 --> 00:03:42.960]  他們享盡榮華富貴
[00:03:42.960 --> 00:03:45.480]  他們的生活 他們的娛樂
[00:03:45.480 --> 00:03:48.920]  包括喝烈酒 看戲劇
[00:03:48.920 --> 00:03:51.640]  看國鬥士Gladiators
[00:03:51.640 --> 00:03:54.360]  還有人和野獸的搏鬥
[00:03:54.360 --> 00:03:57.680]  這個就是他們的娛樂
[00:03:57.680 --> 00:04:02.040]  在羅馬城裡面有很多猶太人居住
[00:04:02.040 --> 00:04:07.360]  大部分這些人都是由羅馬將軍旁陪
[00:04:07.360 --> 00:04:10.200]  他戰勝了耶路撒冷
[00:04:10.200 --> 00:04:12.200]  征服了耶路撒冷之後
[00:04:12.200 --> 00:04:17.120]  將很多猶太人帶到羅馬城裡面居住
[00:04:17.120 --> 00:04:22.760]  但是後來羅馬政府又怕猶太人會叛變
[00:04:22.760 --> 00:04:27.600]  所以大規模地將猶太人驅逐出境
[00:04:27.600 --> 00:04:32.040]  到了羅馬王尼祿統治的時候
[00:04:32.040 --> 00:04:37.200]  猶太人又再一次能夠回到羅馬城居住
[00:04:37.200 --> 00:04:41.240]  在那個時候羅馬有11個會堂
[00:04:41.240 --> 00:04:46.560]  可見得在處羅馬居住的猶太人是很多很多
[00:04:46.560 --> 00:04:50.720]  關於羅馬教會是怎樣被成立的呢
[00:04:50.720 --> 00:04:52.440]  傳說紛紛
[00:04:52.440 --> 00:04:53.640]  記不記得彼得
[00:04:53.640 --> 00:04:55.880]  我們講《使徒行轉》的時候
[00:04:55.880 --> 00:04:58.120]  講到《使徒行轉》的十二章
[00:04:58.120 --> 00:05:01.520]  彼得被天使救出監獄之後
[00:05:01.520 --> 00:05:03.360]  就銷聲匿跡
[00:05:03.360 --> 00:05:06.200]  除了在《使徒行轉》的十五章
[00:05:06.200 --> 00:05:07.760]  在大公會的時候
[00:05:07.760 --> 00:05:10.480]  是有暫時略略地出現
[00:05:10.480 --> 00:05:12.720]  是沒有再提到彼得
[00:05:12.720 --> 00:05:16.880]  所以羅馬天主教就說
[00:05:16.880 --> 00:05:19.080]  彼得是去了羅馬
