
[00:00:00.000 --> 00:00:04.700]  今天要和大家分享的題目是「神家我家」
[00:00:04.700 --> 00:00:07.900]  今天要和大家分享的題目就是「神家我家」
[00:00:07.900 --> 00:00:11.200]  神的家到底是不是我們的家呢?
[00:00:11.200 --> 00:00:13.900]  神的家究竟是不是真的是我們的家呢?
[00:00:13.900 --> 00:00:14.800]  如果我問一個問題
[00:00:14.800 --> 00:00:17.400]  你們有沒有當教會神的家是你們的家?
[00:00:17.400 --> 00:00:19.300]  我相信很多人一定回答的
[00:00:19.300 --> 00:00:21.400]  我可以問你們一個問題
[00:00:21.400 --> 00:00:23.500]  你會不會當這會是你們的家?
[00:00:23.500 --> 00:00:26.200]  我想問有沒有一些比較坦白的、誠實的
[00:00:26.200 --> 00:00:29.100]  沒有當神的家是自己的家的?
[00:00:29.100 --> 00:00:31.300]  我相信都不會有人回答的
[00:00:31.300 --> 00:00:34.000]  我想你們要坦白的、明白的告訴我們
[00:00:34.000 --> 00:00:36.800]  有沒有當神的家是你的家?
[00:00:36.800 --> 00:00:39.800]  相信大家都沒有
[00:00:39.800 --> 00:00:41.300]  不是全部
[00:00:41.300 --> 00:00:45.700]  也不是全部,有一部分會說沒有
[00:00:45.700 --> 00:00:48.700]  事實上在現今的環教會裡面
[00:00:48.700 --> 00:00:50.800]  一般基督徒
[00:00:50.800 --> 00:00:55.100]  事實是現在的活用基督徒的一般基督徒
[00:00:55.100 --> 00:00:58.800]  有多少當自己的教會神的家
[00:00:58.800 --> 00:01:00.600]  是自己的家?
[00:01:00.600 --> 00:01:08.900]  有多少會當教會是神的家,是自己的家?
[00:01:08.900 --> 00:01:14.700]  所以今天我們看這段經文的時候
[00:01:14.700 --> 00:01:16.600]  隨時提醒我們
[00:01:16.600 --> 00:01:20.200]  祂再一次的提醒我們
[00:01:20.200 --> 00:01:24.200]  在神的家裡面
[00:01:24.200 --> 00:01:27.900]  神的家是主什麼呢?
[00:01:27.900 --> 00:01:31.100]  今天你們回神的家,還是回教會?
[00:01:31.100 --> 00:01:35.300]  今天你是回神的家,或者是教會?
[00:01:35.300 --> 00:01:37.400]  很多時候我會問你有沒有回教會?
[00:01:37.400 --> 00:01:39.900]  很多時候我會問你有沒有去教會呢?
[00:01:39.900 --> 00:01:41.900]  哦,這裡有建築物而已,是不是?
[00:01:41.900 --> 00:01:44.800]  這只是一座建築物而已
[00:01:44.800 --> 00:01:49.500]  在家裡聚會,可不可以叫教會?
[00:01:49.500 --> 00:01:52.900]  在家裡聚會,可不可以說是教會呢?
[00:01:52.900 --> 00:01:54.600]  可以或者不可以?
[00:01:54.600 --> 00:01:57.400]  可以或者不可以呢?
[00:01:57.400 --> 00:02:00.900]  有些人這樣,有些人這樣,有些人不動
[00:02:00.900 --> 00:02:04.800]  有些人有頭,有些是點頭,有些是沒有動
[00:02:04.800 --> 00:02:07.400]  其實教會不是一個建築物
[00:02:07.400 --> 00:02:09.200]  其實教會不是建築物
[00:02:09.200 --> 00:02:11.800]  在聖經裡面看到神的家就是教會
[00:02:11.800 --> 00:02:15.100]  教會就是神所住的一幫人
[00:02:15.100 --> 00:02:20.300]  隨著在一起,那個就被稱為神的家,教會
[00:02:20.300 --> 00:02:23.600]  在聖經說神的家就是教會
[00:02:23.600 --> 00:02:25.700]  就是一群人聚在教會當中
[00:02:25.700 --> 00:02:27.700]  那就是神的家
[00:02:27.700 --> 00:02:33.200]  就比如假如我們今天不是在這個教堂裡面
[00:02:33.200 --> 00:02:36.800]  就比如說今天我們不單只是在一座教堂裡面
[00:02:36.800 --> 00:02:39.100]  在葦全道家的客廳裡面
[00:02:39.100 --> 00:02:42.500]  或者是在葦全道街中的客廳裡面
[00:02:42.500 --> 00:02:45.900]  那那裡會被稱為神的家,教會
[00:02:45.900 --> 00:02:49.400]  那可不可以被稱為神的家或者教會呢?
[00:02:49.400 --> 00:02:50.300]  可不可以啊?
[00:02:50.300 --> 00:02:51.400]  可不可以啊?
[00:02:51.400 --> 00:02:51.900]  是可以的
[00:02:51.900 --> 00:02:54.700]  一幫神的子民隨著在一起
[00:02:54.700 --> 00:03:00.000]  讀經祈禱敬拜交流的就是神的家,教會
[00:03:00.000 --> 00:03:07.000]  就是一群基督徒就是聚在一起讀經
[00:03:07.000 --> 00:03:11.100]  研究就是神的家,那就是教會
[00:03:11.100 --> 00:03:14.500]  不好意思講太長了
[00:03:14.500 --> 00:03:19.000]  那到底哪些人是屬於神家裡的人呢?
[00:03:19.000 --> 00:03:22.900]  到底哪些人才是屬於神家裡的人呢?
[00:03:22.900 --> 00:03:26.400]  大家很清楚知道了,考慮誠心相信
[00:03:26.400 --> 00:03:28.300]  就是神家裡的人是不是?
[00:03:28.300 --> 00:03:30.700]  大家應該很清楚就是口裡承認
[00:03:30.700 --> 00:03:32.900]  心裡相信,那就是成為神的家人
[00:03:32.900 --> 00:03:34.200]  是或者不是啊?
[00:03:34.200 --> 00:03:36.400]  是或者不是呢?
[00:03:36.400 --> 00:03:38.300]  是或者不是啊?
[00:03:38.300 --> 00:03:39.900]  他們受洗了
[00:03:39.900 --> 00:03:40.900]  是還是不是?
[00:03:40.900 --> 00:03:43.600]  因為你們有些還沒有受洗的
