
[00:00:00.000 --> 00:00:08.760]  今天和大家繼續講羅馬書第十二章第二節
[00:00:08.760 --> 00:00:12.300]  其實很多時候應該由第一節開始講起
[00:00:12.300 --> 00:00:14.780]  所以我以神的慈悲勸你們
[00:00:14.780 --> 00:00:16.300]  將真正的現象當作活祭事
[00:00:16.300 --> 00:00:17.680]  聖見之事 神所予律的
[00:00:17.680 --> 00:00:19.780]  你們如此侍奉乃是理所當然的
[00:00:19.780 --> 00:00:21.340]  接著就是第二節了
[00:00:21.340 --> 00:00:23.540]  其實羅馬書第十二章第一節
[00:00:23.540 --> 00:00:25.540]  它用「所以」開始
[00:00:25.540 --> 00:00:27.240]  為甚麼用「所以」呢
[00:00:27.240 --> 00:00:29.840]  原來由第一章轉到第十一章
[00:00:29.840 --> 00:00:31.840]  一般的解經家都說
[00:00:31.840 --> 00:00:34.580]  他一直在講神的憐憫
[00:00:34.580 --> 00:00:36.580]  憐憫是甚麼來的
[00:00:36.580 --> 00:00:38.080]  憐憫不是講道理
[00:00:38.080 --> 00:00:40.080]  憐憫是講甚麼 講情
[00:00:40.080 --> 00:00:42.080]  即是神對我們的愛
[00:00:42.080 --> 00:00:43.360]  對我們的情
[00:00:43.360 --> 00:00:46.380]  當我們的慈悲憐憫
[00:00:46.380 --> 00:00:50.200]  於是乎我們應該有甚麼回應呢
[00:00:50.200 --> 00:00:53.840]  他就叫我們的回應其實很簡單
[00:00:53.840 --> 00:00:55.840]  不要效法這個世界
[00:00:55.840 --> 00:00:57.840]  因為神最不喜歡我們甚麼
[00:00:57.840 --> 00:01:00.340]  最不喜歡我們跟從魔鬼而不跟從祂
[00:01:00.340 --> 00:01:02.340]  因為之前我都跟大家講過
[00:01:02.340 --> 00:01:04.340]  這個世界的神是誰
[00:01:04.340 --> 00:01:06.340]  原來這個世界的神
[00:01:06.340 --> 00:01:08.340]  就是魔鬼撒旦
[00:01:08.340 --> 00:01:09.840]  這個世界的王是誰
[00:01:09.840 --> 00:01:11.340]  就是魔鬼撒旦
[00:01:11.340 --> 00:01:13.340]  因為當人犯罪的時候
[00:01:13.340 --> 00:01:16.340]  就成為了魔鬼撒旦的子民
[00:01:16.340 --> 00:01:19.340]  就成為了魔鬼撒旦的奴僕
[00:01:19.340 --> 00:01:21.340]  你服侍誰
[00:01:21.340 --> 00:01:23.340]  你就是誰的僕人
[00:01:23.340 --> 00:01:25.340]  如果你服侍神的時候
[00:01:25.340 --> 00:01:27.340]  我們是神的僕人
[00:01:27.340 --> 00:01:30.340]  但如果我們服侍魔鬼撒旦的時候
[00:01:30.340 --> 00:01:34.340]  聽祂說跟從祂的做法呢
[00:01:34.340 --> 00:01:36.340]  有時我們自己都不知道
[00:01:36.340 --> 00:01:39.340]  我怎會跟魔鬼 我怎會跟撒旦
[00:01:39.340 --> 00:01:42.340]  但問題就是我們的心思意念
[00:01:42.340 --> 00:01:44.340]  和我們的言行舉止
[00:01:44.340 --> 00:01:46.340]  原來都是
[00:01:46.340 --> 00:01:49.340]  和魔鬼相似
[00:01:49.340 --> 00:01:51.340]  就和神不相似
[00:01:51.340 --> 00:01:52.340]  好 今天繼續跟大家講
[00:01:52.340 --> 00:01:55.340]  所以神叫我們要分別出來
[00:01:55.340 --> 00:01:57.340]  要離開那個地方
[00:01:57.340 --> 00:01:59.340]  不是說叫我們
[00:01:59.340 --> 00:02:02.340]  早點安息主懷
[00:02:02.340 --> 00:02:04.340]  不是這個意思
[00:02:04.340 --> 00:02:08.340]  我們是要跟從神
[00:02:08.340 --> 00:02:10.340]  就算我們在這個地方
[00:02:10.340 --> 00:02:11.340]  在這個環境
[00:02:11.340 --> 00:02:12.340]  在這個風俗
[00:02:12.340 --> 00:02:14.340]  在這個大趨勢裏面
[00:02:14.340 --> 00:02:18.340]  但我們仍然可以不跟從這個大趨勢
[00:02:18.340 --> 00:02:19.340]  在這裏呢
[00:02:19.340 --> 00:02:21.340]  大家看看哥倫多後書六章十七節
[00:02:21.340 --> 00:02:23.340]  你們務以從他們中間出來
[00:02:23.340 --> 00:02:25.340]  與他們分別
[00:02:25.340 --> 00:02:27.340]  不要滇染不潔淨的墨
[00:02:27.340 --> 00:02:28.340]  正如我說的
[00:02:28.340 --> 00:02:30.340]  不是叫我們快點走人
[00:02:30.340 --> 00:02:31.340]  走去哪裏
[00:02:31.340 --> 00:02:32.340]  走去火星
[00:02:32.340 --> 00:02:33.340]  走去哪裏
[00:02:33.340 --> 00:02:35.340]  與主同序好得無比
[00:02:35.340 --> 00:02:36.340]  不是不是
[00:02:36.340 --> 00:02:38.340]  但是我們中國人都有一句說話
[00:02:38.340 --> 00:02:40.340]  出乜嘢呀
[00:02:40.340 --> 00:02:41.340]  出乜嘢呀
[00:02:41.340 --> 00:02:45.340]  我的耳是聾的
[00:02:45.340 --> 00:02:47.340]  這邊就近些聽到
[00:02:47.340 --> 00:02:49.340]  出污泥而不染
[00:02:49.340 --> 00:02:51.340]  我們中國人都有這句
[00:02:51.340 --> 00:02:53.340]  其實我經常說中國真是好勁的
[00:02:53.340 --> 00:02:54.340]  好勁的
[00:02:54.340 --> 00:02:55.340]  好多東西呢
[00:02:55.340 --> 00:02:57.340]  真是近乎真理
[00:02:57.340 --> 00:02:59.340]  出污泥而不染
[00:02:59.340 --> 00:03:01.340]  這句是說甚麼的
[00:03:01.340 --> 00:03:03.340]  荷花
[00:03:03.340 --> 00:03:05.340]  你們懂不懂分辨荷花和蓮花
[00:03:05.340 --> 00:03:07.340]  懂不懂分辨
[00:03:07.340 --> 00:03:11.340]  我有一段時間不知道怎麼分
[00:03:11.340 --> 00:03:13.340]  不過後來我知道了
[00:03:13.340 --> 00:03:15.340]  當我想起荷葉飯的時候
[00:03:15.340 --> 00:03:17.340]  有沒有聽過蓮葉飯
[00:03:17.340 --> 00:03:19.340]  沒有的
[00:03:19.340 --> 00:03:21.340]  但是有沒有聽過荷葉飯
[00:03:21.340 --> 00:03:23.340]  為甚麼 因為荷葉大塊
[00:03:23.340 --> 00:03:25.340]  明白嗎
[00:03:25.340 --> 00:03:27.340]  因為荷葉很大塊
[00:03:27.340 --> 00:03:29.340]  荷葉飯又要包包埋埋
