
[00:00:00.000 --> 00:00:07.740]  我小時候很心痛,現在也是,不過那時候就更加厲害
[00:00:07.740 --> 00:00:12.000]  我很喜歡問大人,問他們的問題
[00:00:12.000 --> 00:00:15.720]  有些問題是他們不喜歡聽的
[00:00:15.720 --> 00:00:22.240]  因為我會問一些人為什麼死,死了之後去哪裡
[00:00:22.240 --> 00:00:25.240]  那些大人一聽到我問死
[00:00:25.240 --> 00:00:29.720]  他們就會說「同言無忌,大吉大利」
[00:00:29.720 --> 00:00:34.500]  所以我小時候就為家裡很多事帶來大吉大利
[00:00:34.500 --> 00:00:40.760]  他們覺得我不懂秘技,說話不合時宜
[00:00:40.760 --> 00:00:45.480]  這次我這篇讀的經文,有些人都覺得不合時宜
[00:00:45.480 --> 00:00:48.480]  因為第一節就說到摩西死了
[00:00:48.480 --> 00:00:51.720]  第二節又說到摩西死了
[00:00:51.720 --> 00:00:56.720]  其實我相信當時的以色列人都覺得
[00:00:56.720 --> 00:01:00.280]  摩西的死是不合時宜的
[00:01:00.280 --> 00:01:03.800]  因為我們在曠野流浪了40年
[00:01:03.800 --> 00:01:09.320]  準備好了,進入迦南地,摩西就走了
[00:01:09.320 --> 00:01:11.640]  不合時宜,是不是?
[00:01:11.640 --> 00:01:16.700]  過了1400年,耶穌基督降臨
[00:01:16.700 --> 00:01:21.940]  釘十字架,埋葬,復活,升天
[00:01:21.940 --> 00:01:26.600]  那11個門徒都覺得耶穌這樣走法是不合時宜的
[00:01:26.600 --> 00:01:29.740]  我們經過了三年半的訓練
[00:01:29.740 --> 00:01:34.740]  學滿下山,準備創造一番事業
[00:01:34.740 --> 00:01:38.440]  誰知道阿夫子就走了,不合時宜
[00:01:38.440 --> 00:01:44.960]  耶穌升天之後2000年,就是今天了
[00:01:44.960 --> 00:01:48.960]  你發現香港面對一個新的環境
[00:01:48.960 --> 00:01:51.200]  很多的困難很複雜
[00:01:51.200 --> 00:01:55.440]  有疫情,有移民潮,經濟下行
[00:01:55.440 --> 00:01:58.920]  教會不見了人,錢也不見了
[00:01:58.920 --> 00:02:03.260]  甚至有些人覺得在這個不合時宜的環境裏面
[00:02:03.260 --> 00:02:05.420]  都是一動不移一靜
[00:02:05.420 --> 00:02:09.480]  星期天,在家裏靜靜地,網上聽道
[00:02:09.480 --> 00:02:15.040]  就好過動身上來崇拜,是不是?
[00:02:15.040 --> 00:02:20.340]  實體聚會,傳福音都是大量減低
[00:02:20.340 --> 00:02:26.160]  我想問,在你的生命裏面,有沒有出現過這樣的身亡
[00:02:26.160 --> 00:02:34.500]  令到你覺得光鑽大亂,驚慌失措
[00:02:34.500 --> 00:02:39.760]  以致每樣東西都不合時宜呢?
[00:02:39.760 --> 00:02:42.520]  現在這個世界其實都很複雜
[00:02:42.520 --> 00:02:45.400]  我聽新聞,中國大陸
[00:02:45.400 --> 00:02:52.120]  甚至其它的國家,日本、台灣、香港都開始有
[00:02:52.120 --> 00:02:55.780]  那些青年人就躺平
[00:02:55.780 --> 00:02:59.920]  覺得這個環境不合時宜了
[00:02:59.920 --> 00:03:02.000]  躺平就什麼都不做
[00:03:02.000 --> 00:03:04.580]  又不結婚,又不生孩子,又不找工作
[00:03:04.580 --> 00:03:09.180]  最低消費,最低消費10元一天
[00:03:09.180 --> 00:03:12.120]  減到最低,什麼都不做
[00:03:12.120 --> 00:03:17.620]  差不多是對這個世界的抗議,對自己生命的抗議
[00:03:17.620 --> 00:03:21.160]  甚至不是講抗議,抗議都沒有力
[00:03:21.160 --> 00:03:25.280]  簡直是耗盡,等死
[00:03:25.280 --> 00:03:29.360]  他們是青年人,那種burn out
[00:03:29.360 --> 00:03:34.120]  那種情況,不懂得如何處理這個新的環境
[00:03:34.120 --> 00:03:36.120]  沒有心理準備
[00:03:36.120 --> 00:03:44.240]  今天我們要看約斯亞第一章的九節,上帝如何對我們講話
[00:03:44.240 --> 00:03:50.000]  我們如何面對這個新環境,將困難成為機遇
[00:03:50.000 --> 00:03:53.000]  得到上帝的應許和祝福
[00:03:53.000 --> 00:03:56.800]  首先你要知道上帝應許了你有多少
