
[00:00:00.000 --> 00:00:03.000]  請各位低頭我們同心祈禱
[00:00:03.000 --> 00:00:05.000]  願我口中的言語
[00:00:05.000 --> 00:00:08.000]  中弟兄姊妹的心懷意念
[00:00:08.000 --> 00:00:10.000]  在上主面前
[00:00:10.000 --> 00:00:12.000]  登蒙月立
[00:00:12.000 --> 00:00:14.000]  阿門
[00:00:14.000 --> 00:00:17.000]  各位弟兄姊妹早晨
[00:00:17.000 --> 00:00:22.000]  是過去的幾個月
[00:00:22.000 --> 00:00:25.000]  在香港不同的地方
[00:00:25.000 --> 00:00:32.000]  我們都很難真的享受到一種寧靜
[00:00:32.000 --> 00:00:36.000]  在過去的這個星期
[00:00:36.000 --> 00:00:41.000]  情況是讓我們很值得去感恩
[00:00:41.000 --> 00:00:45.000]  昨晚我有親戚結婚
[00:00:45.000 --> 00:00:54.000]  我在將軍澳那裡一間酒店的宴會廳
[00:00:54.000 --> 00:00:59.000]  其實已經平靜了很多
[00:00:59.000 --> 00:01:03.000]  但大家在圍內都有人看手機
[00:01:03.000 --> 00:01:09.000]  看到哪裡好像太子西
[00:01:09.000 --> 00:01:14.000]  於是吃到最後幾個菜的時候
[00:01:14.000 --> 00:01:16.000]  已經是差不多
[00:01:16.000 --> 00:01:18.000]  俗一點說是雞飛狗走
[00:01:18.000 --> 00:01:21.000]  因為主人家安排了一些車
[00:01:21.000 --> 00:01:25.000]  是接送賓客去到不同的區
[00:01:25.000 --> 00:01:31.000]  讓他們可以早一點回到他們的居所
[00:01:31.000 --> 00:01:35.000]  這個也是令我想起
[00:01:35.000 --> 00:01:38.000]  以賽亞書第四十章
[00:01:38.000 --> 00:01:40.000]  開始的時候他說
[00:01:40.000 --> 00:01:44.000]  你們要安慰安慰我的百姓
[00:01:44.000 --> 00:01:47.000]  他們的罪孽已經滿了
[00:01:47.000 --> 00:01:52.000]  現在他們再次得到祝福
[00:01:52.000 --> 00:01:54.000]  得享平安的時候
[00:01:54.000 --> 00:01:59.000]  我相信上主都是為香港的子民
