
[00:00:00.000 --> 00:00:02.000]  我們在正道前提和心理祈禱
[00:00:02.000 --> 00:00:07.000]  神的獨生兒子耶穌基督求祢私恩可憐這個罪人
[00:00:07.000 --> 00:00:11.000]  願意在主祢面前示立宣講主的恩怨
[00:00:11.000 --> 00:00:16.000]  與耶穌基督的保血再一次洗淨這個不配人的罪
[00:00:16.000 --> 00:00:19.000]  讓孩子能夠成為神話語的出口
[00:00:19.000 --> 00:00:21.000]  能夠將主的恩怨解明
[00:00:21.000 --> 00:00:24.000]  願意真理聖靈開啟我們心竅
[00:00:24.000 --> 00:00:27.000]  帶領我們進入真理
[00:00:27.000 --> 00:00:29.000]  願意主來保守私恩
[00:00:29.000 --> 00:00:31.000]  恭敬獻上祈禱
[00:00:31.000 --> 00:00:34.000]  乃奉耶穌基督聖名祈求
[00:00:34.000 --> 00:00:35.000]  阿們
[00:00:35.000 --> 00:00:39.000]  今時今日
[00:00:39.000 --> 00:00:41.000]  這個講求速度的年代
[00:00:41.000 --> 00:00:43.000]  我們看到
[00:00:43.000 --> 00:00:45.000]  我們借很多名稱
[00:00:45.000 --> 00:00:47.000]  我們來講
[00:00:47.000 --> 00:00:51.000]  要贏在起跑線
[00:00:51.000 --> 00:00:53.000]  我們講好的開始
[00:00:53.000 --> 00:00:55.000]  就是成功的一半
[00:00:55.000 --> 00:00:57.000]  我們講執書行頭
[00:00:57.000 --> 00:00:59.000]  慘過敗家
[00:00:59.000 --> 00:01:01.000]  我們恆生了一系列的產品
[00:01:01.000 --> 00:01:03.000]  我們嬰兒的奶粉
[00:01:03.000 --> 00:01:04.000]  BB奶粉
[00:01:04.000 --> 00:01:05.000]  胎嫁懷孕
[00:01:05.000 --> 00:01:08.000]  已經搬了去好的學校網的裏面
[00:01:08.000 --> 00:01:10.000]  在香港你會發現
[00:01:10.000 --> 00:01:11.000]  小朋友
[00:01:11.000 --> 00:01:13.000]  經常要做一些
[00:01:13.000 --> 00:01:16.000]  自身年齡不對等的事情
[00:01:16.000 --> 00:01:18.000]  就是我們平日所講的
[00:01:18.000 --> 00:01:20.000]  還未學會走路
[00:01:20.000 --> 00:01:21.000]  就要學
[00:01:21.000 --> 00:01:23.000]  先學跑步
[00:01:23.000 --> 00:01:25.000]  剛剛學會走路
[00:01:25.000 --> 00:01:28.000]  就要學習小提琴
[00:01:28.000 --> 00:01:30.000]  諸如此類的複雜樂器
[00:01:30.000 --> 00:01:33.000]  腦部剛剛開始來發育
[00:01:33.000 --> 00:01:36.000]  就要開始學習奧數
[00:01:36.000 --> 00:01:37.000]  手腳未協調
[00:01:37.000 --> 00:01:39.000]  就要學習這般
[00:01:39.000 --> 00:01:42.000]  諸如此類的運動
[00:01:42.000 --> 00:01:43.000]  偏偏
[00:01:43.000 --> 00:01:46.000]  我們講神是著重人的成長
