
[00:00:00.000 --> 00:00:10.220]  阿雷雷亞,聖誕節是一個很歡樂的節慶,爲什麼?
[00:00:10.220 --> 00:00:20.360]  因爲耶穌誕生了,還是因爲這個聖誕節,我們可以放假了?
[00:00:20.360 --> 00:00:25.280]  對這個做父母親的來講,哎呀,小孩子放假,可以出去旅遊了,
[00:00:25.280 --> 00:00:29.080]  今天聚會完了之後,可能就已經有一堆人就出去了。
[00:00:29.080 --> 00:00:36.880]  好像這是一個歡樂的季節,在這個季節裏面,我們很喜歡看到這些,
[00:00:36.880 --> 00:00:40.440]  你看今天有沒有穿紅色?
[00:00:40.440 --> 00:00:44.320]  葛慕斯平常一年到頭很少穿紅色。
[00:00:44.320 --> 00:00:48.840]  那你看看你旁邊有多少人穿紅色,轉頭看一下,
[00:00:48.840 --> 00:00:57.440]  哇,就是一片喜氣洋洋,是不是?
[00:00:57.440 --> 00:01:04.560]  在當年伯裏衡的野地裏面,有牧羊的人,
[00:01:04.560 --> 00:01:15.440]  哎,我的那個,哦,突然忘了,謝謝,謝謝。
[00:01:15.440 --> 00:01:22.000]  在這個伯裏衡的地方,這些牧羊人在那邊,晚上在那邊看羊,是不是?
[00:01:22.000 --> 00:01:27.920]  你想想看,我們有去聖地的人,大概都去看過,
[00:01:27.920 --> 00:01:33.240]  那是一個曠野的地方,想想看在一個黑暗的晚上,
[00:01:33.240 --> 00:01:44.040]  這些牧羊人,他們在那邊牧羊,這裏說,夜間按着羹翅看守羊羣,是不是?
[00:01:44.040 --> 00:01:50.000]  那麼有主的使者站在他們旁邊,主的榮光四面照着他們,
[00:01:50.000 --> 00:01:59.840]  這時候說牧羊的人就怎麼樣,甚懼怕,爲什麼懼怕?
[00:01:59.840 --> 00:02:06.760]  本來是很黑暗的,沒有燈光,也沒有什麼手機可以拿出來,
[00:02:06.760 --> 00:02:15.400]  沒有這些東西,黑暗的不得了,突然這時候天上有大光,
[00:02:15.400 --> 00:02:22.640]  你以爲是什麼?外星人,那個時候他怎麼會想外星人呢?
[00:02:22.640 --> 00:02:27.800]  總之你會覺得很奇怪,當你看到一個異常的事情發生的時候,
[00:02:27.800 --> 00:02:33.400]  他會感覺到害怕,牧羊人在那個地方很害怕,
[00:02:33.400 --> 00:02:45.280]  然後天使就對他們說,不要懼怕,我報給你們大喜的信息,大喜的信息。
[00:02:45.280 --> 00:02:53.800]  親愛的如子們,這一個大喜的信息就是好的消息,是不是?
[00:02:53.800 --> 00:02:59.640]  但是親愛的如子們,好像這個才聖誕節還沒到,
[00:02:59.640 --> 00:03:06.760]  你就會發現好像每兩天就來一件事情,這些不好的消息就來了。
[00:03:06.760 --> 00:03:13.120]  19號的時候,臺北發生了一件,可能大家都聽到了,
[00:03:13.120 --> 00:03:18.000]  我知道這個消息,還是看美國的NBC News聽到的,
[00:03:18.000 --> 00:03:25.160]  連美國的News都報這件事情,這什麼事情呢?
[00:03:25.160 --> 00:03:36.320]  有一個27歲的男孩,就帶着大刀從捷運站出來,看到人就砍,
[00:03:36.320 --> 00:03:41.440]  而且不僅在一個地方,他在臺北車站的出口,
[00:03:41.440 --> 00:03:47.840]  然後又在中山站,就是好幾個地方,回去還把他自己的家燒了,
[00:03:47.840 --> 00:04:02.680]  租的地方燒了,等等的這些,從容不迫地殺死了4個人,傷了9個人。
[00:04:02.680 --> 00:04:10.720]  這件事情19號發生的,就在21號的凌晨1點鐘,
[00:04:10.720 --> 00:04:20.920]  這是在南非,又發生了一件,也是一個重大的槍擊案。
[00:04:20.920 --> 00:04:30.600]  有12名槍手在一個酒吧的外面,開着兩部車,衝進去就開始就掃射,
[00:04:30.600 --> 00:04:40.840]  走的時候還一面掃射,死了9個人,10個人受傷。
[00:04:40.840 --> 00:04:48.880]  聖誕節,其實應該是一個平安祥和的一個季節,
[00:04:48.880 --> 00:04:53.760]  但是你看見這個世界到處是動盪不安。
[00:04:53.760 --> 00:04:59.280]  你聽到這些消息,如果你是那些被殺的或受傷的人的親屬,
[00:04:59.280 --> 00:05:01.920]  你聽到會如何感覺?
[00:05:01.920 --> 00:05:05.480]  可能今天我們在這邊慶祝這個聖誕節的時候呢,
[00:05:05.480 --> 00:05:09.600]  有的人正在,家人正在生病病痛的中間,
[00:05:09.600 --> 00:05:15.800]  或者正面臨到婚姻的一個危險的邊緣,可能婚姻要破裂了。
[00:05:15.800 --> 00:05:24.800]  現在丟紙妹,可是那一天牧羊人聽到了天使報給他們一個大好的消息,
[00:05:24.800 --> 00:05:31.600]  這一個大好的消息,聖經上告訴我們說是關乎萬民的,
[00:05:31.600 --> 00:05:35.320]  這一個大好的消息,這個消息是什麼呢?
[00:05:35.320 --> 00:05:38.640]  這個消息的內容就是在講說,
[00:05:38.640 --> 00:05:50.120]  因今天在大位的成禮,爲你們生了救主,就是主基督。
[00:05:50.120 --> 00:05:52.880]  不管這個世界有多少不好的消息,
[00:05:52.880 --> 00:05:56.480]  可是今天我也要告訴你們一個大好的消息,
[00:05:56.480 --> 00:06:03.360]  就是耶穌基督,他爲我們降生了。
