
[00:00:00.000 --> 00:00:07.060]  過去的主餐主人,我們亦都多探討關於教會的健康
[00:00:07.060 --> 00:00:09.220]  健康的教會
[00:00:09.220 --> 00:00:13.940]  亦都分享到我們作為基督徒教會的一份子
[00:00:13.940 --> 00:00:20.580]  我們如何讓信仰群體更加的健康呢?
[00:00:20.580 --> 00:00:23.580]  我們有提到一個很重要的層面
[00:00:23.580 --> 00:00:26.580]  是我們需要一起仰望上帝
[00:00:26.580 --> 00:00:32.080]  我們教會整體個人,我們去仰望
[00:00:32.080 --> 00:00:35.580]  神人的關係是很重要
[00:00:35.580 --> 00:00:40.580]  所以我們又彼此提醒,千萬不要遠離神
[00:00:40.580 --> 00:00:46.580]  然後我們又彼此勉勵,總要親近神
[00:00:46.580 --> 00:00:48.580]  很首要
[00:00:48.580 --> 00:00:51.580]  除此之外,在仰望層面
[00:00:51.580 --> 00:00:55.580]  我們又探討過個人的層面
[00:00:55.580 --> 00:00:59.580]  個人的層面是強調我們學習一個功課
[00:00:59.580 --> 00:01:05.580]  就是心意更新,遵行神旨
[00:01:05.580 --> 00:01:10.580]  心意更新,明白神旨
[00:01:10.580 --> 00:01:13.580]  這個是我們上幾次都提到
[00:01:13.580 --> 00:01:18.580]  保羅勸勉我們基督徒不單止要獻上作為活祭
[00:01:18.580 --> 00:01:21.580]  讓我們不是停在獻上的一刻
[00:01:21.580 --> 00:01:25.580]  是我們走人生路,在漫長的侍奉路裏面
[00:01:25.580 --> 00:01:30.580]  我們要心意更新而變化
[00:01:30.580 --> 00:01:33.580]  但我們不是為變化而變化
[00:01:33.580 --> 00:01:38.580]  我們是為了遵行神的旨意而變化
[00:01:38.580 --> 00:01:42.580]  一方面我們不要墨守成規,樣樣都不變
[00:01:42.580 --> 00:01:47.580]  因為聖經提醒我們要不斷心意更新而變化
[00:01:47.580 --> 00:01:52.580]  但變化裏面,我們很想掌握上帝的心意
[00:01:52.580 --> 00:01:55.580]  在我們個人,在我們教會身上
[00:01:55.580 --> 00:01:58.580]  所以我們在過去有提到
[00:01:58.580 --> 00:02:01.580]  我們要有些操練,有些準備
[00:02:01.580 --> 00:02:04.580]  使自己懂得變,懂得更新
[00:02:04.580 --> 00:02:09.580]  所以我們有提到,我們不要懼怕改變
[00:02:09.580 --> 00:02:15.580]  我們有提到,我們要做人柔軟一些,彈性一些
[00:02:15.580 --> 00:02:19.580]  水的哲學是很值得我們學習
[00:02:19.580 --> 00:02:22.580]  我們有提過,我們需要明白神的旨意
[00:02:22.580 --> 00:02:26.580]  因為當我們掌握到或明白到神的旨意的時候
[00:02:26.580 --> 00:02:28.580]  我們就不怕變
[00:02:28.580 --> 00:02:32.580]  因為我們知道變化都是為了神
[00:02:32.580 --> 00:02:37.580]  我們也提到,我們需要騰一些時間去聆聽上帝
[00:02:37.580 --> 00:02:40.580]  聖靈在我們生命裏面的心聲
[00:02:40.580 --> 00:02:42.580]  使我們可以知得到
[00:02:42.580 --> 00:02:45.580]  然後我們有提到,我們需要有行動等等等等
[00:02:45.580 --> 00:02:48.580]  這些都是在上幾講都提到
[00:02:48.580 --> 00:02:51.580]  而今天我們是最後來到
[00:02:51.580 --> 00:02:58.580]  心意更新,遵行神旨或者明白神旨的下講
[00:02:58.580 --> 00:03:02.580]  個人層面的最後的一講
[00:03:02.580 --> 00:03:05.580]  而我們將焦點是集中在
[00:03:05.580 --> 00:03:09.580]  怎樣去明白神的旨意
[00:03:09.580 --> 00:03:12.580]  是基督徒一個很大的福份
[00:03:12.580 --> 00:03:13.580]  大家覺不覺得?
[00:03:13.580 --> 00:03:17.580]  當我們未有神的時候,我們不會問這些問題
[00:03:17.580 --> 00:03:19.580]  但是當我們有了神
[00:03:19.580 --> 00:03:21.580]  一個有神的生命的時候
[00:03:21.580 --> 00:03:23.580]  又知道這位神是獨一的真神的時候
[00:03:23.580 --> 00:03:25.580]  我們就會問這個問題
[00:03:25.580 --> 00:03:29.580]  因為很想我們活出來是在神的旨意裏面
[00:03:29.580 --> 00:03:33.580]  我們很想我們一生是在神的旨意裏面來活出來
[00:03:33.580 --> 00:03:35.580]  是不是?
[00:03:35.580 --> 00:03:38.580]  所以這是一個很嚴肅的課題
[00:03:38.580 --> 00:03:40.580]  而回到一個現實的世界裏面
[00:03:40.580 --> 00:03:42.580]  其實也是很需要的
[00:03:42.580 --> 00:03:44.580]  因為在我們的人生路裏面
[00:03:44.580 --> 00:03:47.580]  我們很多時候都要面對很多的抉擇
[00:03:47.580 --> 00:03:48.580]  是不是?
[00:03:48.580 --> 00:03:54.580]  在學業上,在工作上,在感情上,在移不移民上
[00:03:54.580 --> 00:03:58.580]  在買賣上,在這裏做不做手術等等等等
