
[00:00:00.000 --> 00:00:03.080]  在2022年有一個調查
[00:00:03.080 --> 00:00:06.420]  這個調查訪問世界各地不同的人
[00:00:06.420 --> 00:00:08.260]  問他們一個問題
[00:00:08.260 --> 00:00:12.620]  在他們心裏面最大的滿足是甚麼呢
[00:00:12.620 --> 00:00:15.480]  這個調查發現不同的人
[00:00:15.480 --> 00:00:18.200]  對滿足都有不同的看法
[00:00:18.200 --> 00:00:22.320]  其中有五個最多人選擇的
[00:00:22.320 --> 00:00:24.780]  專家列出來做報告
[00:00:25.000 --> 00:00:30.940]  第一個最多人覺得有很大很大的滿足
[00:00:30.940 --> 00:00:33.580]  就是相識滿天下
[00:00:33.580 --> 00:00:35.200]  交友廣闊
[00:00:35.200 --> 00:00:36.880]  人脈廣博
[00:00:36.880 --> 00:00:38.520]  通街都是friend
[00:00:38.520 --> 00:00:41.440]  第二個他們最大的滿足
[00:00:41.440 --> 00:00:44.620]  就是你被認同你的能力
[00:00:44.620 --> 00:00:51.040]  任何條件被人稱讚覺得是好的
[00:00:51.720 --> 00:00:55.180]  第三個可能很多弟姐妹都認同
[00:00:55.180 --> 00:00:57.900]  就是一家人齊齊整整
[00:00:57.900 --> 00:00:59.280]  平平安安
[00:00:59.280 --> 00:01:01.620]  是很多人都覺得滿足的
[00:01:01.620 --> 00:01:06.080]  第四個就是你有能力去幫助有需要的人
[00:01:06.080 --> 00:01:08.820]  亦都是讓人很大很大的滿足
[00:01:08.820 --> 00:01:12.860]  而這五樣東西裏面最多人選擇的
[00:01:12.860 --> 00:01:14.660]  就是這件事
[00:01:14.660 --> 00:01:20.580]  就是原來你有能力去擁抱你人生發生的任何事
[00:01:20.580 --> 00:01:24.500]  包括好事或者你覺得沒有那麼好的事
[00:01:24.500 --> 00:01:28.040]  你有能力去擁抱接受這一切的事
[00:01:28.040 --> 00:01:30.540]  並且當你在回顧的時候
[00:01:30.540 --> 00:01:32.580]  你為了這些東西去感恩
[00:01:32.580 --> 00:01:36.800]  原來這樣讓人有更大更大的滿足
[00:01:36.800 --> 00:01:41.780]  在《老家福音》裏面提到三類的人
[00:01:41.780 --> 00:01:43.260]  三種的人
[00:01:43.260 --> 00:01:45.020]  三種的人都是一樣
[00:01:45.020 --> 00:01:48.160]  對滿足有不同的看法
[00:01:48.160 --> 00:01:52.140]  但同一時間這三種人亦都代表我們每一個人
[00:01:52.140 --> 00:01:56.780]  人生裏面屬靈生命成長的不同的階段
[00:01:56.780 --> 00:01:58.960]  不同的屬靈狀況
[00:01:58.960 --> 00:02:04.680]  究竟什麼是讓我們能夠有最大的滿足呢?
[00:02:04.680 --> 00:02:09.560]  是誰能夠讓我們有最大的滿足在我們人生裏面?
[00:02:09.560 --> 00:02:15.420]  以下想和大家講一個大家很熟悉的五餅魚的故事
[00:02:15.420 --> 00:02:19.300]  在《新約聖經》記載了很多的神蹟歧視
[00:02:19.300 --> 00:02:22.220]  但是如果大家留心你會發現
[00:02:22.220 --> 00:02:27.040]  這些神蹟歧視多數是記載在《馬太福音》
[00:02:27.040 --> 00:02:29.620]  《馬可福音》和《老家福音》
[00:02:29.620 --> 00:02:33.420]  當你找到約翰福音的時候你會發現沒有
[00:02:33.420 --> 00:02:36.260]  但是唯一是這個神蹟歧視
[00:02:36.260 --> 00:02:39.000]  是唯一這個五餅魚的神蹟
[00:02:39.000 --> 00:02:42.620]  在《四卷福音書》同時很清楚地記載
[00:02:42.620 --> 00:02:44.220]  換句話說
[00:02:44.220 --> 00:02:48.020]  這個五餅魚的神蹟是非常重要的神蹟
[00:02:48.020 --> 00:02:50.920]  所以以下我想和大家用這個神蹟
[00:02:50.920 --> 00:02:56.020]  看看《老家福音》形容的三種人是什麼人
[00:02:56.020 --> 00:02:57.860]  第一種人
[00:02:57.860 --> 00:03:02.600]  第一種人是一些要求耶穌有求必應的人
