
[00:00:00.000 --> 00:00:02.400]  好,今天的題目是
[00:00:02.400 --> 00:00:04.520]  "越強越強"
[00:00:04.520 --> 00:00:10.620]  我們繼續看約書亞紀第十一章
[00:00:10.620 --> 00:00:16.260]  在講聖經之前,問問大家
[00:00:16.260 --> 00:00:18.640]  不知道大家有沒有想起一些東西呢?
[00:00:18.640 --> 00:00:21.280]  他遇到壓力的時候
[00:00:21.280 --> 00:00:24.940]  是越遇壓力,他會越堅固的
[00:00:24.940 --> 00:00:27.940]  我不知道大家有沒有想起一些東西呢?
[00:00:27.940 --> 00:00:32.240]  當我想起這個題目的時候
[00:00:32.240 --> 00:00:35.040]  我第一樣想起的是這個東西
[00:00:35.040 --> 00:00:37.380]  不知道你們有沒有想起呢?
[00:00:37.380 --> 00:00:38.860]  雞蛋,是吧?
[00:00:38.860 --> 00:00:42.480]  雞蛋原本是很柔軟的
[00:00:42.480 --> 00:00:44.360]  一掉下去就散了
[00:00:44.360 --> 00:00:47.200]  不過,你將它加熱
[00:00:47.200 --> 00:00:49.600]  你用熱水煮它
[00:00:49.600 --> 00:00:53.860]  你會怎樣?越煮就越實了
[00:00:53.860 --> 00:00:57.640]  另外,第二樣想起的東西是
[00:00:57.640 --> 00:00:59.640]  竟然是
[00:00:59.640 --> 00:01:02.380]  水,不知道你們有沒有想起呢?
[00:01:02.380 --> 00:01:04.680]  一個相反,本來是流質來的
[00:01:04.680 --> 00:01:08.720]  但是你凍它,越凍,越凍
[00:01:08.720 --> 00:01:11.760]  它就越實,越硬
[00:01:11.760 --> 00:01:14.660]  上帝的創造真的很奇妙
[00:01:14.660 --> 00:01:15.760]  我就想起
[00:01:15.760 --> 00:01:20.040]  原來在食物在極凍的低溫下
[00:01:20.040 --> 00:01:22.040]  可以保存得這麼好
[00:01:22.040 --> 00:01:25.640]  可以經得起時間考驗
[00:01:25.640 --> 00:01:27.640]  在早半年的時候
[00:01:27.640 --> 00:01:30.900]  我的同工Pastor Irene就去了我家
[00:01:30.900 --> 00:01:34.580]  她很喜歡看我家裏有什麼東西
[00:01:34.580 --> 00:01:38.280]  特別喜歡看我冰箱裏有什麼東西
[00:01:38.280 --> 00:01:42.860]  一打開,她突然在我家大叫
[00:01:42.860 --> 00:01:46.960]  "哇!爲什麼我冰箱裏會看到梁牧師?"
[00:01:46.960 --> 00:01:49.460]  這個真的挺驚訝的
[00:01:49.460 --> 00:01:50.620]  原因是
[00:01:50.620 --> 00:01:52.380]  我的冰箱裏
[00:01:52.380 --> 00:01:58.020]  有一包梁牧師在2018年按摩的時候的曲奇
[00:01:58.020 --> 00:02:00.660]  那包曲奇是特意做的
[00:02:00.660 --> 00:02:02.380]  是一個特別版來的
[00:02:02.380 --> 00:02:05.220]  送給當時來按摩
[00:02:05.220 --> 00:02:08.220]  參加按摩禮的弟兄姊妹
[00:02:08.220 --> 00:02:12.580]  自此梁牧師的消息傳了到2018年按摩
[00:02:12.580 --> 00:02:16.480]  自此之後這個消息就傳給我的同工知道
[00:02:16.480 --> 00:02:18.480]  所有同工去我家
[00:02:18.480 --> 00:02:21.340]  我的冰箱就成爲了一個景點
[00:02:21.340 --> 00:02:23.600]  每一個都說我要去打卡
[00:02:23.600 --> 00:02:26.580]  她說我們要和梁牧師拍照
[00:02:26.580 --> 00:02:30.240]  所以很多同工上去
[00:02:30.240 --> 00:02:33.000]  就要從我冰箱裏拿一包冰出來拍照
[00:02:33.000 --> 00:02:34.360]  我就和她說
[00:02:34.360 --> 00:02:36.520]  我就說其實這樣
[00:02:36.520 --> 00:02:38.880]  這個當然很好
[00:02:38.880 --> 00:02:41.400]  不過我想再介紹一件事給你們知道
[00:02:41.400 --> 00:02:44.940]  我在冰箱裏拿了一排巧克力出來
[00:02:44.940 --> 00:02:48.540]  那排巧克力就是我侄子出生的時候
[00:02:48.540 --> 00:02:51.800]  我弟弟特意做的特別版巧克力
[00:02:51.800 --> 00:02:54.160]  當然上面寫了他的名字
[00:02:54.160 --> 00:02:55.420]  他在哪裏出生
[00:02:55.420 --> 00:02:56.780]  他多重
[00:02:56.780 --> 00:02:57.440]  時間
[00:02:57.440 --> 00:02:58.660]  日期
[00:02:58.660 --> 00:03:01.280]  身高多長都寫了
[00:03:01.280 --> 00:03:03.200]  不過我想告訴大家
[00:03:03.200 --> 00:03:05.420]  再過10天
[00:03:05.420 --> 00:03:08.360]  我的侄子就15歲了
[00:03:08.360 --> 00:03:12.340]  是不是很驚訝呢
[00:03:12.340 --> 00:03:15.160]  我真的覺得上帝很厲害
[00:03:15.160 --> 00:03:16.540]  15年了
[00:03:16.540 --> 00:03:21.460]  沒問題的,仍然很好地在我冰箱裏
[00:03:21.460 --> 00:03:25.260]  我覺得上帝的所有這些
[00:03:25.260 --> 00:03:26.980]  無論是科技
[00:03:26.980 --> 00:03:29.520]  他所創造的東西
[00:03:29.520 --> 00:03:32.000]  都令我很驚訝,很奇妙
[00:03:32.000 --> 00:03:33.720]  但是我在想
[00:03:33.720 --> 00:03:37.720]  食物可以在這麼極端的氣溫下
[00:03:37.720 --> 00:03:39.460]  變得這麼堅強
[00:03:39.460 --> 00:03:41.840]  那人呢
[00:03:41.840 --> 00:03:43.960]  人受壓又怎麼樣呢
[00:03:43.960 --> 00:03:46.760]  人遇到這麼大的壓力的時候
[00:03:46.760 --> 00:03:51.900]  我們會不會變得堅強呢
[00:03:51.900 --> 00:03:55.240]  今天我們就在《約書亞記》第11章
[00:03:55.240 --> 00:03:57.800]  看看約書亞和以色列人
[00:03:57.800 --> 00:04:00.120]  在強大的壓力下
[00:04:00.120 --> 00:04:02.800]  他們怎樣可以變得
[00:04:02.800 --> 00:04:03.920]  越
[00:04:03.920 --> 00:04:05.840]  越強越強
[00:04:05.840 --> 00:04:08.080]  越戰越勇,好不好
[00:04:08.080 --> 00:04:13.140]  大家記不記得上個星期陳牧師在這裏跟我們講第10章的時候
[00:04:13.140 --> 00:04:19.040]  約書亞和以色列的軍隊在哪裏打仗
[00:04:19.040 --> 00:04:21.440]  南邊打仗
[00:04:21.440 --> 00:04:24.240]  加南地的南邊打仗
[00:04:24.240 --> 00:04:26.840]  南邊的軍隊都很厲害
[00:04:26.840 --> 00:04:30.120]  是五王聯軍
[00:04:30.120 --> 00:04:32.720]  約書亞他們贏不贏
[00:04:32.720 --> 00:04:34.480]  當然贏啦
[00:04:34.480 --> 00:04:36.960]  多少個聯軍都是,他們又贏了
[00:04:36.960 --> 00:04:39.320]  他們這麼厲害的戰績
[00:04:39.320 --> 00:04:41.840]  很快就傳到北邊
[00:04:41.840 --> 00:04:43.760]  傳到北邊的時候
[00:04:43.760 --> 00:04:48.120]  你猜北方其他國家有什麼反應
[00:04:48.120 --> 00:04:50.040]  我們今天一起看看
[00:04:50.040 --> 00:04:51.680]  第一至第五節
[00:04:51.680 --> 00:04:54.440]  看看北邊發生什麼事
[00:04:54.440 --> 00:04:55.720]  好,我們一起讀
[00:04:55.720 --> 00:04:57.200]  二五節聖經
[00:04:57.200 --> 00:04:59.560]  一二三
