
[00:00:00.000 --> 00:00:05.160]  今日的故事是發生在猶太年曆的第七個月
[00:00:05.160 --> 00:00:09.920]  大概是今天我們的九月十月份左右
[00:00:09.920 --> 00:00:12.520]  這個七月份的第一天
[00:00:12.520 --> 00:00:16.440]  是猶太人的民事曆的新年
[00:00:16.440 --> 00:00:18.080]  關於這一天
[00:00:18.080 --> 00:00:22.640]  在利未記的二十三章二十四節有這樣的記載
[00:00:22.640 --> 00:00:24.600]  當時神童爾切利文說
[00:00:24.600 --> 00:00:27.920]  你們要將那一天守為聖安息日
[00:00:28.360 --> 00:00:30.360]  要摧國紀念
[00:00:30.360 --> 00:00:32.640]  也是有聖會
[00:00:32.640 --> 00:00:38.320]  所以那天我們也稱之為摧國節
[00:00:38.320 --> 00:00:43.000]  當尼熙米的故事一直到第八章的時候
[00:00:43.000 --> 00:00:46.400]  我們大家都知道尼熙米就回去蓋城牆
[00:00:46.400 --> 00:00:51.440]  到第八章城牆的工程基本上已經是完成了
[00:00:51.440 --> 00:00:55.200]  所以那一次的摧國節
[00:00:55.320 --> 00:00:59.040]  除了是慶祝他們所謂的大年初一
[00:00:59.040 --> 00:01:04.600]  也是慶祝他們整個城牆的維修工程完成
[00:01:04.600 --> 00:01:09.360]  而那天他們所有的聖會
[00:01:09.360 --> 00:01:13.720]  不單止大魚大肉的搞春檸
[00:01:13.720 --> 00:01:18.280]  而是一個屬靈的奮興會
[00:01:18.280 --> 00:01:24.040]  今天如果我們大家都想在一起建立神的家的時候
[00:01:24.960 --> 00:01:29.880]  當日爾切利人所經歷的復興的經驗
[00:01:29.880 --> 00:01:33.000]  我們都需要有同樣的經歷
[00:01:33.000 --> 00:01:35.440]  今天就想通過這段經文
[00:01:35.440 --> 00:01:43.080]  和大家分享三個建立神的教會不能夠缺少的元素
[00:01:43.080 --> 00:01:45.040]  我們看第一個元素是
[00:01:45.040 --> 00:01:48.280]  賀武領授神的說話
[00:01:48.280 --> 00:01:50.680]  這是第一個很重要我們要有的元素
[00:01:50.680 --> 00:01:52.120]  正如我們之前所說
[00:01:52.280 --> 00:01:55.680]  七月的第一天是他們民事曆的新年
[00:01:55.680 --> 00:01:58.280]  不單止是這樣
[00:01:58.280 --> 00:02:03.280]  整個的七月份其實對猶太人的文化是一個相當重要的月份
[00:02:03.280 --> 00:02:07.520]  因為在七月份有三個他們相當重要的節期
[00:02:07.520 --> 00:02:11.080]  第一個就是我們剛才所說的七月一號的摧國節
[00:02:11.080 --> 00:02:17.000]  摧國的意思就是代表召集一些百姓
[00:02:18.000 --> 00:02:22.760]  而在七月初十就是他們所謂的贖罪日
[00:02:22.760 --> 00:02:25.320]  而贖罪日就是他們一年一度
[00:02:25.320 --> 00:02:30.760]  大祭司能夠去到聖殿裏面的致聖所
[00:02:30.760 --> 00:02:33.440]  為所有的百姓包括他自己
[00:02:33.440 --> 00:02:36.080]  來向神贖罪的日子
[00:02:36.080 --> 00:02:38.960]  好了,去到七月十五號
[00:02:38.960 --> 00:02:41.440]  就是他們所謂的鑄棚節
[00:02:41.440 --> 00:02:43.440]  這個鑄棚節不是一天的
[00:02:43.440 --> 00:02:45.120]  是一連續七天
[00:02:45.120 --> 00:02:51.080]  以色列人就在他們的地方用樹枝搭一些棚來居住
[00:02:51.080 --> 00:02:52.080]  為什麼他們這樣做呢?
[00:02:52.080 --> 00:02:57.520]  就是因為要紀念神如何的帶領以色列人
[00:02:57.520 --> 00:03:00.320]  出埃及,過紅海
[00:03:00.320 --> 00:03:02.880]  在曠野的地方搭棚
[00:03:02.880 --> 00:03:03.800]  住了多久?
[00:03:03.800 --> 00:03:05.600]  住了四十年
[00:03:05.600 --> 00:03:06.920]  直至什麼時候?
[00:03:06.920 --> 00:03:11.840]  直至他們能夠進入神所應許的迦南地
[00:03:11.840 --> 00:03:17.320]  雖然你說在那四十年裏住了四十年搭棚的日子都很辛苦
[00:03:17.320 --> 00:03:19.320]  但是在那四十年裏面
[00:03:19.320 --> 00:03:21.840]  神與這班百姓同在
[00:03:21.840 --> 00:03:23.840]  神不單止與他們同在
[00:03:23.840 --> 00:03:27.160]  祂用民主火柱來帶領他們去哪裏
[00:03:27.160 --> 00:03:30.680]  兼且提供他們天上的
[00:03:30.680 --> 00:03:32.960]  和遷移來的糧食、馬鈉
[00:03:32.960 --> 00:03:34.720]  亦都是給他們水飲
[00:03:34.720 --> 00:03:35.920]  保護他們
[00:03:35.920 --> 00:03:37.920]  所以可以說在那段時間裏面
[00:03:37.920 --> 00:03:39.680]  神是與他們同在
[00:03:39.680 --> 00:03:40.680]  不單止這樣
[00:03:40.680 --> 00:03:42.680]  祂亦都賜予他們律法
[00:03:42.680 --> 00:03:45.000]  與他們立約
[00:03:45.000 --> 00:03:51.200]  聽完這三個節期的描述之後
[00:03:51.200 --> 00:03:57.760]  大家能否想像或分辨到這三個節期背後的屬靈意思
[00:03:57.760 --> 00:04:00.360]  與我們今天的救恩
[00:04:00.360 --> 00:04:03.360]  有沒有什麼關聯的地方?
[00:04:03.360 --> 00:04:06.840]  如果說救約是新約的影兒
[00:04:06.840 --> 00:04:09.480]  又或者是救約裏面所發生的事情
[00:04:09.480 --> 00:04:13.160]  其實是在預表新約將要發生的事情
[00:04:13.160 --> 00:04:14.760]  如果我們從這個角度來看
[00:04:14.760 --> 00:04:16.480]  救約與新約的時候
[00:04:16.480 --> 00:04:20.440]  這三個節期背後的屬靈意思
[00:04:20.440 --> 00:04:24.080]  其實是某一個程度上
[00:04:24.080 --> 00:04:27.360]  反映了我們整個救恩
[00:04:27.360 --> 00:04:31.200]  不同的程序、不同的過程
[00:04:31.200 --> 00:04:34.080]  大家有沒有留意這三個節期
[00:04:34.080 --> 00:04:36.680]  其實就是代表著救恩
[00:04:36.680 --> 00:04:38.600]  我們首先就是呼召
[00:04:38.600 --> 00:04:42.920]  我相信每一個真心相信耶穌基督的信徒
[00:04:42.920 --> 00:04:45.560]  都經歷過聖靈的感動
[00:04:45.560 --> 00:04:47.320]  聖靈會通過不同的人
[00:04:47.320 --> 00:04:49.120]  不同的事情的發生
[00:04:49.120 --> 00:04:52.040]  讓我們感覺到神在呼召我們
[00:04:52.040 --> 00:04:53.280]  成為祂的信徒
[00:04:53.280 --> 00:04:54.840]  這就是呼召
[00:04:54.840 --> 00:04:57.920]  如果我們真心回應聖靈的呼召的時候
[00:04:57.920 --> 00:04:58.920]  我們會怎樣?
[00:04:58.920 --> 00:05:02.320]  我們就會經歷神的赦罪
[00:05:02.320 --> 00:05:06.440]  亦都經歷神賜給我們的平安
[00:05:06.440 --> 00:05:09.440]  我們就通過一個認罪的過程
[00:05:09.440 --> 00:05:12.080]  在神面前承認我們的過犯
[00:05:12.080 --> 00:05:14.000]  我們得失神的地方
[00:05:14.000 --> 00:05:17.080]  以至神的赦罪臨到我們的生命
[00:05:17.080 --> 00:05:19.120]  我們就會經歷這個神的赦罪
[00:05:19.120 --> 00:05:20.240]  接著怎樣?
[00:05:20.240 --> 00:05:23.080]  接著聖靈進入我們的生命
[00:05:23.080 --> 00:05:24.760]  住在我們的生命
[00:05:24.760 --> 00:05:25.720]  保護我們
[00:05:25.720 --> 00:05:27.040]  帶領我們
[00:05:27.040 --> 00:05:29.040]  屬靈上餵養我們
[00:05:29.040 --> 00:05:33.120]  直至我們走完人生的路程
[00:05:33.120 --> 00:05:37.120]  去到神屬靈的應許之地
[00:05:37.120 --> 00:05:38.800]  在哪裏?
[00:05:38.800 --> 00:05:41.160]  天上的家鄉
[00:05:41.160 --> 00:05:43.160]  通過這三個節期
[00:05:43.160 --> 00:05:44.920]  神告訴我們
[00:05:44.920 --> 00:05:46.240]  祂的心意
[00:05:46.240 --> 00:05:47.960]  神告訴我們
[00:05:47.960 --> 00:05:50.240]  究竟祂期望人做些甚麼
[00:05:50.240 --> 00:05:53.600]  連所有這些事情都記載在
[00:05:53.600 --> 00:05:56.760]  今天我們的聖經裏面
[00:05:56.760 --> 00:05:59.440]  以色列這個民族
[00:05:59.440 --> 00:06:05.000]  經歷了他們各破家亡的慘痛經驗
[00:06:05.000 --> 00:06:07.000]  他們知道很清楚
[00:06:07.000 --> 00:06:08.800]  在他們看完律法之後
[00:06:08.800 --> 00:06:11.000]  他們知道他們得罪了神
[00:06:11.000 --> 00:06:15.640]  他們知道他們違背了與神所立的約
[00:06:15.640 --> 00:06:17.160]  他們知道很清楚
[00:06:17.160 --> 00:06:19.400]  他們需要回到神的那裏
[00:06:19.400 --> 00:06:21.560]  他們知道很清楚
[00:06:21.560 --> 00:06:23.400]  神是愛他們
[00:06:23.400 --> 00:06:24.000]  大家想一想
[00:06:24.000 --> 00:06:26.560]  如果要重新建立
[00:06:26.560 --> 00:06:30.640]  一個曾經失腳跌倒的民族
[00:06:30.640 --> 00:06:32.840]  如果要醫治一個
[00:06:32.840 --> 00:06:37.160]  因罪而造成的傷口
[00:06:37.160 --> 00:06:43.640]  如果要讓整個以色列民族回轉的時候
[00:06:43.640 --> 00:06:46.640]  我相信尼希米作為當時的一個屬靈領袖
[00:06:46.640 --> 00:06:48.840]  他知道很清楚
[00:06:48.840 --> 00:06:53.280]  單單是重新建立耶路撒冷的城牆
[00:06:53.280 --> 00:06:57.840]  並不足夠將整個民族帶回到神的身邊
[00:06:57.840 --> 00:07:00.040]  他們需要做些甚麼?
[00:07:00.040 --> 00:07:00.800]  大家記不記得
[00:07:00.800 --> 00:07:03.920]  開始的時候尼希米記的第一章
[00:07:03.920 --> 00:07:08.400]  尼希米做了一個很長的祈禱
[00:07:08.400 --> 00:07:10.160]  他們知道
[00:07:10.160 --> 00:07:16.160]  如果他們整個民族經歷各破家亡的原因
[00:07:16.160 --> 00:07:18.880]  是因為他們離棄了神的說話
[00:07:18.880 --> 00:07:21.360]  是因為他們不信服的時候
[00:07:21.360 --> 00:07:25.440]  他們知道如果他們要回到神的身邊
[00:07:25.440 --> 00:07:27.800]  他們需要做一件事是甚麼?
[00:07:27.800 --> 00:07:32.240]  重新聆聽神的話語
[00:07:32.240 --> 00:07:38.400]  重新明白律法書上所記載的教導
[00:07:38.400 --> 00:07:43.240]  重新進行神的誡明
[00:07:43.240 --> 00:07:48.880]  在尼希米記的二章六節
[00:07:48.880 --> 00:07:51.000]  這樣記載
[00:07:51.000 --> 00:07:54.280]  在他們所謂的大年初一
[00:07:54.280 --> 00:07:56.560]  你會發覺他們並不是忙於
[00:07:56.560 --> 00:07:57.440]  不像中國人
[00:07:57.440 --> 00:07:59.400]  我們大年初一做甚麼?
[00:07:59.400 --> 00:08:02.400]  預備很多新年的食品
[00:08:02.400 --> 00:08:04.240]  準備大吃一餐
[00:08:04.240 --> 00:08:06.440]  但你會發覺當日那群以色列人
[00:08:06.440 --> 00:08:10.360]  並不是忙於搞甚麼大的聚會
