
[00:00:00.000 --> 00:00:02.640]  傳道書第三章的一至八節
[00:00:02.640 --> 00:00:05.800]  我想大家也很熟悉這段經文
[00:00:05.800 --> 00:00:07.200]  如果信了主一輩子
[00:00:07.200 --> 00:00:08.480]  請聽我讀出
[00:00:08.480 --> 00:00:10.600]  凡事都有定期
[00:00:10.600 --> 00:00:13.200]  天下萬物都有定時
[00:00:13.200 --> 00:00:15.840]  生有時 死有時
[00:00:15.840 --> 00:00:17.320]  災眾有時
[00:00:17.320 --> 00:00:20.080]  拔出所災眾的也有時
[00:00:20.080 --> 00:00:22.840]  殺戮有時 醫治有時
[00:00:22.840 --> 00:00:26.040]  拆鬼有時 建造有時
[00:00:26.040 --> 00:00:28.720]  哭有時 笑有時
[00:00:28.720 --> 00:00:31.960]  哀動有時 跳舞有時
[00:00:31.960 --> 00:00:34.560]  拋擲石頭有時
[00:00:34.560 --> 00:00:36.560]  堆砌石頭有時
[00:00:36.560 --> 00:00:39.720]  懷抱有時 不懷抱有時
[00:00:39.720 --> 00:00:42.720]  尋找有時 失落有時
[00:00:42.720 --> 00:00:45.640]  保守有時 捨棄有時
[00:00:45.640 --> 00:00:48.680]  撕裂有時 縫補有時
[00:00:48.680 --> 00:00:51.920]  靜默有時 言語有時
[00:00:51.920 --> 00:00:54.920]  喜愛有時 恨惡有時
[00:00:54.920 --> 00:00:58.320]  爭戰有時 和好有時
[00:00:58.320 --> 00:01:01.640]  讓我們低頭禱告
[00:01:01.640 --> 00:01:05.960]  天上帝 萬物都有定時
[00:01:05.960 --> 00:01:07.880]  求神在這段時間裡
[00:01:07.880 --> 00:01:10.000]  讓我們明白
[00:01:10.000 --> 00:01:13.320]  上帝在今天或今天早上
[00:01:13.320 --> 00:01:16.920]  要我們對每個人說什麼
[00:01:16.920 --> 00:01:20.440]  求神讓我們有一個聆聽的耳朵
[00:01:20.440 --> 00:01:23.520]  讓我們能夠打開我們的心眼
[00:01:23.520 --> 00:01:27.320]  讓我們能夠存著一個謙卑受教的心
[00:01:27.320 --> 00:01:29.960]  來領受神今天的道
[00:01:29.960 --> 00:01:32.880]  奉主耶穌基督的聖命致祈求
[00:01:32.880 --> 00:01:34.160]  Amen
[00:01:57.320 --> 00:02:00.440]  如果大家剛才有留意歌詞
[00:02:00.440 --> 00:02:03.760]  其實有兩句歌詞都很打動到我
[00:02:03.760 --> 00:02:06.480]  其中一句歌詞是什麼呢
[00:02:06.480 --> 00:02:09.520]  孩子即使知道真相那未到
[00:02:09.520 --> 00:02:13.960]  卻想完美去違抗定數
[00:02:13.960 --> 00:02:16.080]  就好像傳道書所說
[00:02:16.080 --> 00:02:18.080]  原來有一個定數
[00:02:18.080 --> 00:02:20.920]  而時光這個壞人
[00:02:20.920 --> 00:02:22.840]  天卻決絕予許
[00:02:22.840 --> 00:02:26.040]  停留內奢也不許
[00:02:26.040 --> 00:02:29.560]  時間是不會停
[00:02:29.560 --> 00:02:32.760]  所以這首歌詞令我相信不止我聽
