
[00:00:00.000 --> 00:00:01.200]  頂之妹平安
[00:00:01.200 --> 00:00:04.480]  很高興我們可以一同回來實體敬拜神
[00:00:04.480 --> 00:00:08.560]  我知道線上依然有頂之妹跟我們一起敬拜神
[00:00:08.560 --> 00:00:10.400]  我們一同歡喜快樂
[00:00:10.400 --> 00:00:13.400]  今天講到創世紀22章
[00:00:13.400 --> 00:00:16.200]  講到以勒的神必有預備
[00:00:16.200 --> 00:00:19.480]  在進入經文之前講過小小的故事
[00:00:19.480 --> 00:00:21.840]  講到一個兒子很喜歡吃糖
[00:00:21.840 --> 00:00:24.640]  有一天媽媽出了街
[00:00:24.640 --> 00:00:26.240]  短暫停留一下
[00:00:26.240 --> 00:00:27.760]  留個小朋友在家
[00:00:27.760 --> 00:00:30.760]  兒子見到機會難逃,他很喜歡吃糖
[00:00:30.760 --> 00:00:32.840]  於是就擔一張小椅子
[00:00:32.840 --> 00:00:35.160]  來到雪櫃面前打開雪櫃
[00:00:35.160 --> 00:00:36.920]  伸手去拿糖
[00:00:36.920 --> 00:00:38.240]  糖放在哪裡呢?
[00:00:38.240 --> 00:00:40.760]  原來媽媽把糖放在瓶子裡
[00:00:40.760 --> 00:00:43.120]  瓶子裡伸手去拿
[00:00:43.120 --> 00:00:46.160]  瓶蓋的口有點窄
[00:00:46.160 --> 00:00:48.440]  伸手進去拿著糖
[00:00:48.440 --> 00:00:50.920]  這個時刻
[00:00:50.920 --> 00:00:53.000]  他媽媽突然開門回來
[00:00:53.000 --> 00:00:54.920]  見到兒子做這個行動的時候
[00:00:54.920 --> 00:00:57.400]  當然又很生氣又很笑
[00:00:57.400 --> 00:01:00.400]  生氣我們明白,兒子又不聽話
[00:01:00.400 --> 00:01:01.800]  好笑什麼呢?
[00:01:01.800 --> 00:01:04.040]  見到兒子很緊張,拿著炸糖
[00:01:04.040 --> 00:01:05.080]  看著媽媽
[00:01:05.080 --> 00:01:07.160]  又想伸手出來
[00:01:07.160 --> 00:01:08.840]  但是他拿緊拳頭
[00:01:08.840 --> 00:01:10.520]  瓶蓋比較窄
[00:01:10.520 --> 00:01:12.560]  伸手也伸不出來
[00:01:12.560 --> 00:01:14.000]  那怎麼辦呢?
[00:01:14.000 --> 00:01:16.160]  媽媽說你放手吧
[00:01:16.160 --> 00:01:18.320]  你放手,糖
[00:01:18.320 --> 00:01:21.040]  接著手可以縮進來出來,對不對?
[00:01:21.040 --> 00:01:23.080]  但是兒子怎麼也不肯放手
[00:01:23.080 --> 00:01:24.280]  怎麼辦呢?
[00:01:24.280 --> 00:01:26.840]  於是媽媽也很聰明,非常熟悉
[00:01:26.840 --> 00:01:29.280]  兒子的情況
[00:01:29.280 --> 00:01:35.320]  進了房間就拿了他最喜歡的遙控車出來
[00:01:35.320 --> 00:01:37.960]  平時一個月只玩一次
