
[00:00:00.000 --> 00:00:03.940]  那我們到底怎樣才能夠控制我們的情緒呢?
[00:00:03.940 --> 00:00:05.900]  其實我們需要智慧,
[00:00:05.900 --> 00:00:09.540]  我們需要從天上神給我們的智慧。
[00:00:09.540 --> 00:00:15.000]  因此今天早上跟大家來分享新的季節,新的恩高。
[00:00:15.000 --> 00:00:17.200]  我相信我們進入到九月份的時候,
[00:00:17.200 --> 00:00:19.340]  我們已經離開了夏天,
[00:00:19.340 --> 00:00:21.400]  我們進入到秋天。
[00:00:21.400 --> 00:00:25.700]  雖然周圍的環境看起來好像不是一個進入新的季節,
[00:00:25.700 --> 00:00:29.600]  但是我們知道我們的確已經進入到新的季節。
[00:00:29.600 --> 00:00:31.900]  孩子們都已經上課了,
[00:00:31.900 --> 00:00:34.500]  雖然不能夠實體的到學校裏面上課,
[00:00:34.500 --> 00:00:37.700]  但是他們卻在家中網絡上課。
[00:00:37.700 --> 00:00:40.600]  許多的小組也已經恢復聚會,
[00:00:40.600 --> 00:00:42.500]  雖然不能夠實體的聚會,
[00:00:42.500 --> 00:00:46.000]  但是還是在網絡上開始聚會了。
[00:00:46.000 --> 00:00:50.600]  因此我們相信在新的季節裏面,
[00:00:50.600 --> 00:00:55.500]  因此它必須會是給我們新的恩高。
[00:00:55.500 --> 00:00:59.800]  我們知道環境很難告訴我們說這是什麼新的季節,
[00:00:59.800 --> 00:01:01.700]  怎麼會有新的恩高呢?
[00:01:01.700 --> 00:01:05.400]  但是聖經告訴我們說我們行事爲人不是憑什麼,
[00:01:05.400 --> 00:01:09.200]  不是憑眼見,乃是憑信心。
[00:01:09.200 --> 00:01:14.300]  因此今天早上我們要以信心來宣告說這是一個新的季節,
[00:01:14.300 --> 00:01:20.000]  神要做新的事情,因此我們要領受新的恩高,阿們。
[00:01:20.000 --> 00:01:26.200]  到頭還沒有人說這是新的季節,有新的恩高。
[00:01:26.200 --> 00:01:28.500]  到底哪方面的恩高呢?
[00:01:28.500 --> 00:01:34.400]  我們有三方面神要給我們在新的季節裏面領受三方面新的恩高。
[00:01:34.400 --> 00:01:38.900]  首先我們先來看看約翰福音第十六章第十二節到第十四節。
[00:01:38.900 --> 00:01:40.600]  這裏耶穌基督告訴我們說,
[00:01:40.600 --> 00:01:43.700]  我還有好些事要告訴你們,
[00:01:43.700 --> 00:01:46.600]  但你們現在也擔當不了。
[00:01:46.600 --> 00:01:50.900]  耶穌是非常體諒門徒,按照他們所能夠領受的,
[00:01:50.900 --> 00:01:53.600]  能夠告訴他們重要的真理。
[00:01:53.600 --> 00:01:57.700]  祂在第十三節說只等真理的聖靈來了,
[00:01:57.700 --> 00:02:01.000]  祂要引導你們明白一切的真理,
[00:02:01.000 --> 00:02:03.000]  因爲祂不是憑自己說的,
[00:02:03.000 --> 00:02:06.500]  乃是把祂所聽見的都說出來,
[00:02:06.500 --> 00:02:11.000]  並要把將來的事告訴你們。
[00:02:11.000 --> 00:02:12.900]  十四節說什麼呢?
[00:02:12.900 --> 00:02:19.900]  祂要榮耀我,因爲祂要將授予我的告訴你們。
[00:02:19.900 --> 00:02:23.700]  這裏耶穌告訴我們一個非常重要的應許,
[00:02:23.700 --> 00:02:26.800]  祂說真理的聖靈要來。
[00:02:26.800 --> 00:02:30.400]  聖靈其中另外一個名字叫做真理的聖靈。
[00:02:30.400 --> 00:02:32.400]  這個聖靈來做什麼呢?
[00:02:32.400 --> 00:02:33.700]  這個聖靈來做什麼?
[00:02:33.700 --> 00:02:40.200]  祂乃是來將天父所告訴耶穌的話都告訴我們。
[00:02:40.200 --> 00:02:43.200]  換句話說,祂乃是一個傳話的一個人,
[00:02:43.200 --> 00:02:47.200]  把天父的心意來告訴我們每一個人。
[00:02:47.200 --> 00:02:49.200]  第二件事情,真理的聖靈做什麼呢?
[00:02:49.200 --> 00:02:55.200]  真理的聖靈乃是將將來的事,還未發生的事,告訴我們。
[00:02:55.200 --> 00:02:56.700]  哇!這是多好啊!
[00:02:56.700 --> 00:02:58.700]  我們多想說,到底育苗什麼時候可以出來,
[00:02:58.700 --> 00:03:02.200]  如果能夠早知道的話,那不是很好嗎?
[00:03:02.200 --> 00:03:07.200]  這個真理的靈將來要發生的事情告訴我們。
[00:03:07.200 --> 00:03:10.200]  第三件真理的聖靈要做的事情,非常重要的事情,
[00:03:10.200 --> 00:03:16.200]  祂將光復耶穌的事情都告訴我們。
[00:03:16.200 --> 00:03:19.200]  親愛的弟兄姐妹,這是在新的季節裏面,
[00:03:19.200 --> 00:03:23.200]  神給我們這個新鮮的恩高的第一個恩高是什麼呢?
[00:03:23.200 --> 00:03:25.700]  乃是智慧的恩高。
[00:03:25.700 --> 00:03:29.200]  因此你是最有智慧的人,你不再愚昧,
[00:03:29.200 --> 00:03:32.700]  因爲你有什麼?你有智慧的恩高。
[00:03:32.700 --> 00:03:37.700]  告訴你自己,告訴旁邊的人說,我不再愚昧,我有智慧的恩高。
[00:03:37.700 --> 00:03:40.200]  智慧的恩高,什麼叫做愚昧啊?
