
[00:00:00.000 --> 00:00:02.400]  各位弟兄姐妹,早上好!
[00:00:02.400 --> 00:00:06.000]  在網絡的弟兄姐妹,很高興再次能夠進到你的家中,
[00:00:06.000 --> 00:00:10.400]  跟你一同敬拜祖,一同來分享聖的話語。
[00:00:10.400 --> 00:00:13.100]  在感恩節的長週末裏面,
[00:00:13.100 --> 00:00:17.800]  在這裏再一次祝大家感恩節非常非常非常地快樂!
[00:00:17.800 --> 00:00:21.800]  大衆朋友說感恩節快樂!
[00:00:21.800 --> 00:00:26.300]  我想每年除了聖誕節以外,感恩節是我最喜歡的一個節日。
[00:00:26.300 --> 00:00:32.300]  爲什麼呢?因爲它提醒我們要常常數算神的恩典。
[00:00:32.300 --> 00:00:36.400]  當你越數算神的恩典的時候,神的恩典就越多領到你身上。
[00:00:36.400 --> 00:00:40.600]  然後加上在感恩節的時候,通常也是我的生日。
[00:00:40.600 --> 00:00:45.000]  所以我已經進入了爾順之年了。
[00:00:45.000 --> 00:00:50.900]  有一甲子了,有資格參加崇庇牧師的金色年華了。
[00:00:50.900 --> 00:00:54.100]  看看我們全家福的照片。
[00:00:54.100 --> 00:00:58.100]  所以今天真的是心中非常充滿感恩,
[00:00:58.100 --> 00:01:02.300]  神給我們一個愛主,愛我大女兒的兒子。
[00:01:02.300 --> 00:01:05.000]  所以我們現在一家五口了。
[00:01:05.000 --> 00:01:10.300]  然後在這個生日的時候,我這個女婿還有大女兒跟小女兒非常有趣,
[00:01:10.300 --> 00:01:15.100]  他們可能是想安慰我,鼓勵我,就送我一張三十歲的賀卡,
[00:01:15.100 --> 00:01:18.600]  然後又另外一個三十歲的卡片。
[00:01:18.600 --> 00:01:20.100]  然後小女兒在裏面寫說,
[00:01:20.100 --> 00:01:25.900]  她說,爸爸,今年你是三十加三十,六十歲了。
[00:01:25.900 --> 00:01:28.500]  雖然你是六十歲,但是看起來還是很年輕。
[00:01:28.500 --> 00:01:32.200]  Hallelujah!還是很年輕,感謝主。
[00:01:32.200 --> 00:01:36.200]  我想說,有主我們可以永遠年輕,Amen?
[00:01:36.200 --> 00:01:42.400]  有主在我們心中,我們永遠都可以年輕,我們可以爲主年輕。
[00:01:42.400 --> 00:01:45.500]  所以今年真的是心中充滿感恩,
[00:01:45.500 --> 00:01:50.400]  也是我在教會服侍,在生命和靈臨堂服侍主二十年。
[00:01:50.400 --> 00:01:57.100]  真的感謝主看到弟兄姐妹對我們的愛,對我們的帶導和支持,
[00:01:57.100 --> 00:02:00.900]  真的是特別在我大女兒的婚禮,還有我六十歲的生日裏面,
[00:02:00.900 --> 00:02:05.400]  真是感受到弟兄姐妹這個大家庭,真的像一個愛的大家庭。
[00:02:05.400 --> 00:02:09.300]  雖然我自己的家人不在身邊,但是你們就是我的家人,
[00:02:09.300 --> 00:02:13.500]  就是我最愛的家人,非常感謝大家。
[00:02:13.500 --> 00:02:19.200]  而且非常奇的是,今年六十歲生日,我竟然喫了八個蛋糕。
[00:02:19.200 --> 00:02:23.300]  所以今天早上這個西裝褲有一點窄。
[00:02:23.300 --> 00:02:27.100]  因爲你們真好,高總管先生,因爲你真好。
[00:02:27.100 --> 00:02:29.900]  詩篇103篇第五節告訴我們說,
[00:02:29.900 --> 00:02:35.500]  "我的心啊,你要稱頌耶和華,不可忘記祂的一切恩惠。"
[00:02:35.500 --> 00:02:41.400]  "我的心啊,你要稱頌耶和華,不可忘記祂的一切恩惠。"
[00:02:41.400 --> 00:02:46.300]  爲什麼詩人一直在提醒我們,要來稱頌耶和華,要來感恩,
[00:02:46.300 --> 00:02:48.700]  不可忘記祂的一切恩惠呢?
[00:02:48.700 --> 00:02:51.600]  因爲我們人的本性,我們就是喜歡比較,
[00:02:51.600 --> 00:02:56.400]  但一比較之下,你就覺得你比不上,也比不下,
[00:02:56.400 --> 00:03:00.100]  因此你心中充滿埋怨,你就很難感恩。
[00:03:00.100 --> 00:03:04.900]  你一埋怨的話,你就根本不會感恩,就好像老林一樣。
[00:03:04.900 --> 00:03:07.200]  有一次老林到印度去出差,
[00:03:07.200 --> 00:03:12.100]  一下機場就乘搭印度人的機乘車到他的旅館去。
