
[00:00:00.000 --> 00:00:03.560]  恭祝文后弟兄姊妹平安
[00:00:03.560 --> 00:00:06.640]  恭祝大家聖誕快樂
[00:00:06.640 --> 00:00:13.040]  今天講題是一根搓腰麻布的袋子的比喻
[00:00:13.040 --> 00:00:19.560]  我今天講到的題目是一根搓腰麻布的袋子的比喻
[00:00:19.560 --> 00:00:23.160]  耶利米蘇這本書不是容易講的書卷
[00:00:23.160 --> 00:00:25.160]  耶利米蘇這本書不容易講
[00:00:25.160 --> 00:00:28.160]  它裡面講的
[00:00:28.160 --> 00:00:31.160]  可以用一個英文字叫 chuncated
[00:00:31.160 --> 00:00:35.160]  chuncated 就是說一根一根
[00:00:35.160 --> 00:00:37.160]  是一段一段
[00:00:37.160 --> 00:00:39.160]  那怎麼去明白它呢
[00:00:39.160 --> 00:00:40.160]  怎麼去明白它呢
[00:00:40.160 --> 00:00:41.160]  這個就是最費功夫的
[00:00:41.160 --> 00:00:43.160]  這需要很花功夫
[00:00:43.160 --> 00:00:44.160]  我感謝主
[00:00:44.160 --> 00:00:45.160]  我感謝主
[00:00:45.160 --> 00:00:47.160]  可以在這裡和大家分享耶利米蘇
[00:00:47.160 --> 00:00:49.160]  可以在這裡和大家分享耶利米蘇
[00:00:49.160 --> 00:00:51.160]  那也就是說我要做功課了
[00:00:51.160 --> 00:00:53.160]  這就說我必須做功課
[00:00:53.160 --> 00:00:54.160]  我很享受這個過程
[00:00:54.160 --> 00:00:57.160]  我非常欣賞這個過程
[00:00:57.160 --> 00:00:59.160]  因為我自己本身學到很多東西
[00:00:59.160 --> 00:01:01.160]  因為我本身學到很多東西
[00:01:01.160 --> 00:01:03.160]  甚至乎這個訊息
[00:01:03.160 --> 00:01:04.160]  甚至這個訊息
[00:01:04.160 --> 00:01:06.160]  可以和聖誕節帶上關係
[00:01:06.160 --> 00:01:08.160]  甚至和聖誕節可以帶上關係
[00:01:08.160 --> 00:01:09.160]  你沒想過吧
[00:01:09.160 --> 00:01:10.160]  有沒想過
[00:01:10.160 --> 00:01:11.160]  你坐下來慢慢聽
[00:01:11.160 --> 00:01:12.160]  好你坐下來慢慢聽
[00:01:12.160 --> 00:01:16.160]  十三章
[00:01:16.160 --> 00:01:17.160]  十三章
[00:01:17.160 --> 00:01:18.160]  是有三部分
[00:01:18.160 --> 00:01:19.160]  有三部分
[00:01:19.160 --> 00:01:20.160]  第一部分
[00:01:20.160 --> 00:01:21.160]  第一部分
[00:01:21.160 --> 00:01:22.160]  就是今天的經文
[00:01:22.160 --> 00:01:23.160]  就是今天的經文
[00:01:23.160 --> 00:01:24.160]  一到十一節
[00:01:24.160 --> 00:01:25.160]  一到十一節
[00:01:25.160 --> 00:01:26.160]  是今天講到的內容
[00:01:26.160 --> 00:01:27.160]  是今天講到的內容
[00:01:27.160 --> 00:01:29.160]  其實很簡單
[00:01:29.160 --> 00:01:30.160]  其實非常簡單
[00:01:30.160 --> 00:01:37.160]  是一個戳腰麻布袋子的比喻
[00:01:37.160 --> 00:01:39.160]  是一個戳腰麻布袋子的比喻
[00:01:39.160 --> 00:01:41.160]  耶利米蘇
[00:01:41.160 --> 00:01:43.160]  聽上去要著想
[00:01:43.160 --> 00:01:46.160]  耶利米蘇聽上去的話
[00:01:46.160 --> 00:01:49.160]  要全上
[00:01:49.160 --> 00:01:51.160]  還有很多事情要做
[00:01:51.160 --> 00:01:52.160]  還有很多事情要做
[00:01:52.160 --> 00:01:54.160]  行千里
[00:01:54.160 --> 00:01:55.160]  要行千里
[00:01:56.160 --> 00:01:57.160]  收埋
[00:01:57.160 --> 00:01:58.160]  收藏
[00:01:58.160 --> 00:02:00.160]  回來之後
[00:02:00.160 --> 00:02:01.160]  又要去找回
[00:02:01.160 --> 00:02:02.160]  收完以後
[00:02:02.160 --> 00:02:03.160]  又要去拿回
[00:02:03.160 --> 00:02:06.160]  這是一個象徵性的行動
[00:02:06.160 --> 00:02:08.160]  這是一個象徵性的行動
[00:02:08.160 --> 00:02:10.160]  symbolic acts
[00:02:10.160 --> 00:02:13.160]  象徵性行動
[00:02:13.160 --> 00:02:14.160]  象徵性行動
[00:02:14.160 --> 00:02:16.160]  如果用英文
[00:02:16.160 --> 00:02:19.160]  用英文來講
[00:02:19.160 --> 00:02:21.160]  nonverbal action
[00:02:21.160 --> 00:02:23.160]  用英文來講
[00:02:23.160 --> 00:02:24.160]  就比較容易
[00:02:24.160 --> 00:02:28.160]  nonverbal message
[00:02:28.160 --> 00:02:30.160]  是一個
[00:02:30.160 --> 00:02:33.160]  不是用言語表達的訊息
[00:02:33.160 --> 00:02:34.160]  very good
[00:02:34.160 --> 00:02:36.160]  做一些事情
[00:02:36.160 --> 00:02:37.160]  不說話
[00:02:37.160 --> 00:02:38.160]  不講
[00:02:38.160 --> 00:02:39.160]  但是有訊息
[00:02:39.160 --> 00:02:40.160]  但是有訊息
[00:02:40.160 --> 00:02:44.160]  我們有時候可以中文一句
[00:02:44.160 --> 00:02:46.160]  此時無聲
[00:02:46.160 --> 00:02:47.160]  像我們中文
[00:02:47.160 --> 00:02:48.160]  此時無聲
[00:02:48.160 --> 00:02:49.160]  下面那句是什麼
[00:02:49.160 --> 00:02:51.160]  聲有聲
[00:02:52.160 --> 00:02:54.160]  弟兄姊妹
[00:02:54.160 --> 00:02:55.160]  這句話很漂亮
[00:02:55.160 --> 00:02:56.160]  這句話非常漂亮
[00:02:56.160 --> 00:02:57.160]  在我們信徒生活
[00:02:57.160 --> 00:02:58.160]  在我們信徒生活當中
[00:02:58.160 --> 00:02:59.160]  你的見證
[00:02:59.160 --> 00:03:00.160]  你的見證
[00:03:00.160 --> 00:03:03.160]  是不是有時無聲勝有聲
[00:03:03.160 --> 00:03:04.160]  是不是無聲勝有聲
[00:03:04.160 --> 00:03:05.160]  不是你講人家就聽的
[00:03:05.160 --> 00:03:07.160]  不是你講人家就聽
[00:03:07.160 --> 00:03:08.160]  人家要看你
[00:03:08.160 --> 00:03:09.160]  人家要看你
[00:03:09.160 --> 00:03:10.160]  所做的
[00:03:10.160 --> 00:03:11.160]  所做
[00:03:11.160 --> 00:03:13.160]  這個很漂亮的訊息在這裡
[00:03:13.160 --> 00:03:14.160]  這是非常漂亮的訊息
[00:03:14.160 --> 00:03:17.160]  然後上帝
[00:03:17.160 --> 00:03:19.160]  就向我解釋
