
[00:00:00.000 --> 00:00:02.000]  Amen,OK,大家姐妹
[00:00:02.000 --> 00:00:06.680]  今天呢,第一個問題想問大家的呢,就是
[00:00:06.680 --> 00:00:10.140]  你們覺得,人生是有什麼目標的呢?
[00:00:10.140 --> 00:00:14.280]  人生有很多目標的,OK的
[00:00:14.280 --> 00:00:16.640]  就是我們找一份好工作,是吧?
[00:00:16.640 --> 00:00:19.000]  我們想子女大學畢業
[00:00:19.000 --> 00:00:21.160]  或者我們想賺更多的錢
[00:00:21.160 --> 00:00:23.800]  我們想健康一點,那我想問問大家
[00:00:23.800 --> 00:00:27.340]  那基督徒的人生目標是什麼呢?
[00:00:28.260 --> 00:00:30.400]  你自己想想吧,我相信呢
[00:00:30.400 --> 00:00:34.200]  其中一個很大的目標,一定是
[00:00:34.200 --> 00:00:37.600]  "敬拜"的,我們一起去讀
[00:00:37.600 --> 00:00:40.140]  誒,不好意思,我們一起去讀以下經文
[00:00:40.140 --> 00:00:41.140]  1,2,3
[00:00:41.140 --> 00:00:47.940]  "事後,將到如今就是了,那真正拜佛的,要用心靈和誠實拜他
[00:00:47.940 --> 00:00:50.440]  因爲父要這樣的人,拜他
[00:00:50.440 --> 00:00:55.640]  神是個靈,所以拜他的,必須用心靈和誠實拜他"
[00:00:55.640 --> 00:01:02.940]  弟兄姐妹,敬拜就是神設計我們這個身體裏面一個很大的目的
[00:01:02.940 --> 00:01:07.040]  我們的丹田,我們的喉嚨,我們的聲音
[00:01:07.040 --> 00:01:09.940]  可以唱歌去敬拜神,就好像剛纔那樣,是吧?
[00:01:09.940 --> 00:01:13.040]  我們敬拜神的時候,我們唱的時候
[00:01:13.040 --> 00:01:15.640]  我們感覺到聖靈與我們同在
[00:01:15.640 --> 00:01:17.340]  我們也感謝衛士團隊
[00:01:17.340 --> 00:01:20.440]  他們每次敬拜都練很多時間
[00:01:20.440 --> 00:01:23.240]  令我們進入這個聖靈的節奏裏面的時候
[00:01:23.240 --> 00:01:27.140]  我們就得到根生,我們就得到醫治
[00:01:27.140 --> 00:01:29.940]  那怎樣纔是真正的敬拜呢?
