
[00:00:00.000 --> 00:00:03.000]  好,各位電影姊妹,早安
[00:00:03.000 --> 00:00:05.000]  聖誕快樂
[00:00:05.000 --> 00:00:08.000]  今天是什麼日子?
[00:00:08.000 --> 00:00:11.000]  聖誕節的翌日
[00:00:11.000 --> 00:00:14.000]  通常有些人就叫做什麼日子?
[00:00:14.000 --> 00:00:17.000]  Boxing Day,沒錯,開禮物
[00:00:17.000 --> 00:00:22.000]  不知道大家今年收不收得多聖誕禮物呢?
[00:00:22.000 --> 00:00:26.000]  應該不是問有沒有,應該是問有沒有收到,或者收到多少
[00:00:26.000 --> 00:00:30.000]  不知道收到聖誕禮物的時候感覺是怎樣呢?
[00:00:30.000 --> 00:00:32.000]  有沒有人想分享一下?
[00:00:32.000 --> 00:00:36.000]  本來晚課我可能會下來和大家互動
[00:00:36.000 --> 00:00:40.000]  分享一下大家收到聖誕禮物的感覺是怎樣
[00:00:40.000 --> 00:00:43.000]  我今年也收到聖誕禮物
[00:00:43.000 --> 00:00:45.000]  其實年年都有的
[00:00:45.000 --> 00:00:49.000]  不過我們男士的感覺很低的
[00:00:49.000 --> 00:00:51.000]  很慢應該說,不是很低
[00:00:51.000 --> 00:00:55.000]  是收到也不懂得感謝,或者收到禮物
[00:00:55.000 --> 00:00:59.000]  我預備這篇講到當然要感受一下
[00:00:59.000 --> 00:01:01.000]  原來也是很開心的
[00:01:01.000 --> 00:01:02.000]  怎樣開心呢?
[00:01:02.000 --> 00:01:05.000]  有人記得你,有人送禮物給你
[00:01:05.000 --> 00:01:10.000]  過去一年我們一起收到一份禮物
[00:01:10.000 --> 00:01:13.000]  可以表示一個感謝和一個紀念
[00:01:13.000 --> 00:01:19.000]  記得你在過去一年的一些祝福和關懷
[00:01:19.000 --> 00:01:21.000]  感到很感恩
[00:01:21.000 --> 00:01:24.000]  大家收禮物有沒有這個感覺?
[00:01:24.000 --> 00:01:26.000]  或者收完就放在一邊
[00:01:26.000 --> 00:01:29.000]  應該也會有些感覺,我猜是姐妹多些
[00:01:29.000 --> 00:01:33.000]  除了收禮物之外,應該也會有送禮物
[00:01:33.000 --> 00:01:35.000]  大家有沒有送禮物給別人?
[00:01:35.000 --> 00:01:38.000]  也有了,看到有些額頭和零頭
[00:01:38.000 --> 00:01:40.000]  送禮物你的心情是怎樣呢?
[00:01:40.000 --> 00:01:42.000]  送禮物的心情可能就是
[00:01:42.000 --> 00:01:46.000]  你一開始就會想,我送給哪些人呢?
[00:01:46.000 --> 00:01:49.000]  送給一些和你關係很親密的人
[00:01:49.000 --> 00:01:53.000]  可能是你的家人,或者你很熟的朋友
[00:01:53.000 --> 00:01:56.000]  你會想究竟送些什麼給他們呢?
[00:01:56.000 --> 00:02:01.000]  我相信應該是送禮物多些
[00:02:01.000 --> 00:02:07.000]  因為每年浸禮,我都會個別送一份禮物給受浸者
[00:02:07.000 --> 00:02:09.000]  一會兒我們下午也有人浸禮
[00:02:09.000 --> 00:02:12.000]  少男在場,我都預備一份禮物給你
[00:02:12.000 --> 00:02:16.000]  記住問我拿,我會送禮物給你
[00:02:16.000 --> 00:02:18.000]  其實不用你問
[00:02:18.000 --> 00:02:21.000]  受浸者他們有什麼需要呢?
[00:02:21.000 --> 00:02:23.000]  他們在聖誕節受浸
[00:02:23.000 --> 00:02:27.000]  他們的靈命又再更上一層樓
[00:02:27.000 --> 00:02:31.000]  願意歸向耶穌,跟隨耶穌,加入教會
[00:02:31.000 --> 00:02:33.000]  忠心作主的門徒
[00:02:33.000 --> 00:02:37.000]  希望近幾年我和師母買禮物
[00:02:37.000 --> 00:02:39.000]  都發覺要實用些
[00:02:39.000 --> 00:02:41.000]  不要只有擺設,擺在那裏
[00:02:41.000 --> 00:02:44.000]  只有看,希望這份禮物實用些
[00:02:44.000 --> 00:02:47.000]  不知大家選禮物或送禮物的時候
[00:02:47.000 --> 00:02:49.000]  心情又是怎樣呢?
[00:02:49.000 --> 00:02:52.000]  很感謝敬拜隊幫我們唱一首詩歌
[00:02:52.000 --> 00:02:54.000]  叫做「最美的禮物」
[00:02:54.000 --> 00:02:57.000]  將我今天要講的主題都講出來了
[00:02:57.000 --> 00:02:59.000]  大家都知道,在我們聖誕節裏
[00:02:59.000 --> 00:03:01.000]  最大的禮物是什麼?
[00:03:01.000 --> 00:03:03.000]  就是耶穌基督
[00:03:03.000 --> 00:03:05.000]  所以我們一會兒會思考一下
[00:03:05.000 --> 00:03:09.000]  耶穌基督這份聖誕禮物對我們生命有什麼意義
[00:03:09.000 --> 00:03:12.000]  我看看,忘了出這個
[00:03:12.000 --> 00:03:16.000]  即是送禮物和收禮物會是怎樣呢?
[00:03:16.000 --> 00:03:19.000]  在未進入講道之前
[00:03:19.000 --> 00:03:21.000]  我們先有些背景
