
[00:00:00.000 --> 00:00:02.000]  (主席)各位弟兄姊妹,早安!
[00:00:02.000 --> 00:00:06.000]  很高興有機會再一次來到崇基禮拜堂
[00:00:06.000 --> 00:00:10.000]  和大家一起敬拜和分享上帝的話語
[00:00:10.000 --> 00:00:13.000]  大家都知道這個主日被稱為
[00:00:13.000 --> 00:00:16.000]  御苦期的第五主日
[00:00:16.000 --> 00:00:21.000]  也可以說御苦期就是五個主日
[00:00:21.000 --> 00:00:25.000]  加上下個禮拜的中樹節主日
[00:00:25.000 --> 00:00:30.000]  那就是耶穌在釘十字架之前的四十天
[00:00:30.000 --> 00:00:33.000]  去紀念主耶穌一方面
[00:00:33.000 --> 00:00:37.000]  祂曾經在祂洗禮之後出來傳道之前
[00:00:37.000 --> 00:00:42.000]  在曠野受了四十天的試探
[00:00:42.000 --> 00:00:45.000]  另一方面當然也紀念到
[00:00:45.000 --> 00:00:49.000]  以色列人出埃及的四十年
[00:00:49.000 --> 00:00:52.000]  在曠野當中的流浪
[00:00:52.000 --> 00:00:56.000]  在那裡受上帝的操練
[00:00:56.000 --> 00:01:01.000]  以至進入迦南地之前的準備期
[00:01:01.000 --> 00:01:06.000]  當然今天我們要迎接主耶穌釘十字架
[00:01:06.000 --> 00:01:10.000]  也是我們每一個人準備好自己
[00:01:10.000 --> 00:01:14.000]  如何去面對主耶穌在十字架上
[00:01:14.000 --> 00:01:16.000]  祂所受的苦
[00:01:16.000 --> 00:01:20.000]  祂對罪惡權勢的對立
[00:01:20.000 --> 00:01:24.000]  也是祂自己願意信服上帝
[00:01:24.000 --> 00:01:26.000]  我們的生命當中
[00:01:26.000 --> 00:01:29.000]  如何有十字架的記號呢?
[00:01:29.000 --> 00:01:32.000]  我們如何與耶穌基督同釘十字架呢?
[00:01:32.000 --> 00:01:34.000]  活著的再不是我
[00:01:34.000 --> 00:01:38.000]  而是基督在我生命當中活著呢?
[00:01:38.000 --> 00:01:40.000]  相信在這一段時間
[00:01:40.000 --> 00:01:42.000]  都是我們去思想
[00:01:42.000 --> 00:01:44.000]  我們和上帝的關係
[00:01:44.000 --> 00:01:51.000]  內省我們自己如何與耶穌基督重新建立關係的時候
[00:02:14.000 --> 00:02:17.000]  但是其實這一段經文
