
[00:00:00.000 --> 00:00:04.800]  在這段時間陸陸續續都有很多婚假喜事
[00:00:04.800 --> 00:00:06.440]  在我們的會友當中
[00:00:06.440 --> 00:00:10.840]  剛剛昨天都有我們的潘長老的兒子結婚
[00:00:10.840 --> 00:00:12.160]  接下來下個星期
[00:00:12.160 --> 00:00:15.280]  亦都有我們當中一對藥膝團的年輕人
[00:00:15.280 --> 00:00:16.680]  他們結婚亡
[00:00:16.680 --> 00:00:18.240]  還有一個多星期
[00:00:18.240 --> 00:00:21.560]  我相信他們還有很多事情要打點
[00:00:21.560 --> 00:00:24.200]  而準新郎的爸爸媽媽
[00:00:24.200 --> 00:00:26.520]  都已經在外地飛回來香港
[00:00:26.520 --> 00:00:28.760]  預備迎接這個大日子
[00:00:28.760 --> 00:00:29.680]  上個星期日
[00:00:29.680 --> 00:00:33.320]  我都由早到晚陪了我的好姊妹
[00:00:33.320 --> 00:00:34.920]  她要出嫁
[00:00:34.920 --> 00:00:36.800]  所以我都見證著
[00:00:36.800 --> 00:00:39.640]  他們在過去的一年半載
[00:00:39.640 --> 00:00:44.200]  怎樣預備他們大大小小的事情和心情
[00:00:44.200 --> 00:00:46.720]  包括家裡的裝修、收拾
[00:00:46.720 --> 00:00:48.440]  要修身保養
[00:00:48.440 --> 00:00:50.280]  要做婚前輔導
[00:00:50.280 --> 00:00:52.880]  要跟不同的親戚朋友弟兄姊妹
[00:00:52.880 --> 00:00:56.840]  安排打點溝通不同的事情
[00:00:56.840 --> 00:00:59.840]  確實結婚真是一件人生大事
[00:00:59.840 --> 00:01:00.960]  自從那天開始
[00:01:00.960 --> 00:01:04.240]  他們兩個就不再是兩個獨立的個體
[00:01:04.240 --> 00:01:07.640]  而是兩個人甚至兩個家庭的結年
[00:01:07.640 --> 00:01:08.520]  從此以後
[00:01:08.520 --> 00:01:10.800]  他們共同分享、分擔
[00:01:10.800 --> 00:01:15.040]  他們生命裏面的高低起跌、快樂憂愁
[00:01:15.040 --> 00:01:19.120]  所以是要由外而內都做好準備
[00:01:19.120 --> 00:01:23.280]  去迎接這個人生新的階段
[00:01:23.280 --> 00:01:24.160]  踏入十二月
[00:01:24.160 --> 00:01:24.960]  對於教會
[00:01:24.960 --> 00:01:26.640]  對於每一個基督徒來說
[00:01:26.640 --> 00:01:28.920]  都是一個預備期
[00:01:28.920 --> 00:01:29.680]  在這段時間
[00:01:29.680 --> 00:01:32.600]  教會傳統稱為張臨期
[00:01:32.600 --> 00:01:34.280]  張臨期有雙重的意義
