
[00:00:00.000 --> 00:00:02.240]  好,我們一起來看一看我們的祈禱吧
[00:00:02.240 --> 00:00:27.600]  新的農曆新年開始就是後年
[00:00:27.600 --> 00:00:30.880]  大家知道猴子是代表了活潑的
[00:00:30.880 --> 00:00:33.120]  我小時候經常被家人說我是甚麼呢
[00:00:33.120 --> 00:00:34.720]  「甩醒猴子」
[00:00:34.720 --> 00:00:36.720]  即是完全是控制不了的
[00:00:36.720 --> 00:00:38.400]  是完全坐不定的
[00:00:38.400 --> 00:00:40.640]  其實現在都是甩醒猩猩來的
[00:00:40.640 --> 00:00:41.920]  都是坐不定的
[00:00:41.920 --> 00:00:45.360]  但是我都覺得希望我們每一個人都像猴子一樣
[00:00:45.360 --> 00:00:46.240]  這麼活潑
[00:00:46.240 --> 00:00:49.200]  這麼可以滿有生氣
[00:00:49.200 --> 00:00:51.760]  工作的時候不是死固固的
[00:00:51.760 --> 00:00:55.040]  我很怕那些人呆呆滯滯、呆呆板板這樣
[00:00:55.040 --> 00:00:58.400]  而猴子某個程度都很有創意
[00:00:58.400 --> 00:01:03.120]  我覺得我們是不應該被一些傳統規範著
[00:01:03.120 --> 00:01:05.760]  我不覺得傳統一定是錯的
[00:01:05.760 --> 00:01:08.560]  但是如果我們有一些傳統的枷鎖規範著我們
[00:01:08.560 --> 00:01:10.720]  我們就不會有那個突破
[00:01:10.720 --> 00:01:16.240]  但是我們的突破需要有神的真理來規範著我們
[00:01:16.240 --> 00:01:19.120]  就正正好像西遊記裡面的孫悅空
[00:01:19.120 --> 00:01:22.240]  都要被金剛箍來箍著
[00:01:22.240 --> 00:01:25.760]  我們更加期望電影節目像猴子一樣模仿力很強
[00:01:25.760 --> 00:01:27.040]  但是我們模仿的是誰呢?
[00:01:27.040 --> 00:01:28.320]  是模仿我們的神
[00:01:28.320 --> 00:01:30.880]  學習尼大利去倚靠我們的神
[00:01:30.880 --> 00:01:32.880]  今年都不例外了
[00:01:32.880 --> 00:01:37.120]  我每一年都會在農曆新年的前或者後
[00:01:37.120 --> 00:01:40.560]  就會按那個生肖尼大利去講一篇道的
[00:01:40.560 --> 00:01:42.880]  今年都是會講後年
[00:01:42.880 --> 00:01:45.440]  我會有幾個的成語
[00:01:45.440 --> 00:01:46.960]  先教大家中文
[00:01:46.960 --> 00:01:50.640]  尼大利去透過這些來給大家有一個反思
[00:01:50.640 --> 00:01:54.080]  第一個就叫做木猴冠冕
[00:01:54.080 --> 00:01:55.760]  木猴冠冕是什麼呢?
[00:01:55.760 --> 00:01:59.360]  是元朝的一套劇裡面
[00:01:59.360 --> 00:02:02.240]  一個截止戲的第三節裡面
[00:02:02.240 --> 00:02:07.040]  那個女主角罵自己的丈夫不過是打情罵俏的
[00:02:07.040 --> 00:02:10.160]  她說我罵你這個木猴冠冕
[00:02:10.160 --> 00:02:12.640]  牛馬噤句是什麼意思呢?
[00:02:12.640 --> 00:02:16.000]  她說你這個人雖然是穿了一件衣服
[00:02:16.000 --> 00:02:17.280]  戴上帽子
[00:02:17.280 --> 00:02:19.120]  不過你始終是猴子
[00:02:19.120 --> 00:02:22.560]  猴子戴上帽子穿上衣服仍然是什麼呢?
[00:02:22.560 --> 00:02:23.520]  是猴子的
[00:02:23.520 --> 00:02:27.280]  好像牛和馬都是有一些外衣穿上去
[00:02:27.280 --> 00:02:29.840]  有一句話大家就會熟悉了
[00:02:29.840 --> 00:02:34.400]  這個人簡直是衣冠禽獸
[00:02:34.400 --> 00:02:36.880]  人面獸心
[00:02:36.880 --> 00:02:38.880]  就是在罵一個人
[00:02:38.880 --> 00:02:43.680]  當然這個成語原本來自打情罵俏
[00:02:43.680 --> 00:02:47.520]  但是已經引伸到一個人
[00:02:47.520 --> 00:02:49.360]  可能外表很好
[00:02:49.360 --> 00:02:51.920]  但內裡是很骯髒的
[00:02:51.920 --> 00:02:55.840]  今天不要忘記人是神所造的高峰
[00:02:55.840 --> 00:03:00.160]  神造人的時候將靈吹入人的生命當中
[00:03:00.160 --> 00:03:03.680]  而人不只是外表有很美麗的質素
[00:03:03.680 --> 00:03:05.520]  人有公義感
[00:03:05.520 --> 00:03:06.800]  有是非之心
[00:03:06.800 --> 00:03:08.080]  有良知
[00:03:08.080 --> 00:03:09.280]  有愛
[00:03:09.280 --> 00:03:11.600]  這一切是超越物質的
[00:03:11.600 --> 00:03:13.280]  人應該很美麗
[00:03:13.280 --> 00:03:14.480]  但是很可惜
[00:03:14.480 --> 00:03:16.240]  因為人犯罪
[00:03:16.240 --> 00:03:21.040]  於是良心慢慢的麻木剛硬
[00:03:21.040 --> 00:03:24.240]  甚至有時候你留意到一些人做出一些事
[00:03:24.240 --> 00:03:26.720]  甚至連禽獸都不如
[00:03:26.720 --> 00:03:28.560]  中國人有一句話說
[00:03:28.560 --> 00:03:31.200]  「虎毒不食兒」
[00:03:31.200 --> 00:03:34.400]  老虎怎樣壞都不會害自己的子女
[00:03:34.400 --> 00:03:36.560]  最近有一個案件是什麼呢?
[00:03:36.560 --> 00:03:41.200]  就是有一個媽媽逼自己十三歲的女兒
[00:03:41.200 --> 00:03:44.080]  出賣自己的初夜
[00:03:44.080 --> 00:03:46.400]  她說反正你遲早都沒有了
[00:03:46.400 --> 00:03:49.840]  不如你去給一個富二代跟你發生關係
[00:03:49.840 --> 00:03:52.320]  於是你就可以賺到錢
[00:03:52.320 --> 00:03:54.640]  當然那些錢不是女孩子的
[00:03:54.640 --> 00:03:56.080]  是媽媽要的
[00:03:56.080 --> 00:03:58.960]  這個女兒當然不開心
[00:03:58.960 --> 00:04:00.720]  後來跟社工說
[00:04:00.720 --> 00:04:02.320]  就揭發了這件事
[00:04:02.320 --> 00:04:05.440]  前兩天如果大家有看新聞的時候
[00:04:05.440 --> 00:04:07.840]  有一個警察,紀律部隊來的
[00:04:07.840 --> 00:04:12.000]  竟然去找手銬鎖住自己的親生女兒
[00:04:12.000 --> 00:04:14.160]  你帶她去非禮她
[00:04:14.160 --> 00:04:15.200]  很恐怖
