
[00:00:00.000 --> 00:00:03.820]  各位電影姊妹 主禮平安
[00:00:03.820 --> 00:00:06.400]  教會訂的今年主題
[00:00:06.400 --> 00:00:11.840]  「建立生命關愛社群」
[00:00:11.840 --> 00:00:17.540]  今天我們想要一起來思想的是
[00:00:17.540 --> 00:00:21.380]  「彼此相愛」
[00:00:21.380 --> 00:00:24.180]  你說我很熟了 聽過了
[00:00:24.180 --> 00:00:26.280]  都會背的 那一起背吧
[00:00:26.280 --> 00:00:29.820]  你不要看 行不行
[00:00:29.820 --> 00:00:31.760]  主耶穌說的話是怎樣說的
[00:00:31.760 --> 00:00:37.320]  祂說「我賜給你們一條新命令
[00:00:37.320 --> 00:00:41.660]  乃是叫你們彼此相愛
[00:00:41.660 --> 00:00:44.140]  我怎樣愛你們
[00:00:44.140 --> 00:00:47.600]  你們也要怎樣相愛
[00:00:47.600 --> 00:00:51.540]  你們若有彼此相愛的心
[00:00:51.540 --> 00:00:59.780]  眾人因此就認出你們是我的門徒了」
[00:00:59.780 --> 00:01:03.820]  要明白耶穌這一句說話
[00:01:03.820 --> 00:01:08.160]  我們先要澄清兩件事
[00:01:08.160 --> 00:01:16.160]  第一 愛怎可以是命令
[00:01:16.160 --> 00:01:19.140]  愛是一個感覺
[00:01:19.140 --> 00:01:21.440]  不能命令你的
[00:01:21.440 --> 00:01:25.080]  所以我們不應該從愛出發去問
[00:01:25.080 --> 00:01:27.580]  應該從命令出發
[00:01:27.580 --> 00:01:31.540]  甚麼是命令 養過小狗沒有
[00:01:31.540 --> 00:01:33.780]  你的小狗聽不聽話的
[00:01:33.780 --> 00:01:38.320]  要受訓的 不是來神學院
[00:01:38.320 --> 00:01:43.020]  你叫牠heal 跟著你走
[00:01:43.020 --> 00:01:45.960]  sit 坐下
[00:01:45.960 --> 00:01:50.960]  stay 不要動 馬路之前很重要的
[00:01:50.960 --> 00:01:52.500]  我有個牧師朋友
[00:01:52.500 --> 00:01:55.200]  他的小狗還會聽兩個命令
[00:01:55.200 --> 00:01:59.940]  放一塊餅在牠面前 pray
[00:01:59.940 --> 00:02:03.640]  amen 這樣會嗎
[00:02:03.640 --> 00:02:07.720]  所以不是林牧師
[00:02:07.720 --> 00:02:11.760]  但你永遠不會拿一支筆
[00:02:11.760 --> 00:02:13.760]  拿一張紙
[00:02:13.760 --> 00:02:17.820]  叫小狗write sign
[00:02:17.820 --> 00:02:19.560]  是不可以的
[00:02:19.560 --> 00:02:23.040]  命令是牠懂得做的
[00:02:23.040 --> 00:02:25.000]  不是牠不懂得做的
[00:02:25.000 --> 00:02:28.000]  那何時需要命令
[00:02:28.000 --> 00:02:30.740]  就是你不做的時候
[00:02:30.740 --> 00:02:31.900]  對不對
[00:02:31.900 --> 00:02:33.580]  就是你不肯做的時候
[00:02:33.580 --> 00:02:35.880]  你懂得做的 你知道要做的
[00:02:35.880 --> 00:02:37.640]  你不肯做的時候
[00:02:37.640 --> 00:02:41.840]  紀律部隊你都看電視的
[00:02:41.840 --> 00:02:46.020]  講到最後上司一句
[00:02:46.020 --> 00:02:49.820]  還要是殖民地英文
[00:02:49.820 --> 00:02:52.020]  This is an order
[00:02:52.020 --> 00:02:53.920]  那你怎樣回答
[00:02:53.920 --> 00:02:55.300]  Yes sir
[00:02:55.300 --> 00:02:56.800]  不是了 現在男女平等了
[00:02:56.800 --> 00:02:58.200]  Yes ma'am
[00:02:58.200 --> 00:03:01.200]  沒有那個d音的
[00:03:01.200 --> 00:03:05.240]  你不可以回答Yes but
[00:03:05.240 --> 00:03:07.640]  不可以爭辯的
[00:03:07.640 --> 00:03:09.300]  不可以爭辯的
[00:03:09.300 --> 00:03:09.880]  是不是
[00:03:09.880 --> 00:03:11.680]  這個是命令
[00:03:11.680 --> 00:03:14.740]  你唯一的答法現在
[00:03:14.740 --> 00:03:16.480]  一國一制了
[00:03:16.480 --> 00:03:18.080]  遵命
[00:03:18.080 --> 00:03:20.660]  不要回答Yes sir
[00:03:20.660 --> 00:03:22.620]  Yes lord
[00:03:22.620 --> 00:03:26.900]  主耶穌吩咐彼此相愛
[00:03:26.900 --> 00:03:29.800]  是一件我們懂得做的
[00:03:29.800 --> 00:03:33.260]  不過我們不想做的時候
[00:03:33.260 --> 00:03:39.500]  主耶穌沒有跟我們討價還價的
[00:03:39.500 --> 00:03:40.640]  合而為一
[00:03:40.640 --> 00:03:42.080]  他為門徒祈禱
[00:03:42.080 --> 00:03:44.680]  約翰福音17章
[00:03:44.680 --> 00:03:47.380]  彼此相愛
[00:03:47.380 --> 00:03:48.680]  不用祈禱的
[00:03:48.680 --> 00:03:51.080]  我要這樣講你才明白分別
[00:03:51.080 --> 00:03:52.920]  讓我先祈禱一下
[00:03:52.920 --> 00:03:53.660]  不用的
[00:03:53.660 --> 00:03:57.020]  命令你就要聽的了
[00:03:57.020 --> 00:03:59.220]  所以彼此相愛
[00:03:59.220 --> 00:04:01.820]  不是一個代討事項
[00:04:01.820 --> 00:04:07.040]  團契小組撕裂了這樣講
[00:04:07.040 --> 00:04:09.840]  大家吵架了這樣
[00:04:09.840 --> 00:04:11.040]  不用祈禱的
[00:04:11.040 --> 00:04:13.100]  彼此相愛
[00:04:13.100 --> 00:04:15.100]  This is an order
[00:04:15.100 --> 00:04:17.340]  你怎樣回應
[00:04:17.340 --> 00:04:19.140]  遵命
[00:04:19.140 --> 00:04:22.580]  這個是要澄清的第一件事
[00:04:22.580 --> 00:04:29.680]  耶穌這次不是溫馨提示我們彼此相愛
[00:04:29.680 --> 00:04:33.220]  耶穌是命令我們
[00:04:33.220 --> 00:04:36.460]  作為他的門徒彼此相愛
[00:04:36.460 --> 00:04:38.660]  第二
[00:04:38.660 --> 00:04:40.840]  剛才耶穌講這句說話
[00:04:40.840 --> 00:04:41.800]  要不要再讀多一次
[00:04:41.800 --> 00:04:43.540]  我賜給你們一條新命令
[00:04:43.540 --> 00:04:45.140]  乃是叫你們彼此相愛
[00:04:45.140 --> 00:04:46.140]  識了
[00:04:46.140 --> 00:04:48.980]  請問哪個字最重要
[00:04:48.980 --> 00:04:50.000]  你又是不想的
[00:04:50.000 --> 00:04:50.800]  愛
[00:04:50.800 --> 00:04:51.800]  不是
[00:04:51.800 --> 00:04:52.540]  你再聽一次
[00:04:52.540 --> 00:04:56.720]  我又賜給你們一條新命令
[00:04:56.720 --> 00:05:00.580]  新命令
[00:05:00.580 --> 00:05:02.480]  聖經有新約
[00:05:02.480 --> 00:05:04.320]  因為它有舊約
[00:05:04.320 --> 00:05:05.860]  你過新年
[00:05:05.860 --> 00:05:07.320]  因為有舊年
