
[00:00:00.000 --> 00:00:01.480]  好,鄧小平講
[00:00:01.480 --> 00:00:06.320]  今日嘅經文都有少少
[00:00:06.320 --> 00:00:10.640]  跳躍吓,即係飛嚟飛去咁樣
[00:00:10.640 --> 00:00:13.200]  係喇,咁喺當中即係讓我哋
[00:00:13.200 --> 00:00:16.000]  嚟到去重複經文裏面,俾我哋對
[00:00:16.000 --> 00:00:18.140]  崇拜或者敬拜
[00:00:18.140 --> 00:00:20.580]  喺當中俾我哋有一次
[00:00:20.580 --> 00:00:22.600]  即係重新再思考嘅時間
[00:00:22.600 --> 00:00:26.920]  即係唔話香港教會淨係面對好多嘅考驗
[00:00:27.360 --> 00:00:30.680]  不過我相信其中一個嘅挑戰就係
[00:00:30.680 --> 00:00:33.700]  即係教會裏面敬拜嘅即時
[00:00:33.700 --> 00:00:37.680]  咁由即係早期教會建立嘅時候
[00:00:37.680 --> 00:00:40.800]  咁喺當中即係我哋好嚮往
[00:00:40.800 --> 00:00:43.440]  好盼望、憧憬嘅時候
[00:00:43.440 --> 00:00:46.200]  早期教會即係所建立嘅
[00:00:46.200 --> 00:00:49.380]  早期嘅教會生活,佢哋嘅
[00:00:49.380 --> 00:00:52.160]  敬拜真係係最完美
[00:00:52.160 --> 00:00:54.920]  最美好㗎喇,即係一個最理想嘅
[00:00:54.920 --> 00:00:57.920]  一個嘅狀態,咁所以有好多教會都想
[00:00:57.920 --> 00:01:00.840]  即係恢復返即係早期教會嘅
[00:01:00.840 --> 00:01:02.520]  情況呀,我哋喺當中
[00:01:02.520 --> 00:01:05.240]  即係嚟到去,係當中俾我哋
[00:01:05.240 --> 00:01:08.220]  即係有一齊,即係嚟到去學習,有
[00:01:08.220 --> 00:01:09.600]  即係跟從嘅時間
[00:01:09.600 --> 00:01:12.920]  亦都喺呢個過程嘅裏面
[00:01:12.920 --> 00:01:15.920]  即係去到我哋現代嘅教會生活
[00:01:15.920 --> 00:01:18.720]  亦都開始,即係久唔久亦都會
[00:01:18.720 --> 00:01:22.120]  聽到頂尖會對敬拜
[00:01:22.120 --> 00:01:25.340]  即係有好多嘅反思,其中一啲
[00:01:25.340 --> 00:01:27.920]  比較常見嘅
[00:01:27.920 --> 00:01:29.940]  即係提出嘅問題就係
[00:01:29.940 --> 00:01:33.200]  有人會問傳道目者,就係話喂!林傳道
[00:01:33.200 --> 00:01:36.400]  點解每個星期日都要返教會敬拜神呀?
[00:01:36.400 --> 00:01:40.200]  係咪呀?即係我哋成日都會諗㗎啦
[00:01:40.200 --> 00:01:43.200]  你唔問出嚟可能都會諗
[00:01:43.200 --> 00:01:45.920]  點解唔安坐
[00:01:45.920 --> 00:01:48.940]  喺家中我哋自行崇拜呢?
[00:01:48.940 --> 00:01:52.020]  依家真係好方便,每個禮拜日早上
[00:01:52.020 --> 00:01:54.120]  亦都即係有
[00:01:54.120 --> 00:01:57.160]  即係可以喺電視裏面即係直播
[00:01:57.160 --> 00:01:59.620]  一啲嘅敬拜嘅時段
[00:01:59.620 --> 00:02:02.960]  可能喺屋企裏面即係你可以
[00:02:02.960 --> 00:02:05.960]  自製一個即係敬拜嘅時段
[00:02:05.960 --> 00:02:08.940]  同埋空間自己放一隻
[00:02:08.940 --> 00:02:11.960]  即係好好聽嘅敬拜音樂嘅CD
[00:02:11.960 --> 00:02:13.960]  然之後
[00:02:13.960 --> 00:02:17.360]  可能你開著個電視聽到或者係
