
[00:00:00.000 --> 00:00:03.880]  我們今年講道的方向或牧養方向有四個方面
[00:00:03.880 --> 00:00:06.360]  第一個叫做漢得見的愛
[00:00:06.360 --> 00:00:08.800]  我不知道你一見到這個題目的時候
[00:00:08.800 --> 00:00:10.320]  你想起哪一節的經文
[00:00:10.320 --> 00:00:14.080]  我很快彈出來的經文就是這一節的金句
[00:00:14.080 --> 00:00:15.840]  你知不知道什麼叫金句
[00:00:15.840 --> 00:00:19.040]  金句即是你要背的意思
[00:00:19.040 --> 00:00:20.840]  這個是我的解釋
[00:00:20.840 --> 00:00:22.040]  我鼓勵你
[00:00:22.040 --> 00:00:23.440]  這些神的話語很重要
[00:00:23.440 --> 00:00:25.680]  背得多你一定有很多祝福
[00:00:25.680 --> 00:00:28.920]  這個金句是出自約翰一書三章十八節
[00:00:28.920 --> 00:00:30.280]  讓我們一起讀一次
[00:00:30.280 --> 00:00:31.320]  預備起
[00:00:31.320 --> 00:00:34.040]  小子們我們相愛
[00:00:34.040 --> 00:00:36.960]  不要只在言語和舌頭上
[00:00:36.960 --> 00:00:39.880]  總要在行為和誠實上
[00:00:39.880 --> 00:00:41.160]  這節經文很簡單
[00:00:41.160 --> 00:00:44.200]  它就講道我們相愛的時候不要只講字
[00:00:44.200 --> 00:00:46.920]  而且要有行動
[00:00:46.920 --> 00:00:49.480]  當然你見到言語和舌頭
[00:00:49.480 --> 00:00:51.760]  其實就是一種我們稱為從言的方法
[00:00:51.760 --> 00:00:54.400]  就是說我們的言語是來自舌頭
[00:00:54.400 --> 00:00:56.120]  於是行動要怎樣
[00:00:56.120 --> 00:00:58.600]  我們的行動要出自誠實
[00:00:58.600 --> 00:01:01.520]  大概意思是指內心和出自真誠
[00:01:01.520 --> 00:01:02.680]  這個不難明
[00:01:02.680 --> 00:01:06.360]  不過我們看看另一個聖經翻譯本
[00:01:06.360 --> 00:01:07.600]  新漢語譯本
[00:01:07.600 --> 00:01:10.000]  我今天的經文也會用這個譯本去做
[00:01:10.000 --> 00:01:12.120]  它就將誠實這個字
[00:01:12.120 --> 00:01:13.600]  是譯了另一個譯法
[00:01:13.600 --> 00:01:15.480]  就是真理
[00:01:15.480 --> 00:01:18.280]  如果它譯了做真理的時候
[00:01:18.280 --> 00:01:19.600]  用回剛才的理解
[00:01:19.600 --> 00:01:22.440]  就是說言語是來自舌頭的時候
[00:01:22.440 --> 00:01:24.880]  它就講我們相愛的行為
[00:01:24.880 --> 00:01:27.720]  不是純粹講你內心的真實
[00:01:27.720 --> 00:01:30.680]  是講你要按著從神的話語
[00:01:30.680 --> 00:01:33.360]  按著聖經的真理去愛的意思
[00:01:33.360 --> 00:01:35.160]  你可能會問哪一個翻譯才對
[00:01:35.160 --> 00:01:36.080]  其實並不重要
[00:01:36.080 --> 00:01:38.440]  重要是透過多些不同的譯本
[00:01:38.440 --> 00:01:41.240]  我們更加掌握經文要講的內容
[00:01:41.240 --> 00:01:45.080]  令我們豐富或者較為準確些
[00:01:45.080 --> 00:01:47.880]  看到那段經文究竟是講些什麼
[00:01:47.880 --> 00:01:49.320]  無論如何
[00:01:49.320 --> 00:01:51.680]  按著這一節的經文
[00:01:51.680 --> 00:01:54.760]  今天我選了這個段落
[00:01:54.760 --> 00:01:57.280]  就是約翰一書三章十一到十八節
[00:01:57.280 --> 00:01:59.720]  這一節的金句就出於這段段落
[00:01:59.720 --> 00:02:01.120]  然後定了一個講題
[00:02:01.120 --> 00:02:03.120]  叫做《捨命愛弟兄》
[00:02:03.120 --> 00:02:05.280]  當我太太問我
[00:02:05.280 --> 00:02:07.720]  這個禮拜講到的題目是什麼
[00:02:07.720 --> 00:02:08.680]  我就告訴她
[00:02:08.680 --> 00:02:10.120]  《捨命愛弟兄》
[00:02:10.120 --> 00:02:11.720]  她第一個反應是什麼呢
[00:02:11.720 --> 00:02:13.840]  怎麼這麼激動
[00:02:13.840 --> 00:02:15.080]  老實說
[00:02:15.080 --> 00:02:16.360]  我也覺得很激動
[00:02:16.360 --> 00:02:17.640]  並且我定了這個講題之後
[00:02:17.640 --> 00:02:19.880]  我也很後悔
[00:02:19.880 --> 00:02:21.440]  因為其實很難講
[00:02:21.440 --> 00:02:22.320]  一會兒你會知道
[00:02:22.320 --> 00:02:25.520]  其實要講彼此相愛是可以輕鬆很多
[00:02:25.520 --> 00:02:26.520]  不過你要知道
[00:02:26.520 --> 00:02:29.360]  牧者在台上講的不是要講他說的話
[00:02:29.360 --> 00:02:32.080]  牧者在台上講的是要講聖經的教導
[00:02:32.080 --> 00:02:36.960]  是講這個牧者要告訴弟兄姊妹
[00:02:36.960 --> 00:02:38.920]  我們一同領受什麼教訓
[00:02:38.920 --> 00:02:40.440]  所以《捨命愛弟兄》
[00:02:40.440 --> 00:02:41.040]  一會兒你會看到
[00:02:41.040 --> 00:02:42.080]  這個不是我說的
[00:02:42.080 --> 00:02:43.240]  是聖經教導
[00:02:43.240 --> 00:02:46.440]  雖然是一個聽起來不容易的標準
[00:02:46.440 --> 00:02:48.920]  或者我們覺得一想起來做也很難
[00:02:48.920 --> 00:02:50.400]  不過既然聖經這樣講
[00:02:50.400 --> 00:02:52.840]  我們就一同去考察
[00:02:52.840 --> 00:02:53.840]  去默想
[00:02:53.840 --> 00:02:54.360]  去思考
[00:02:54.360 --> 00:02:55.480]  去研究
[00:02:56.560 --> 00:03:00.200]  我們首先一同去讀一讀這段經文
[00:03:00.200 --> 00:03:02.160]  一書三章十一到十八節
[00:03:02.160 --> 00:03:03.800]  我們用體認的方式讀
