
[00:00:00.000 --> 00:00:04.280]  (國語)大家好
[00:00:04.280 --> 00:00:11.120]  (英語)很開心今天能夠來跟大家一起分享訊息
[00:00:11.120 --> 00:00:14.440]  (英語)我們一起祈禱
[00:00:14.440 --> 00:00:22.000]  (英語)祈禱天父感謝祢藉著祢的話語向我們說話
[00:00:22.000 --> 00:00:28.600]  (英語)幫助我們聆聽和有正確的回應
[00:00:28.600 --> 00:00:30.600]  (英語)在耶穌名下
[00:00:30.600 --> 00:00:32.600]  (國語)阿們
[00:00:32.600 --> 00:00:39.600]  (英語)你們愛錢有多少呢?
[00:00:39.600 --> 00:00:46.600]  (英語)你們又喜不喜歡奉獻呢?
[00:00:46.600 --> 00:00:54.600]  (英語)你們愛錢有多少?你們喜不喜歡奉獻呢?
[00:00:54.600 --> 00:01:03.600]  (英語)澳大利亞大約有二千四百萬人口
[00:01:03.600 --> 00:01:22.600]  (英語)平均來說,每一個家庭的資產有七十二萬
[00:01:22.600 --> 00:01:34.600]  (英語)有百分之十的家庭資產有一百六十萬以上
[00:01:34.600 --> 00:01:43.600]  (英語)澳洲人平均來說是非常富有
[00:01:43.600 --> 00:02:02.600]  (英語)我們當中有些人是更加非常富有
[00:02:02.600 --> 00:02:15.600]  (英語)但在二零一一年,有一個調查發現,悉尼聖公會平均的人每人每週是奉獻二十六元三毫三
[00:02:15.600 --> 00:02:29.600]  (英語)比例來說,是佔了我們平均每一個星期可以花費的錢的二點六個百分比
[00:02:29.600 --> 00:02:39.600]  (英語)為什麼我們奉獻的數量這麼少呢?
[00:02:39.600 --> 00:02:47.600]  (英語)很簡單的原因就是我們太愛錢了
[00:02:47.600 --> 00:02:54.600]  (英語)今天我想和大家從聖經裏面看看,聖經講到有關錢的三個方面
[00:02:54.600 --> 00:03:06.600]  (英語)首先就是我們愛錢的話,是會妨礙我們和上帝的關係
[00:03:06.600 --> 00:03:14.600]  (英語)第二點就是上帝其實是要我們的心,不是要我們的錢
[00:03:14.600 --> 00:03:22.600]  (英語)第三點就是錢是不能夠使任何事發生的
[00:03:22.600 --> 00:03:31.600]  (英語)讓我們先看第一點,就是錢是會妨礙我們和上帝的關係
[00:03:31.600 --> 00:03:40.600]  (英語)我們再看一次聖經提摩大前書六章六至十節
[00:03:40.600 --> 00:03:47.600]  (英語)一個人若知足,宗教的確可以使他富有,我們到這世界沒有帶來什麼
[00:03:47.600 --> 00:03:54.600]  (英語)我們又能從這世界帶走什麼呢?如果我們有得吃有得穿就該知足
[00:03:54.600 --> 00:04:03.600]  (英語)那些想發財的人是掉在誘惑裏,被許多無知和有害的慾望抓住
[00:04:03.600 --> 00:04:09.600]  (英語)終於沉沒毀滅了,貪財是萬惡的根源
[00:04:09.600 --> 00:04:16.600]  (英語)有些人因貪慕錢財而背離了信仰,飽嘗痛苦,心靈破碎
[00:04:16.600 --> 00:04:24.600]  (英語)保羅說,我們要以自己所擁有的為滿足
[00:04:24.600 --> 00:04:30.600]  (英語)我們沒有人能夠帶走什麼
[00:04:30.600 --> 00:04:41.600]  (英語)如果你真的愛錢太甚的時候,你真的會毀滅了你自己
[00:04:41.600 --> 00:04:49.600]  (英語)因為錢是會妨礙我們去愛耶穌的
[00:04:49.600 --> 00:04:54.600]  (英語)錢是可以成為一個陷阱
[00:04:54.600 --> 00:05:02.600]  (英語)我們愛錢越多,我們就會愛耶穌越少
[00:05:02.600 --> 00:05:09.600]  (英語)所以第二點就是說,上帝其實是要我們的心
[00:05:09.600 --> 00:05:12.600]  (英語)不是我們的錢
[00:05:12.600 --> 00:05:25.600]  (英語)在提摩太前書第六章裏面,保羅是告訴提摩太
[00:05:25.600 --> 00:05:30.600]  (英語)要將一些命令,一些吩咐要傳下去
[00:05:30.600 --> 00:05:36.600]  (英語)保羅其實很少這樣做的
[00:05:36.600 --> 00:05:41.600]  (英語)如果他這樣做,要將命令傳下去,那一定是很重要的命令
