
[00:00:00.000 --> 00:00:06.000]  我們仍然是在一個講道的系列裡講生命記
[00:00:06.000 --> 00:00:10.900]  生命記其實是教我們怎樣去知道神的心意
[00:00:10.900 --> 00:00:12.700]  神的誡命
[00:00:12.700 --> 00:00:15.200]  然後我們要怎樣去遵從
[00:00:15.200 --> 00:00:18.000]  這個就是我們要學做門徒
[00:00:18.000 --> 00:00:22.100]  一個很重要的一個步驟
[00:00:22.100 --> 00:00:24.400]  知道神的心意
[00:00:24.400 --> 00:00:26.200]  聽,靜心聽
[00:00:26.200 --> 00:00:29.100]  放下自己去聽
[00:00:29.100 --> 00:00:31.100]  然後知道神的心意的時候
[00:00:31.100 --> 00:00:33.700]  我們就會行
[00:00:33.700 --> 00:00:34.600]  講得很簡單
[00:00:34.600 --> 00:00:37.300]  但做得上來其實都不容易
[00:00:37.300 --> 00:00:39.900]  尤其是當我們在現今這個時代裡面
[00:00:39.900 --> 00:00:43.500]  面對很多困難
[00:00:43.500 --> 00:00:45.200]  當我準備這個講章的時候
[00:00:45.200 --> 00:00:53.000]  我看到以色列人準備去跟阿摩利人打仗的時候
[00:00:53.000 --> 00:00:56.300]  他們面對很大的困難
[00:00:56.300 --> 00:00:58.100]  那我接著想一下
[00:00:58.100 --> 00:01:00.300]  其實在我們現今的世代裡面
[00:01:00.300 --> 00:01:04.200]  有很多困難的事我們正在面對
[00:01:04.200 --> 00:01:09.800]  我們看到自己教會是一路的老齡化
[00:01:09.800 --> 00:01:12.900]  好像很多其他教會一樣
[00:01:12.900 --> 00:01:16.400]  也都好像愛國的教會一樣
[00:01:16.400 --> 00:01:20.000]  我們怎樣去面對這些困難
[00:01:20.000 --> 00:01:25.400]  人才的栽培是我們一路可能做得欠缺的
[00:01:25.400 --> 00:01:31.200]  我們接棒的問題都是我們不知道怎樣去解決的問題
[00:01:31.200 --> 00:01:35.100]  都是要求神加智慧
[00:01:35.100 --> 00:01:38.700]  年輕人的牧養是不容易
[00:01:38.700 --> 00:01:43.400]  他們向上的階梯是越來越困難
[00:01:43.400 --> 00:01:45.700]  我們怎樣去牧養他們
[00:01:45.700 --> 00:01:49.900]  這個是我們牧養裡面的一個困難
[00:01:49.900 --> 00:01:56.400]  但是我們要克服 因為這班是神所愛的一班人
