
[00:00:00.000 --> 00:00:05.600]  我想幾年前 或是十年八年之前
[00:00:05.600 --> 00:00:10.680]  霍醫生找我翻譯了一本書
[00:00:10.680 --> 00:00:17.200]  是龍牧師的書 叫做《當神不解釋為甚麼》
[00:00:17.200 --> 00:00:23.640]  後面有一位大耳機 叫他坐前一點 要不然他聽不到
[00:00:23.640 --> 00:00:26.640]  前他坐左前面那一點
[00:00:26.640 --> 00:00:29.440]  大耳機就前左前面那一點
[00:00:29.440 --> 00:00:32.440]  就是後面聽不到
[00:00:32.440 --> 00:00:38.360]  霍醫生找我翻譯了龍牧師的書
[00:00:38.360 --> 00:00:41.640]  Reverend Long的《小冊子》其中一本的題目是
[00:00:41.640 --> 00:00:43.640]  《當神不解釋為甚麼》
[00:00:43.640 --> 00:00:48.240]  已經放在教會網頁的專題文章裏面
[00:00:48.240 --> 00:00:51.240]  如果你是不方便看電腦上網的
[00:00:51.240 --> 00:00:54.240]  我還有幾本 所如無多的
[00:00:54.240 --> 00:00:56.240]  你散會後可以跟我拿
[00:00:56.240 --> 00:01:01.240]  這本書裏面有一段講到
[00:01:01.240 --> 00:01:06.240]  在世上我們會遇到千變萬化的考驗
[00:01:06.240 --> 00:01:08.240]  舉個例子來說
[00:01:08.240 --> 00:01:10.240]  一位做丈夫的被解僱
[00:01:10.240 --> 00:01:15.240]  而未能馬上找到另一份工作
[00:01:15.240 --> 00:01:19.240]  一位年輕的母親突然患上癌症
[00:01:19.240 --> 00:01:22.240]  要接受長時期損害健康的治療
[00:01:22.240 --> 00:01:25.240]  一對夫婦經過多年的努力
[00:01:25.240 --> 00:01:30.240]  終於獲得他們盼望了很久的嬰兒
[00:01:30.240 --> 00:01:35.240]  但是那個嬰兒卻患上了唐氏綜合症
[00:01:35.240 --> 00:01:37.240]  Down syndrome
[00:01:37.240 --> 00:01:41.240]  一個配偶離開了他
[00:01:41.240 --> 00:01:45.240]  曾經發誓永遠相廝守的另一半
[00:01:45.240 --> 00:01:48.240]  一位寡婦被她的家人遺棄
[00:01:48.240 --> 00:01:52.240]  一次的車禍將那位前途光明的年輕人
[00:01:52.240 --> 00:01:54.240]  搞得四肢殘廢
[00:01:54.240 --> 00:01:56.240]  一對虔誠的父母
[00:01:56.240 --> 00:02:00.240]  不斷地為他們吸毒的女兒祈禱
[00:02:00.240 --> 00:02:04.240]  但是她卻拒絕戒毒
[00:02:04.240 --> 00:02:07.240]  拒絕認識基督
[00:02:07.240 --> 00:02:10.240]  作為一個耶穌基督的信徒
[00:02:10.240 --> 00:02:12.240]  其實一個更大的考驗
[00:02:12.240 --> 00:02:16.240]  就是美夢英韻的祈禱
[00:02:16.240 --> 00:02:19.240]  或者神對我們重複的祈求
[00:02:19.240 --> 00:02:23.240]  說「不,不行」
[00:02:23.240 --> 00:02:27.240]  我們可以很容易跟神說
[00:02:27.240 --> 00:02:29.240]  神有祂的理由
[00:02:29.240 --> 00:02:32.240]  我們甚至可以跟上帝辯護
[00:02:32.240 --> 00:02:35.240]  或者說神未曾應允
[00:02:35.240 --> 00:02:37.240]  是因為時候未到
[00:02:37.240 --> 00:02:41.240]  或者神對我們有更好的計劃
[00:02:41.240 --> 00:02:46.240]  或者說我們的祈禱是不符合祂的旨意
[00:02:46.240 --> 00:02:51.240]  但是假如我們有人遇到這樣的考驗的時候
[00:02:51.240 --> 00:02:57.240]  這些理由大概都是不容易被接納的
[00:02:57.240 --> 00:03:00.240]  據我所知
[00:03:00.240 --> 00:03:03.240]  我們的會友中還沒有人遇到這些問題
[00:03:03.240 --> 00:03:09.240]  因此我想跟大家從整本聖經
[00:03:09.240 --> 00:03:15.240]  去思想一下人生所遇見苦難的問題
[00:03:15.240 --> 00:03:24.240]  希望大家在未有事的時候有思想準備和理性的認識
[00:03:24.240 --> 00:03:29.240]  萬一遇到苦難考驗的時候
[00:03:29.240 --> 00:03:32.240]  就好像打了防疫針一樣
[00:03:32.240 --> 00:03:36.240]  不至於過份痛苦而埋怨上帝
[00:03:36.240 --> 00:03:40.240]  由於我們剛剛看完了《約白記》
[00:03:40.240 --> 00:03:43.240]  讓我簡單的跟大家重溫一下
[00:03:43.240 --> 00:03:48.240]  《約白記》提出幾點有關苦難
[00:03:48.240 --> 00:03:50.240]  給我們的啟示
[00:03:50.240 --> 00:03:52.240]  第一點
[00:03:52.240 --> 00:03:57.240]  苦難是有上帝的准許才會發生的
[00:03:57.240 --> 00:04:00.240]  第二點
[00:04:00.240 --> 00:04:07.240]  苦難不一定是受苦者犯罪的後果
[00:04:07.240 --> 00:04:09.240]  但是有可能是的
[00:04:10.240 --> 00:04:17.240]  第三點就是上帝一般都不會向受苦者解釋
[00:04:17.240 --> 00:04:20.240]  為什麼苦難會發生
[00:04:20.240 --> 00:04:24.240]  但是在《約白記》第一到第二章的啟示
[00:04:24.240 --> 00:04:26.240]  就是讓我們看到
[00:04:26.240 --> 00:04:31.240]  撒旦要試驗約白的信心
[00:04:31.240 --> 00:04:39.240]  而上帝就是藉著撒旦來磨練約白的品格
[00:04:39.240 --> 00:04:42.240]  我希望大家記得
