
[00:00:00.000 --> 00:00:02.800]  這幾天 應該講不是這幾天了
[00:00:02.800 --> 00:00:06.680]  已經十幾天了 已經十天了以上
[00:00:06.680 --> 00:00:09.640]  我想這過去的這十天
[00:00:09.640 --> 00:00:13.720]  俄羅斯打烏克蘭
[00:00:13.720 --> 00:00:16.040]  引起了全世界的
[00:00:16.040 --> 00:00:19.000]  可以說我們的注意力都在這裏
[00:00:19.000 --> 00:00:21.840]  那麼也有一些問題就產生了
[00:00:21.840 --> 00:00:25.320]  有一些弟兄姊妹們就在問這個問題了
[00:00:25.320 --> 00:00:30.400]  會不會 甚至一些的媒體也會在談這個問題
[00:00:30.400 --> 00:00:33.240]  俄羅斯跟烏克蘭的這個戰爭
[00:00:33.240 --> 00:00:40.200]  會不會發生第三次世界大戰呢
[00:00:40.200 --> 00:00:43.640]  如果發生了第三次世界大戰
[00:00:43.640 --> 00:00:47.880]  是不是就是所謂的世界末日就來了呢
[00:00:47.880 --> 00:00:54.480]  當然你可以聽一大堆的這些什麼政論家在那邊分析來分析去
[00:00:54.480 --> 00:00:56.600]  那弟兄姊妹
[00:00:56.600 --> 00:00:59.000]  我今天要讓大家再一次來看
[00:00:59.000 --> 00:01:02.920]  從聖經的角度我們怎麼來看這個問題
[00:01:02.920 --> 00:01:04.520]  聖經裏面告訴我們
[00:01:04.520 --> 00:01:06.840]  上個禮拜我有提到
[00:01:06.840 --> 00:01:09.680]  那麼不僅僅是在馬太福音24章
[00:01:09.680 --> 00:01:12.640]  在路加福音21章9到11節
[00:01:12.640 --> 00:01:15.080]  也同樣的有提到
[00:01:15.080 --> 00:01:21.040]  有關耶穌基督再來之前的這些的徵兆
[00:01:21.040 --> 00:01:23.800]  所以我們來看看
[00:01:23.800 --> 00:01:26.680]  主耶穌再來的徵兆
[00:01:26.680 --> 00:01:31.520]  在這個馬太福音24章跟這個路加福音21章裏面
[00:01:31.520 --> 00:01:33.200]  都有共同的提到一個
[00:01:33.200 --> 00:01:34.200]  就是什麼
[00:01:34.200 --> 00:01:37.640]  你們聽見主耶穌說你們聽見打仗
[00:01:37.640 --> 00:01:41.000]  和擾亂的事不要驚慌
[00:01:41.000 --> 00:01:43.040]  然後接着耶穌又對他們說
[00:01:43.040 --> 00:01:45.400]  民要攻打民
[00:01:45.400 --> 00:01:48.600]  國要攻打國
[00:01:48.600 --> 00:01:49.960]  那弟兄姊妹你可以看見
[00:01:49.960 --> 00:01:51.320]  打仗這件事情
[00:01:51.320 --> 00:01:52.840]  戰爭這件事情
[00:01:52.840 --> 00:01:54.440]  是聖經裏面告訴我們說
[00:01:54.440 --> 00:01:57.880]  耶穌要再來之前必然會有的事情
[00:01:57.880 --> 00:01:59.440]  這是一個徵兆
[00:01:59.440 --> 00:02:03.800]  所以當你看見俄羅斯跟烏克蘭的戰爭的時候
[00:02:03.800 --> 00:02:06.360]  你看見一件事情這是一個徵兆
[00:02:06.360 --> 00:02:07.480]  當然你說牧師啊
[00:02:07.480 --> 00:02:09.000]  戰爭不是隻有那邊戰爭
[00:02:09.000 --> 00:02:13.320]  但是這一次的戰爭爲什麼引起全世界一些的人的關心呢
[00:02:13.320 --> 00:02:15.760]  因爲
[00:02:15.760 --> 00:02:17.880]  以前的戰爭啊
[00:02:17.880 --> 00:02:19.640]  前面什麼緬甸啊
[00:02:19.640 --> 00:02:22.480]  反正就是他自己家裏面打來打去嘛對不對
[00:02:22.480 --> 00:02:24.200]  就是他內部的對不對
[00:02:24.200 --> 00:02:26.440]  他不會影響到其他州間的
[00:02:26.440 --> 00:02:27.520]  但是這個是什麼
[00:02:27.520 --> 00:02:29.800]  是俄羅斯打烏克蘭
[00:02:29.800 --> 00:02:31.000]  那麼烏克蘭
[00:02:31.000 --> 00:02:34.120]  你再看看下面接下來是什麼
[00:02:34.120 --> 00:02:36.520]  烏克蘭的旁邊是什麼
[00:02:36.520 --> 00:02:38.800]  烏克蘭旁邊是波蘭
[00:02:38.800 --> 00:02:39.680]  還有呢
[00:02:39.680 --> 00:02:41.320]  羅馬尼亞
[00:02:41.320 --> 00:02:42.720]  什麼立陶宛
[00:02:42.720 --> 00:02:47.400]  什麼波斯米亞
[00:02:47.400 --> 00:02:52.440]  那都是這個前蘇聯的這些的共和國
[00:02:52.440 --> 00:02:53.760]  換句話說
[00:02:53.760 --> 00:02:56.960]  俄羅斯的意圖不是隻是烏克蘭啊
[00:02:56.960 --> 00:02:58.080]  你懂這意思嗎
[00:02:58.080 --> 00:02:58.440]  好了
[00:02:58.440 --> 00:02:59.720]  那丁子妹
[00:02:59.720 --> 00:03:02.040]  所以這個戰爭
[00:03:02.040 --> 00:03:05.400]  那麼跟末日有什麼關係呢
[00:03:05.400 --> 00:03:08.520]  所以就有一些的
[00:03:08.520 --> 00:03:13.000]  這個從聖經的角度來探討到
[00:03:13.000 --> 00:03:14.480]  特別跟我們今天講到
[00:03:14.480 --> 00:03:17.000]  啓示錄也有關係
[00:03:17.000 --> 00:03:17.800]  有人就在說
[00:03:17.800 --> 00:03:20.280]  這個是不是就是啓示錄所說的
[00:03:20.280 --> 00:03:25.160]  哈米吉多頓大戰呢
[00:03:25.160 --> 00:03:27.080]  記得我們曾經在講啓示錄的時候
[00:03:27.080 --> 00:03:28.600]  我們講過哈米吉多頓大戰
[00:03:28.600 --> 00:03:31.520]  對不對
