
[00:00:00.000 --> 00:00:03.360]  剛才是紀貞傳跟我們讀這段經文
[00:00:03.360 --> 00:00:07.800]  《羅馬書》第八章十二至十七節
[00:00:07.800 --> 00:00:13.700]  《羅馬書》是一卷好像不是很容易明白的書
[00:00:13.700 --> 00:00:17.500]  但是裡面也有很多的金句
[00:00:17.500 --> 00:00:18.300]  很多的金句
[00:00:18.300 --> 00:00:20.100]  有時候我們對於《羅馬書》是
[00:00:20.100 --> 00:00:22.200]  這裡有一句金句,那裡也有一句金句
[00:00:22.200 --> 00:00:26.200]  其實今天這一段經文裡面也有很多的金句
[00:00:26.200 --> 00:00:33.200]  但是今天雖然是短短的六節經文
[00:00:33.200 --> 00:00:38.500]  其實這裡說了我們《屬靈生命》裡面有很多很重要的
[00:00:38.500 --> 00:00:41.800]  關於聖靈的工作和我們的關係
[00:00:41.800 --> 00:00:44.700]  今晚我嘗試看這段經文的時候
[00:00:44.700 --> 00:00:48.200]  我想跟大家集中看第十四節
[00:00:48.200 --> 00:00:50.200]  十四節
[00:00:50.200 --> 00:00:53.300]  十四節我們一起再讀一次
[00:00:53.300 --> 00:00:56.400]  第十四節我們一起讀新譯本
[00:00:56.400 --> 00:00:59.200]  因為蒙神的靈引導的
[00:00:59.200 --> 00:01:01.600]  都是神的兒子
[00:01:01.600 --> 00:01:03.600]  蒙神的靈引導的
[00:01:03.600 --> 00:01:05.600]  都是神的兒子
[00:01:05.600 --> 00:01:08.000]  或者大家可以看《和合本》
[00:01:08.000 --> 00:01:12.700]  翻譯成凡是被神的靈引導的
[00:01:12.700 --> 00:01:16.200]  都是神的兒子
[00:01:16.200 --> 00:01:17.800]  蒙神或者是被神
[00:01:17.800 --> 00:01:21.900]  但是其實原本的意思是被動式
[00:01:21.900 --> 00:01:25.300]  是被神的靈引導
[00:01:25.300 --> 00:01:29.200]  願意今天這段時間我靠主的恩典和大家分享
[00:01:29.200 --> 00:01:31.200]  在這方面的一個很重要的訊息
[00:01:31.200 --> 00:01:32.100]  我們有個禱告
[00:01:32.100 --> 00:01:37.500]  然後我們繼續聆聽主的話語
[00:01:37.500 --> 00:01:40.900]  天父我們感謝你今晚給我們弟兄姊妹
[00:01:40.900 --> 00:01:42.600]  已經是經過兩個星期
[00:01:42.600 --> 00:01:45.800]  我們在這裡新的地方去敬拜
[00:01:45.800 --> 00:01:48.300]  我們感謝你給我們有
[00:01:48.300 --> 00:01:50.300]  在香港這個地方
[00:01:50.300 --> 00:01:52.600]  真的是穿金尺道的地方
[00:01:52.600 --> 00:01:56.300]  但是我們能夠有一個這麼寬敞的地方
[00:01:56.300 --> 00:01:57.100]  我們一起敬拜你
[00:01:57.100 --> 00:01:58.900]  我們獻上感恩
[00:01:58.900 --> 00:02:00.500]  我們願意在這裡的敬拜
[00:02:00.500 --> 00:02:01.900]  得蒙你的月立
[00:02:01.900 --> 00:02:03.100]  今晚弟兄姊妹
