
[00:00:00.000 --> 00:00:03.300]  今次我們有一連四講
[00:00:03.300 --> 00:00:04.900]  是有關八福
[00:00:04.900 --> 00:00:07.400]  特別在職場方面應用
[00:00:07.400 --> 00:00:12.000]  八福來自馬太福音的登山寶訓
[00:00:12.000 --> 00:00:14.200]  登山寶訓來自聖經
[00:00:14.200 --> 00:00:17.800]  如果你說我沒有信仰
[00:00:17.800 --> 00:00:21.600]  其實現在的人都很強調讀經典
[00:00:21.600 --> 00:00:27.400]  經典對我們內心世界會有一個改變
[00:00:27.400 --> 00:00:30.300]  經典能夠給我們有啟發
[00:00:30.300 --> 00:00:32.800]  能夠給我們一些處事
[00:00:32.800 --> 00:00:35.300]  待人接物的原則
[00:00:35.300 --> 00:00:40.300]  經典的意思就是說放諸四海而準
[00:00:40.300 --> 00:00:44.000]  經典它能夠承載著一個道理
[00:00:44.000 --> 00:00:47.800]  而這些道理我們不可以片刻離開
[00:00:47.800 --> 00:00:49.800]  無論哪一個宗教經典
[00:00:49.800 --> 00:00:52.700]  甚至有些文學巨著
[00:00:52.700 --> 00:00:55.000]  它提升到經典地位
[00:00:55.000 --> 00:00:57.800]  就是說它的文學作品裏面
[00:00:57.800 --> 00:00:59.800]  是有一些哲理
[00:00:59.800 --> 00:01:02.800]  這些哲理我們做人方面
[00:01:02.800 --> 00:01:05.400]  是能夠獲得益處
[00:01:05.400 --> 00:01:08.900]  何況聖經都是神的默示
[00:01:08.900 --> 00:01:12.700]  它能夠將做物主對我們每一個人
[00:01:12.700 --> 00:01:15.200]  以及在不同場景裏面
[00:01:15.200 --> 00:01:17.200]  要處理的事情
[00:01:17.200 --> 00:01:19.200]  給我們有啟迪
[00:01:19.200 --> 00:01:21.200]  八福是什麼呢?
[00:01:21.200 --> 00:01:24.800]  我上一次給了大家一個道論
[00:01:24.800 --> 00:01:28.400]  八福是哪一個是八福呢?
[00:01:28.400 --> 00:01:31.000]  究竟開頭那樣東西是八福
[00:01:31.000 --> 00:01:33.800]  還是說它帶來的結果
[00:01:33.800 --> 00:01:36.400]  達到的目標是八福呢?
[00:01:36.400 --> 00:01:38.200]  其實兩者都是
[00:01:38.200 --> 00:01:43.200]  前面由虛心到今天三樣
[00:01:43.200 --> 00:01:45.200]  到下個禮拜三樣
[00:01:45.200 --> 00:01:46.700]  第四講的一樣
[00:01:46.700 --> 00:01:49.400]  那八樣東西其實就是說
[00:01:49.400 --> 00:01:52.200]  一個人生命裏面所需要的
[00:01:52.200 --> 00:01:54.200]  八種的特質
[00:01:54.200 --> 00:01:57.200]  以及生命裏面的場景
[00:01:57.200 --> 00:02:02.200]  如果你以這個場景作為一個起步點
[00:02:02.200 --> 00:02:04.600]  經過信仰的轉化
[00:02:04.600 --> 00:02:07.600]  能夠叫你承受地圖
[00:02:07.600 --> 00:02:10.400]  能夠獲得神的國度
[00:02:10.400 --> 00:02:12.200]  能夠稱為神的兒子
[00:02:12.200 --> 00:02:13.400]  能夠得到滿足
[00:02:13.400 --> 00:02:15.200]  得到安慰這些東西
[00:02:15.200 --> 00:02:17.200]  後面這些東西固然是福
[00:02:17.200 --> 00:02:19.400]  但是要達到這些東西
[00:02:19.400 --> 00:02:21.400]  很多時候的起步點
[00:02:21.400 --> 00:02:24.200]  就是前面那八樣
[00:02:24.200 --> 00:02:26.400]  我們比較少著重
[00:02:26.400 --> 00:02:28.400]  但是溫柔的人
[00:02:28.400 --> 00:02:31.400]  不一定是承受地圖的
[00:02:31.400 --> 00:02:33.000]  我們上一次講就是
[00:02:33.000 --> 00:02:35.400]  溫柔的人怎樣能夠承受地圖
[00:02:35.400 --> 00:02:38.400]  虛心的人是怎樣
[00:02:38.400 --> 00:02:41.000]  能夠去到他後面的福呢?
[00:02:41.000 --> 00:02:44.000]  是必須要有一種信仰的轉化
