
[00:00:00.000 --> 00:00:02.640]  好 大家姐妹平安
[00:00:02.640 --> 00:00:06.780]  今日呢 敬拜裏面主同我哋
[00:00:06.780 --> 00:00:09.840]  用咗其中一幅圖畫
[00:00:09.840 --> 00:00:12.800]  主用之 無論係詩歌
[00:00:12.800 --> 00:00:15.580]  同埋無論係訊息裏面
[00:00:15.580 --> 00:00:18.220]  都用咗一個木人嘅像
[00:00:18.220 --> 00:00:20.680]  呢一個圖像 其中一樣嘢
[00:00:20.680 --> 00:00:23.140]  去同我哋講 同我哋分享
[00:00:23.140 --> 00:00:26.720]  今日同大家分享嘅主題呢 都係同呢個角度
[00:00:26.720 --> 00:00:28.920]  有關嘅
[00:00:29.160 --> 00:00:32.200]  主話叫我哋尋陽
[00:00:32.200 --> 00:00:35.320]  呢一個季度 我哋其中一個主題 尋陽
[00:00:35.320 --> 00:00:37.280]  但如果我哋要尋陽呢
[00:00:37.280 --> 00:00:39.860]  我哋要理解 陽
[00:00:39.860 --> 00:00:41.460]  嘅特性
[00:00:41.460 --> 00:00:46.620]  陽呢 木陽或者係陽呢
[00:00:46.620 --> 00:00:49.640]  係以色列嘅年代 係聖經特別係
[00:00:49.640 --> 00:00:52.040]  無論係舊約同埋新約嘅年代裏面
[00:00:52.040 --> 00:00:54.700]  係佢哋日常生活裏面常常都會碰到嘅嘢
[00:00:54.700 --> 00:00:57.400]  即係佢哋好熟嘅 就好似今日我哋出去
[00:00:57.400 --> 00:01:00.200]  行出加里達巴士就揼地鐵咁樣
[00:01:00.200 --> 00:01:03.220]  即係好熟悉嘅一種嘅生活嘅經驗嚟嘅
[00:01:03.220 --> 00:01:05.620]  不過同我哋而家距離好遠呀
[00:01:05.620 --> 00:01:08.400]  香港你都幾難見到有羊啦
[00:01:08.400 --> 00:01:11.240]  係咪 除非你去動物園
[00:01:11.240 --> 00:01:14.500]  之外 釋羊架有吖嘛
[00:01:14.500 --> 00:01:17.600]  即係你見到真正嘅羊呢 你要同佢
[00:01:17.600 --> 00:01:20.540]  即係相處呢 其實係一件好少嘅
[00:01:20.540 --> 00:01:23.700]  好唔容易嘅事嚟嘅 所以我哋 如果我哋想呢
[00:01:23.700 --> 00:01:26.320]  透過特別羊或者係木羊
[00:01:26.320 --> 00:01:29.400]  或者係羊圈 呢個咁樣嘅圖像呢
[00:01:29.400 --> 00:01:32.400]  我哋去明白耶穌講乜嘢呢
[00:01:32.400 --> 00:01:35.420]  係需要多啲理解同埋啲背景嘅
[00:01:35.420 --> 00:01:38.380]  所以今日同大家睇嘅經文呢就係
[00:01:38.380 --> 00:01:41.400]  約翰福音第十章
[00:01:41.400 --> 00:01:45.400]  咁我就會由第一節開始講嘅
[00:01:45.400 --> 00:01:47.400]  去到呢第十八節
[00:01:47.400 --> 00:01:51.400]  呢段經文開始嘅時候
[00:01:51.400 --> 00:01:53.400]  就耶穌講個比喻呀
[00:01:53.400 --> 00:01:56.400]  講完之後啲人就唔係好明啦
[00:01:56.400 --> 00:01:59.400]  通常嚟講呢 如果我哋要理解個比喻呢
[00:01:59.400 --> 00:02:02.400]  我哋第一樣嘢睇下其實耶穌呢個比喻
[00:02:02.400 --> 00:02:05.400]  同啲咩人講先 呢個對象係邊個
[00:02:05.400 --> 00:02:08.400]  佢就開始嘅時候 佢就話我實實在在地告訴你們
[00:02:08.400 --> 00:02:11.400]  即係同啲咩人講嘅呢 當然同前文有關嘅啦
[00:02:11.400 --> 00:02:14.400]  應該就係 咁原來第九章呢
[00:02:14.400 --> 00:02:17.400]  第九章呢 係講緊
[00:02:17.400 --> 00:02:20.400]  一個盲眼嘅人 耶穌 天生盲眼嘅人
[00:02:20.400 --> 00:02:23.400]  耶穌醫好佢啦 佢去過西羅華祠嘅裏面
[00:02:23.400 --> 00:02:26.400]  耶穌叫佢洗啦 佢聽話洗完之後
[00:02:26.400 --> 00:02:29.400]  醒返嚟隻眼就好返啦 好開心啦當然係嘛 點知呢
[00:02:29.400 --> 00:02:32.400]  嗰啲法力財人呢 嗰啲領袖呢 宗教領袖呢就好唔like
[00:02:32.400 --> 00:02:35.400]  佢話邊個人醫好你嘅 就質問佢 佢話
[00:02:35.400 --> 00:02:38.400]  我都唔知邊個醫好我㗎 不過總而言之
[00:02:38.400 --> 00:02:41.400]  有個人我聽佢話 佢話我呢就可以好返啦
[00:02:41.400 --> 00:02:44.400]  咁佢就話 你知唔知嗰個罪人嚟㗎
[00:02:44.400 --> 00:02:47.400]  你仲咁樣講 佢話佢係咪罪人我就唔知啦
[00:02:47.400 --> 00:02:50.400]  不過呢 從我哋嘅祖先嘅歷史呢
[00:02:50.400 --> 00:02:53.400]  如果一個罪人呢 無神唔會聽一個罪人
[00:02:53.400 --> 00:02:56.400]  咁樣講嘅 叫一個天生盲眼嘅人 好似我咁
[00:02:56.400 --> 00:02:59.400]  可以好返嘅 嗰啲法力財人就
[00:02:59.400 --> 00:03:02.400]  老修成奴 聖經就講呢 就將呢個
[00:03:02.400 --> 00:03:05.400]  好返嘅盲眼嘅人呢 將佢趕出
[00:03:05.400 --> 00:03:08.400]  會堂 OK 聖經咁講 趕出會堂
[00:03:08.400 --> 00:03:11.400]  後來呢個人呢 就見返耶穌呀 耶穌就問佢
[00:03:11.400 --> 00:03:14.400]  你信唔信神嘅兒子呀 佢話
[00:03:14.400 --> 00:03:17.400]  邊個係神嘅兒子呀 等我可以信佢呀
[00:03:17.400 --> 00:03:20.400]  耶穌就話 我就係囉 於是乎
[00:03:20.400 --> 00:03:23.400]  佢就下敗耶穌 咁呀 但之前係
[00:03:23.400 --> 00:03:26.400]  講緊呢個故事㗎 大家有少少咁樣嘅
[00:03:26.400 --> 00:03:29.400]  回憶 相信大家都聽過㗎喇 喺呢個故事
[00:03:29.400 --> 00:03:32.400]  講完呢個咁嘅事件之後呢
[00:03:32.400 --> 00:03:35.400]  耶穌就對住嗰啲嘅 主要係啲法力財人
[00:03:35.400 --> 00:03:38.400]  當時嘅宗教領袖 咁樣講 就講咗頭先第一段嘅
[00:03:38.400 --> 00:03:41.400]  佢哋唔係好明嘅比喻
[00:03:41.400 --> 00:03:44.400]  其實呢個比喻本身呢 係有少少嘅
[00:03:44.400 --> 00:03:47.400]  即係背景嘅 因為以前嗰啲嘅
[00:03:47.400 --> 00:03:50.400]  中東地方啲人牧羊呢 係咁樣嘅 佢哋會
[00:03:50.400 --> 00:03:53.400]  帶住啲羊呢 就出去啦 係咪呀
[00:03:53.400 --> 00:03:56.400]  咁可能 譬如我 牧羊人 我就有一群羊跟住我㗎喇
[00:03:56.400 --> 00:03:59.400]  佢哋 即係聽我聲音嘅 跟住我嘅 知我係
[00:03:59.400 --> 00:04:02.400]  即係跟大佬咁 跟牧羊人 咁呀 另外一個
[00:04:02.400 --> 00:04:05.400]  另外一個牧羊人 就有一群羊跟住佢嘅
[00:04:05.400 --> 00:04:08.400]  咁有時佢哋出去野外地方搵嘢食啦 咁有時
[00:04:08.400 --> 00:04:11.400]  都唔係一日嘅 可能去幾日啦 一個禮拜咁樣啦
[00:04:11.400 --> 00:04:14.400]  咁中途呢 要過野 到宿呀 咁喺
[00:04:14.400 --> 00:04:17.400]  野外山上面嘅地方呢 有時會有啲羊圈呀
[00:04:17.400 --> 00:04:20.400]  即係有欄杆 無論係石造或者木造
[00:04:20.400 --> 00:04:23.400]  一個圈咁樣嘅 咁就夜晚黑 為咗安全
[00:04:23.400 --> 00:04:26.400]  嘅起見呢 通常呢 幾群嘅牧羊群呢
[00:04:26.400 --> 00:04:29.400]  屬於唔同嘅牧羊人嘅羊群
[00:04:29.400 --> 00:04:32.400]  就要入咗同一個羊圈嘅裏面嘅 就請個人
[00:04:32.400 --> 00:04:35.400]  開門口 咁第二朝天光嘅時候呢 啲牧羊人
[00:04:35.400 --> 00:04:38.400]  就去 去返個羊圈裏面呢 就嗌自己啲羊出嚟
[00:04:38.400 --> 00:04:41.400]  所以聖經咪咁講呀嘛 羊聽到
[00:04:41.400 --> 00:04:44.400]  牧羊人嘅聲音 認得啲塊聲 佢就
[00:04:44.400 --> 00:04:47.400]  跟佢出嚟嘅 即係唔同嘅牧羊人 帶啲唔同嘅羊
[00:04:47.400 --> 00:04:50.400]  出返嚟 就喺佢前面呢 就跟住帶佢行㗎啦
[00:04:50.400 --> 00:04:53.400]  以前嘅 即係以色列地方嘅牧羊人呢
[00:04:53.400 --> 00:04:56.400]  佢即係引羊群嘅 喺羊前面行嘅
[00:04:56.400 --> 00:04:59.400]  就唔係今日西方社會喺後面嗰啲牧羊
[00:04:59.400 --> 00:05:06.400]  圈喺度 即係帶住佢哋咁樣 喺前面 用啲象咁樣帶住佢哋行 佢聽到佢嘅聲音 一群咁樣跟住
[00:05:06.400 --> 00:05:09.400]  所以耶穌喺呢度講呢個比喻就話咩呢
[00:05:09.400 --> 00:05:12.400]  如果一個羊圈 如果佢真係牧羊人嘅話呢
[00:05:12.400 --> 00:05:15.400]  名正言順嘅就會點呀 就係條門口入啦 係咪呀
[00:05:15.400 --> 00:05:18.400]  咁就嗌囉 認得個聲音咪出嚟囉
[00:05:18.400 --> 00:05:21.400]  如果唔係牧羊人 就會點呢
[00:05:21.400 --> 00:05:24.400]  就會夜晚黑 半夜三更偷偷地
[00:05:24.400 --> 00:05:27.400]  從側邊嘅欄杆爬入去
[00:05:27.400 --> 00:05:31.400]  偷 OK 去偷或者去破壞
[00:05:31.400 --> 00:05:34.400]  所以呢 如果嗰啲羊呢
[00:05:34.400 --> 00:05:37.400]  聽到呢個人聲音 佢認得呢個唔係牧羊人嘅話呢
[00:05:37.400 --> 00:05:40.400]  佢就梗係會唔跟佢嘛 生人佢就唔跟啊嘛
[00:05:40.400 --> 00:05:43.400]  認得嗰啲先會跟啊嘛 所以耶穌咁樣講呢件事呢
[00:05:43.400 --> 00:05:47.400]  係佢哋好熟悉嘅一個嘅 即係佢哋嘅一個生活嘅片段嚟嘅
