
[00:00:00.000 --> 00:00:04.720]  讓我們真正仰望這位上帝
[00:00:04.720 --> 00:00:08.320]  祂為我們的信心創始而成中
[00:00:08.320 --> 00:00:12.720]  就如剛才夫婦團契所獻的詩
[00:00:12.720 --> 00:00:15.040]  神啊 你是我的神
[00:00:15.040 --> 00:00:18.400]  我們的上帝是一個怎樣的神呢
[00:00:18.400 --> 00:00:22.640]  讓我們今天在阿伯拉罕的見證
[00:00:22.640 --> 00:00:24.200]  在祂的生命裏面
[00:00:24.200 --> 00:00:26.160]  讓我們很清晰地看見
[00:00:26.160 --> 00:00:31.600]  我們的上帝是色在今在永在的全能者
[00:00:31.600 --> 00:00:35.600]  是我們想不到祂怎樣來行其事的那位神
[00:00:35.600 --> 00:00:38.040]  出乎祂的心意的話
[00:00:38.040 --> 00:00:45.200]  祂在歷世歷代都能夠去完成祂自己的心意的工作
[00:00:45.200 --> 00:00:47.920]  無論人有多少軟弱
[00:00:47.920 --> 00:00:50.320]  或者環境有多少限制
[00:00:50.320 --> 00:00:56.240]  我們仍然相信上帝是有辦法去解決這一切
[00:00:56.240 --> 00:00:59.360]  所以剛才我們聽到麗萍姐妹都提及
[00:00:59.360 --> 00:01:00.800]  有很多人都關心
[00:01:00.800 --> 00:01:04.240]  由去年開始到今年二月的時候
[00:01:04.240 --> 00:01:09.040]  新的國家的宗教法來實施
[00:01:09.040 --> 00:01:13.520]  我們看見確實國內有很多地方都有一些緊張的時刻
[00:01:13.520 --> 00:01:15.520]  但我們仍然相信
[00:01:15.520 --> 00:01:17.520]  無論在什麼處境裏面
[00:01:17.520 --> 00:01:20.720]  只要我們是按照上帝的心意
[00:01:20.720 --> 00:01:24.560]  我們是用心來去服侍人群
[00:01:24.560 --> 00:01:29.040]  用愛來與這班留守兒童一起同行的時候
[00:01:29.040 --> 00:01:32.480]  我們知道上帝有祂自己的恩典
[00:01:32.480 --> 00:01:35.200]  去完成祂自己的心意
[00:01:35.200 --> 00:01:40.640]  所以我們的眼目看見是誰
[00:01:40.640 --> 00:01:42.400]  是神祂自己
[00:01:42.400 --> 00:01:45.760]  不要只看著你眼前的環境有多困難
[00:01:45.760 --> 00:01:48.800]  或者看著你自己有多少限制
[00:01:48.800 --> 00:01:51.920]  我今天透過這篇信息希望鼓勵
[00:01:51.920 --> 00:01:53.920]  我們當中每個弟兄姊妹
[00:01:53.920 --> 00:01:58.560]  你不單止要清楚認識恩信的真理
[00:01:58.560 --> 00:02:03.920]  但你明白了亞伯拉罕的信是一個什麼性質的信的時候
[00:02:03.920 --> 00:02:05.920]  你願意傳言的
[00:02:05.920 --> 00:02:07.920]  你來愛神愛人
[00:02:07.920 --> 00:02:09.280]  領人歸主
[00:02:09.280 --> 00:02:11.280]  特別我們今年教會的主題是什麼
[00:02:11.280 --> 00:02:13.280]  我們要毀身基督
[00:02:13.280 --> 00:02:15.280]  全家歸主
[00:02:15.280 --> 00:02:18.640]  要帶領我們的家人信主
[00:02:18.640 --> 00:02:21.280]  其實不簡單不容易
[00:02:21.280 --> 00:02:24.800]  有些人說帶一個陌生人信主比較容易
[00:02:24.800 --> 00:02:27.760]  你叫我阿爸去信主是不可能的
[00:02:27.760 --> 00:02:30.240]  他比化石還難
[00:02:30.240 --> 00:02:34.240]  究竟你是上帝
[00:02:34.240 --> 00:02:37.360]  還是上帝才是你阿爸的上帝呢
[00:02:37.360 --> 00:02:40.240]  你為什麼這麼快要概觀定論說不可能
[00:02:40.240 --> 00:02:44.480]  我們很多時候看環境看自己就覺得不可能
[00:02:44.480 --> 00:02:46.480]  什麼叫不可能
