
[00:00:00.000 --> 00:00:05.520]  好,我們一起祈禱,求主幫助我們明白祂的說話
[00:00:05.520 --> 00:00:08.520]  在天父,我們感謝祢的恩典
[00:00:08.520 --> 00:00:13.040]  在臨近聖誕的主日清晨,我們可以一同敬拜祢
[00:00:13.040 --> 00:00:17.040]  不單止思想主耶穌基督降生的意義
[00:00:17.040 --> 00:00:21.040]  也一同從祢的話語裏面去領受教誨
[00:00:21.040 --> 00:00:24.640]  求主祢的聖靈在我們每個人的心裏面動功
[00:00:24.640 --> 00:00:28.640]  幫助我們能夠明白主對我們的期望
[00:00:28.640 --> 00:00:32.640]  奉耶穌基督的名祈禱,阿們
[00:00:58.640 --> 00:01:01.640]  亦都指出他們的缺點
[00:01:01.640 --> 00:01:07.640]  七間教會裏面,只有兩間教會是主耶穌沒有批評的
[00:01:07.640 --> 00:01:11.640]  上星期我們已經看到士美拿教會
[00:01:11.640 --> 00:01:17.640]  是主耶穌沒有任何批評的其中一間
[00:01:17.640 --> 00:01:20.640]  他們正在為主受苦
[00:01:20.640 --> 00:01:24.640]  並且主耶穌預先警告他們
[00:01:24.640 --> 00:01:29.640]  還要繼續為主受苦十天
[00:01:29.640 --> 00:01:33.640]  主耶穌雖然知道我們的苦難
[00:01:33.640 --> 00:01:37.640]  但是如果苦難是對我們有益的話
[00:01:37.640 --> 00:01:42.640]  主耶穌是不會除去我們的苦難的
[00:01:42.640 --> 00:01:47.640]  如果有人是為了逃避苦難而信耶穌的話
[00:01:47.640 --> 00:01:52.640]  大概是對基督教有些誤解
[00:01:52.640 --> 00:01:56.640]  以為信了耶穌就不會受苦
[00:01:56.640 --> 00:02:03.640]  其實信了耶穌的人都同樣會遇到苦難
[00:02:03.640 --> 00:02:09.640]  同樣會生癌病,同樣會有人中年喪老
[00:02:09.640 --> 00:02:13.640]  在華人教會中有一位很有名的講員
[00:02:13.640 --> 00:02:17.640]  溫韋耀博士,他的第一任妻子
[00:02:17.640 --> 00:02:21.640]  年輕的時候由於癌病去世
[00:02:21.640 --> 00:02:24.640]  當年溫博士在忠臣教神學
[00:02:24.640 --> 00:02:28.640]  還請了神學院的院長到醫院
[00:02:28.640 --> 00:02:33.640]  按照雅各書的教導為他太太抹油祈禱
[00:02:33.640 --> 00:02:35.640]  但最後還是死了
[00:02:35.640 --> 00:02:38.640]  留下兩個女兒給溫博士照顧
[00:02:38.640 --> 00:02:44.640]  他的小女兒是弱智的,很難照顧
[00:02:44.640 --> 00:02:48.640]  不過人生的苦難是會過去的
[00:02:48.640 --> 00:02:52.640]  如果基督徒離世只不過是回到天家
[00:02:52.640 --> 00:02:58.640]  正如啟示錄十四章十三節告訴我們
