
[00:00:00.000 --> 00:00:02.680]  今天我們繼續配合教會的主題
[00:00:02.680 --> 00:00:05.800]  「敬畏上主 傳揚福音」
[00:00:05.800 --> 00:00:08.400]  《使徒行傳》系列的第三講
[00:00:08.400 --> 00:00:09.600]  今天的主題是
[00:00:09.600 --> 00:00:13.840]  「奉主耶穌基督的名 叫你起來行走」
[00:00:13.840 --> 00:00:18.760]  接著上星期我們經文提到一班的信徒
[00:00:18.760 --> 00:00:20.680]  已經被聖靈囂貫
[00:00:20.680 --> 00:00:22.520]  得著上帝的能力
[00:00:22.520 --> 00:00:26.520]  門徒們也開始去遵行第一章八節裡所講
[00:00:26.520 --> 00:00:29.000]  「我在耶路撒冷 猶太傳地
[00:00:29.000 --> 00:00:32.400]  和撒瑪利亞直到地極 作我的見證」
[00:00:32.400 --> 00:00:36.480]  所以接下來今天要講的第三章
[00:00:36.480 --> 00:00:40.360]  就是記載著使徒們出去傳福音的事跡
[00:00:40.360 --> 00:00:41.760]  今天的經文
[00:00:41.760 --> 00:00:46.120]  就是記載著一個生來渠褪的人被醫治的經過
[00:00:46.120 --> 00:00:51.160]  讓我們先一起讀一讀三章一到十節的內容
[00:00:51.160 --> 00:00:52.400]  預備起
[00:00:52.400 --> 00:00:54.600]  新初禱告的時候
[00:00:54.600 --> 00:00:57.160]  彼得約翰上聖殿去
[00:00:57.160 --> 00:00:59.920]  有一個人生來是渠褪的
[00:00:59.920 --> 00:01:01.920]  天天被人抬來
[00:01:01.920 --> 00:01:04.440]  放在殿的一個門口
[00:01:04.440 --> 00:01:06.560]  那門名叫美門
[00:01:06.560 --> 00:01:09.080]  要求進殿的人周祭
[00:01:09.080 --> 00:01:12.640]  他看見彼得約翰將要進殿
[00:01:12.640 --> 00:01:14.920]  就求他們周祭
[00:01:14.920 --> 00:01:17.440]  彼得約翰定征看他
[00:01:17.440 --> 00:01:20.040]  彼得說 你看我們
[00:01:20.040 --> 00:01:22.640]  那人就留意看他們
[00:01:22.640 --> 00:01:24.680]  只望得著什麼
[00:01:24.680 --> 00:01:27.520]  彼得說 金銀我都沒有
[00:01:27.520 --> 00:01:29.960]  只把我所有的給你
[00:01:29.960 --> 00:01:32.840]  我奉那薩勒人耶穌基督的名
[00:01:32.840 --> 00:01:35.040]  叫你起來行走
[00:01:35.040 --> 00:01:37.760]  於是拉著他的右手
[00:01:37.760 --> 00:01:39.160]  扶他起來
[00:01:39.160 --> 00:01:43.600]  他的腳和畫子骨立刻見狀了
[00:01:43.600 --> 00:01:46.880]  就跳起來站著又行走
[00:01:46.880 --> 00:01:48.920]  同他進了殿
[00:01:48.920 --> 00:01:51.520]  走著跳著讚美神
[00:01:51.520 --> 00:01:55.200]  那成都看見他行走讚美神
[00:01:55.200 --> 00:01:59.120]  認得他是那掃上坐在殿的美門口
[00:01:59.120 --> 00:02:00.760]  求周祭的
[00:02:00.760 --> 00:02:03.000]  就因他所遇著的事
[00:02:03.000 --> 00:02:05.560]  滿心稀奇驚訝
[00:02:05.560 --> 00:02:08.680]  我們一起低頭做祈禱吧
[00:02:08.680 --> 00:02:10.760]  親愛的天父我們感謝你
[00:02:10.760 --> 00:02:12.160]  透過初期教會
[00:02:12.160 --> 00:02:14.160]  使徒們這一份火熱
[00:02:14.160 --> 00:02:15.880]  全福音的心
[00:02:15.880 --> 00:02:17.840]  他們都是進行大使命
[00:02:17.840 --> 00:02:19.280]  走到普天下去
[00:02:19.280 --> 00:02:21.000]  將你話去傳揚
[00:02:21.000 --> 00:02:23.080]  他更加深知你愛世人
[00:02:23.080 --> 00:02:26.640]  他們願意去延續神你那份愛
[00:02:26.640 --> 00:02:29.000]  讓福音廣傳世上
[00:02:29.000 --> 00:02:32.600]  以致更多人能夠得著永生的盼望
[00:02:32.600 --> 00:02:35.000]  求你都教導我們透過今天的經文
[00:02:35.000 --> 00:02:37.880]  讓我們同樣效法使徒們所做的
[00:02:37.880 --> 00:02:40.960]  我們以上的祈禱是奉靠主耶穌基督的名求
[00:02:40.960 --> 00:02:42.480]  阿們
[00:02:42.480 --> 00:02:45.040]  今天的經文是記載彼得和約翰
[00:02:45.040 --> 00:02:48.080]  上聖殿禱告所遇見的事
[00:02:48.080 --> 00:02:51.240]  新初其實就是下午三點鐘
[00:02:51.240 --> 00:02:54.520]  在猶太人每天三次的定期祈禱中的時段
[00:02:54.520 --> 00:02:56.120]  包括早上的九點
[00:02:56.120 --> 00:02:57.360]  中午十二點
[00:02:57.360 --> 00:02:59.400]  以及下午三點
[00:02:59.400 --> 00:03:02.680]  所以彼得和約翰前往聖殿
[00:03:02.680 --> 00:03:06.960]  是履行遵守猶太人禱告的傳統
[00:03:06.960 --> 00:03:10.400]  參與當時的禱告活動
[00:03:10.400 --> 00:03:13.520]  我們可以想像到聖殿最多人的時候
[00:03:13.520 --> 00:03:15.880]  應該就是這三段時間
[00:03:15.880 --> 00:03:19.320]  經文在這裡說這個渠腿的人
[00:03:19.320 --> 00:03:22.840]  每一天都被人抬到在聖殿的門口
[00:03:22.840 --> 00:03:24.880]  我們可以想像到
[00:03:24.880 --> 00:03:27.000]  其實他被抬到聖殿門口
[00:03:27.000 --> 00:03:28.800]  不會來回三次
[00:03:28.800 --> 00:03:30.360]  不會抬過來又抬回去
[00:03:30.360 --> 00:03:32.040]  抬過來又抬回去
[00:03:32.040 --> 00:03:34.520]  所以其實他一早被人抬過來之後
[00:03:34.520 --> 00:03:37.160]  他一直都在聖殿的門口裡面
[00:03:37.160 --> 00:03:39.680]  他很希望等著這三次的機會
[00:03:39.680 --> 00:03:42.880]  見到進殿的人向他施捨
[00:03:42.880 --> 00:03:45.240]  這位渠腿的人其實習慣
[00:03:45.240 --> 00:03:47.360]  每一天都在這裡
[00:03:47.360 --> 00:03:51.720]  慣常每天三次在聖殿裡面
[00:03:51.720 --> 00:03:55.480]  等著要來祈禱的猶太人
[00:03:55.480 --> 00:03:57.960]  不過這種慣常
[00:03:57.960 --> 00:04:00.920]  使得他逐漸不被看見
[00:04:00.920 --> 00:04:04.080]  因為其實聖殿門口是很多人的
[00:04:04.080 --> 00:04:06.120]  在十七世紀裡面
[00:04:06.120 --> 00:04:09.400]  一個法國華家尼古拉普桑
[00:04:09.400 --> 00:04:11.920]  他有一幅畫是描述這個情景的
[00:04:11.920 --> 00:04:14.760]  我們見到聖殿裡面其實擠滿了很多人
[00:04:14.760 --> 00:04:16.680]  很多很有需要的人
[00:04:16.680 --> 00:04:19.000]  好像這個生來渠腿的人一樣
[00:04:19.000 --> 00:04:21.400]  去要求別人的周祭
[00:04:21.400 --> 00:04:26.320]  在畫的外面可能旁邊還有很多買賣的人
[00:04:26.320 --> 00:04:31.280]  所以一個本來渴望被看見生來渠腿的人
[00:04:31.280 --> 00:04:33.120]  因為一個慣性的場景
[00:04:33.120 --> 00:04:36.640]  使得他逐漸不被看見
[00:04:36.640 --> 00:04:41.760]  所以路加是嘗試打破這個慣常的事
[00:04:41.760 --> 00:04:43.920]  從混亂的實境裡面
[00:04:43.920 --> 00:04:46.520]  他想突出這個人物
[00:04:46.520 --> 00:04:48.200]  所以第三節記載
