
[00:00:00.000 --> 00:00:02.000]  各位電影姐妹,聖誕快樂!
[00:00:02.000 --> 00:00:04.000]  聖誕快樂!
[00:00:04.000 --> 00:00:06.000]  很特別的一個日子
[00:00:06.000 --> 00:00:11.000]  聖誕節是慶祝和紀念耶穌基督為我們降生的日子
[00:00:11.000 --> 00:00:15.000]  今天在教會也安排了浸禮
[00:00:15.000 --> 00:00:18.000]  其實這個安排也是挺特別的
[00:00:18.000 --> 00:00:22.000]  浸禮如果要紀念的話,又要紀念什麼呢?
[00:00:22.000 --> 00:00:26.000]  紀念耶穌基督的死而復活
[00:00:26.000 --> 00:00:29.000]  如果人呢,特別是華人
[00:00:29.000 --> 00:00:33.000]  當我們做生日的時候
[00:00:33.000 --> 00:00:35.000]  然後我們提起死亡
[00:00:35.000 --> 00:00:37.000]  好不好呢?
[00:00:37.000 --> 00:00:43.000]  一般來說,如果再老一輩的人就會「Toy」
[00:00:43.000 --> 00:00:49.000]  所以我們姓「Toy」,有時用英文說,人們就會「Toy」
[00:00:49.000 --> 00:00:51.000]  是有些禁忌的
[00:00:51.000 --> 00:00:53.000]  對人類來說有些禁忌
[00:00:53.000 --> 00:00:57.000]  不過為什麼對上帝愛子耶穌基督的降生呢?
[00:00:57.000 --> 00:01:01.000]  竟然我們可以在這個日子裡紀念祂的死呢?
[00:01:01.000 --> 00:01:04.000]  其實這個就正是呈現
[00:01:04.000 --> 00:01:08.000]  基督教是一個很顛覆性的宗教信仰
[00:01:08.000 --> 00:01:10.000]  基督教所蘊含的真理
[00:01:10.000 --> 00:01:15.000]  跟我們一般人往往有很多東西其實是不同的
[00:01:15.000 --> 00:01:18.000]  就算表面上都挺接近
[00:01:18.000 --> 00:01:20.000]  都是導人向善
[00:01:20.000 --> 00:01:24.000]  但是骨子裡的背景、出發點
[00:01:24.000 --> 00:01:27.000]  甚至言語行為、思想
[00:01:27.000 --> 00:01:29.000]  不是這樣的
[00:01:29.000 --> 00:01:32.000]  所以如果用人的角度去看
[00:01:32.000 --> 00:01:36.000]  耶穌的出生其實是很奇怪的
