
[00:00:00.000 --> 00:00:06.220]  大家都在電視上看過一幅這樣的圖畫
[00:00:06.220 --> 00:00:09.060]  就是醫院的手術室
[00:00:09.060 --> 00:00:12.680]  醫生和護士很緊密的合作
[00:00:12.680 --> 00:00:16.980]  施手術為了搶救病人的生命
[00:00:16.980 --> 00:00:21.140]  但突然間全部停手
[00:00:21.140 --> 00:00:24.180]  因為病人已經死了
[00:00:24.180 --> 00:00:30.280]  死亡臨到就甚麼都不可以做
[00:00:30.280 --> 00:00:32.700]  記得十多年前
[00:00:32.700 --> 00:00:35.960]  我還在加拿大牧羊教會
[00:00:35.960 --> 00:00:41.040]  有一位六歲的女孩子交通意外死亡
[00:00:41.040 --> 00:00:44.200]  我主持安息禮
[00:00:44.200 --> 00:00:51.460]  那個地方禮堂旁邊就是火葬爐
[00:00:51.460 --> 00:00:56.580]  一個焚化爐隔著一道牆
[00:00:56.580 --> 00:00:59.940]  安息禮完結後
[00:00:59.940 --> 00:01:05.340]  棺木被推進爐內關上門
[00:01:05.340 --> 00:01:08.060]  牆上有個電掣
[00:01:08.060 --> 00:01:13.600]  傳統是由親人按一按電掣
[00:01:13.600 --> 00:01:16.980]  火葬爐就開動
[00:01:16.980 --> 00:01:22.720]  那天女孩子的爸爸一按電掣
[00:01:22.720 --> 00:01:28.100]  一按電掣全牆的人都聽到一個火的聲音
[00:01:28.100 --> 00:01:30.080]  「吼」
[00:01:30.080 --> 00:01:33.960]  爸爸就崩潰了
[00:01:33.960 --> 00:01:37.320]  因為這個聲音是一個絕望的聲音
[00:01:37.320 --> 00:01:39.820]  一個終結的聲音
[00:01:39.820 --> 00:01:42.740]  sense of finality
[00:01:42.740 --> 00:01:45.300]  最終結的聲音
[00:01:45.300 --> 00:01:47.300]  就沒有了
[00:01:47.300 --> 00:01:49.820]  一切都完結
[00:01:49.820 --> 00:01:53.020]  古往今來很多詩人墨客
[00:01:53.020 --> 00:01:56.160]  都在感嘆死亡
[00:01:56.160 --> 00:01:58.980]  宋朝的名詩人蘇軾
[00:01:58.980 --> 00:02:01.280]  他的太太死了十年
[00:02:01.280 --> 00:02:04.820]  他寫了一首《持綱成紙》
[00:02:04.820 --> 00:02:06.940]  紀念他太太
[00:02:06.940 --> 00:02:10.620]  十年生死兩茫茫
[00:02:10.620 --> 00:02:14.220]  不思量自難忘
