
[00:00:00.000 --> 00:00:09.000]  每件事到我的這種年齡,包括上廁所,能不能大方便跟小方便都要禱告
[00:00:09.000 --> 00:00:14.000]  他來個不便,我今天有點遲到,就是你早他突然想便
[00:00:14.000 --> 00:00:18.000]  所以我現在不太敢答應主日講道
[00:00:18.000 --> 00:00:20.000]  所以我不太敢答應主日講道
[00:00:20.000 --> 00:00:22.000]  因為你老了控制不了身體
[00:00:22.000 --> 00:00:24.000]  因為你老了控制不了身體
[00:00:24.000 --> 00:00:25.000]  那你怎麼能遲到呢
[00:00:25.000 --> 00:00:26.000]  怎麼會遲到
[00:00:26.000 --> 00:00:28.000]  所以老了為什麼退休我才了解
[00:00:28.000 --> 00:00:30.000]  然後為什麼老了要退休我才了解
[00:00:30.000 --> 00:00:31.000]  那我答應了對不對
[00:00:31.000 --> 00:00:32.000]  因為我答應了
[00:00:32.000 --> 00:00:34.000]  哇又不方便
[00:00:34.000 --> 00:00:35.000]  又不方便
[00:00:35.000 --> 00:00:36.000]  對吧
[00:00:36.000 --> 00:00:38.000]  怪不得以前
[00:00:38.000 --> 00:00:39.000]  怪不得以前
[00:00:39.000 --> 00:00:40.000]  有個人
[00:00:40.000 --> 00:00:41.000]  有一個人
[00:00:41.000 --> 00:00:42.000]  香港人
[00:00:42.000 --> 00:00:43.000]  香港人
[00:00:43.000 --> 00:00:46.000]  他在家門口
[00:00:46.000 --> 00:00:47.000]  他在家門口
[00:00:47.000 --> 00:00:49.000]  貼出入平安
[00:00:49.000 --> 00:00:50.000]  在門口貼出入平安
[00:00:50.000 --> 00:00:53.000]  在樓梯口貼上落平安
[00:00:53.000 --> 00:00:55.000]  在樓梯口貼上落平安
[00:00:55.000 --> 00:00:58.000]  在廁所門口貼大小平安
[00:00:58.000 --> 00:01:00.000]  然後在廁所貼一個大小平安
[00:01:00.000 --> 00:01:01.000]  我今天才明白
[00:01:01.000 --> 00:01:03.000]  我現在終於明白
[00:01:03.000 --> 00:01:05.000]  好好禱告
[00:01:05.000 --> 00:01:06.000]  好好禱告
[00:01:06.000 --> 00:01:07.000]  為每一件事
[00:01:07.000 --> 00:01:09.000]  你不要以為神煩
[00:01:09.000 --> 00:01:10.000]  因為聖經這裡說什麼
[00:01:10.000 --> 00:01:12.000]  因為聖經裡面講什麼
[00:01:12.000 --> 00:01:13.000]  第六節再讀一次
[00:01:13.000 --> 00:01:14.000]  第六節我們再讀一次
[00:01:14.000 --> 00:01:16.000]  應當義無掛慮
[00:01:16.000 --> 00:01:18.000]  把你掛慮的是幹嘛
[00:01:18.000 --> 00:01:20.000]  只要凡事
[00:01:20.000 --> 00:01:21.000]  凡事是什麼
[00:01:21.000 --> 00:01:22.000]  凡事是什麼
[00:01:22.000 --> 00:01:25.000]  每一件事
[00:01:25.000 --> 00:01:27.000]  接著禱告
[00:01:27.000 --> 00:01:28.000]  祈求和感謝
[00:01:28.000 --> 00:01:29.000]  將你們什麼
[00:01:29.000 --> 00:01:30.000]  所要的
[00:01:30.000 --> 00:01:32.000]  你先別想是不是神旨意
[00:01:32.000 --> 00:01:33.000]  我要什麼
[00:01:33.000 --> 00:01:34.000]  你跟著講
[00:01:34.000 --> 00:01:37.000]  首先將我們想要的告訴別人
[00:01:37.000 --> 00:01:39.000]  至於何不神旨意呢
