
[00:00:00.000 --> 00:00:00.800]  鄧小妹,早晨
[00:00:00.800 --> 00:00:05.060]  感謝主禮每一次都可以跟大家分享訊息的時候
[00:00:05.060 --> 00:00:07.740]  亦都分享在《經文領袖》裡面
[00:00:07.740 --> 00:00:12.360]  對了,大家還記得上個月跟大家分享了
[00:00:12.360 --> 00:00:14.480]  《有異象的人一罵》
[00:00:14.480 --> 00:00:18.620]  說到保羅向外幫人傳福音
[00:00:18.620 --> 00:00:20.660]  引起了猶太人的不滿
[00:00:20.660 --> 00:00:22.580]  被猶太人控告
[00:00:22.580 --> 00:00:25.320]  而當時的處境就是
[00:00:25.320 --> 00:00:28.080]  他要面對這個阿基柏王受審的時候
[00:00:28.420 --> 00:00:33.160]  就宣告自己沒有因為違背從天上而來的異象
[00:00:33.160 --> 00:00:35.160]  而竭力地傳福音
[00:00:35.160 --> 00:00:36.840]  那個異象是什麼呢?
[00:00:36.840 --> 00:00:38.720]  就是保羅在大馬式
[00:00:38.720 --> 00:00:41.060]  或者大馬士革的路上
[00:00:41.060 --> 00:00:43.060]  去遇見主,相信了主
[00:00:43.060 --> 00:00:45.420]  當他面對這個困難的時候
[00:00:45.420 --> 00:00:48.420]  他仍然選擇去回應主的呼召
[00:00:48.420 --> 00:00:49.920]  不知道大家還記不記得
[00:00:49.920 --> 00:00:51.280]  上個月的分享
[00:00:51.280 --> 00:00:54.000]  今天很想跟大家分享的是
[00:00:54.000 --> 00:00:56.220]  《成為有異象的人二》
[00:00:56.220 --> 00:01:02.420]  原來在保羅領受這個從天上而來的異象的同時
[00:01:02.420 --> 00:01:05.160]  有一個人也領受了異象
[00:01:05.160 --> 00:01:07.800]  如果這個人沒有作出任何的回應
[00:01:07.800 --> 00:01:12.000]  我相信保羅在回應主踏上這個宣教的路上
[00:01:12.000 --> 00:01:13.420]  也非常困難
[00:01:13.420 --> 00:01:15.420]  這個人是誰呢?
[00:01:15.420 --> 00:01:18.420]  就是剛剛大家所讀過的經文的主角
[00:01:18.420 --> 00:01:19.460]  阿拿尼亞
[00:01:19.460 --> 00:01:22.040]  今天很想透過阿拿尼亞的故事
[00:01:22.040 --> 00:01:24.500]  他所領受的異象去跟大家分享
[00:01:24.500 --> 00:01:27.020]  容讓我們開始之前都低頭的禱告
[00:01:27.020 --> 00:01:31.660]  親愛的主耶穌,多謝祢讚美祢
[00:01:31.660 --> 00:01:34.660]  讓我們能夠在當中聚集在一起
[00:01:34.660 --> 00:01:38.660]  神,我們渴求今天能夠領受祢的懷語
[00:01:38.660 --> 00:01:41.260]  當我們每次回到崇拜的裡面
[00:01:41.260 --> 00:01:43.260]  願祢的話,對我們生命說話
[00:01:43.260 --> 00:01:45.760]  還有今天我們透過阿拿尼亞的生命
[00:01:45.760 --> 00:01:47.260]  透過祂的經歷
[00:01:47.260 --> 00:01:50.260]  求主在當中對我們生命有提醒
[00:01:50.260 --> 00:01:52.760]  主呀,願聖靈在這刻與我們同在
[00:01:52.760 --> 00:01:55.260]  讓我們明白經文所講的一切
