
[00:00:00.000 --> 00:00:01.680]  當讀到這段聖經的時候
[00:00:01.680 --> 00:00:03.840]  徐職員就會浮現一個問題
[00:00:03.840 --> 00:00:05.080]  這個問題就是
[00:00:05.080 --> 00:00:07.120]  為什麼上帝要殺這個烏撒?
[00:00:07.120 --> 00:00:08.800]  祂只不過是藥櫃要掉下來
[00:00:08.800 --> 00:00:10.320]  可以用手扶一扶祂而已
[00:00:10.320 --> 00:00:11.720]  這樣也要死?
[00:00:11.720 --> 00:00:14.760]  這個只是人的自然反應罷了
[00:00:14.760 --> 00:00:17.040]  我們就會有很多這個問題
[00:00:17.040 --> 00:00:19.840]  所以今天我跟大家分享這段聖經
[00:00:19.840 --> 00:00:22.640]  我就從一個聖經而難解答的角度
[00:00:22.640 --> 00:00:24.400]  解答這個問題
[00:00:24.400 --> 00:00:26.080]  來跟大家看看
[00:00:26.080 --> 00:00:29.840]  然後我看看當中上帝給了什麼訊息
[00:00:29.840 --> 00:00:33.920]  這裡記載了一些人物
[00:00:33.920 --> 00:00:35.520]  阿比拿達
[00:00:35.520 --> 00:00:37.360]  藥櫃放在他家裡
[00:00:37.360 --> 00:00:38.720]  阿比拿達的家
[00:00:38.720 --> 00:00:40.240]  阿比拿達是什麼人呢?
[00:00:40.240 --> 00:00:42.240]  他有一個兒子叫烏撒
[00:00:42.240 --> 00:00:43.440]  就是什麼人呢?
[00:00:43.440 --> 00:00:45.520]  阿比拿達是什麼呢?
[00:00:45.520 --> 00:00:46.640]  他的名字的意思就是
[00:00:46.640 --> 00:00:49.760]  「我乎係高貴,我乎係慷慨的」
[00:00:49.760 --> 00:00:52.400]  這個名字本身反映了什麼呢?
[00:00:52.400 --> 00:00:56.880]  聖經在《撒姆爾記》上七章一節這樣說
[00:00:56.880 --> 00:00:59.280]  當藥櫃被運送回來的時候
[00:00:59.280 --> 00:01:04.480]  當時就是送到阿比拿達的家裡
[00:01:04.480 --> 00:01:07.040]  阿比拿達就分派他的兒子
[00:01:07.040 --> 00:01:09.120]  其中一個兒子叫以利亞達
[00:01:09.120 --> 00:01:11.280]  就看守藥櫃
