
[00:00:00.000 --> 00:00:04.000]  各位兄弟姊妹、各位新朋友,大家好!
[00:00:04.000 --> 00:00:07.500]  今天我選的題目是「童話可變身」
[00:00:07.500 --> 00:00:10.000]  大家喜不喜歡看童話故事?
[00:00:10.000 --> 00:00:11.000]  喜歡
[00:00:11.000 --> 00:00:13.000]  喜歡,對了
[00:00:13.000 --> 00:00:16.000]  好像女孩子比較喜歡
[00:00:16.000 --> 00:00:18.000]  男孩子就喜歡
[00:00:18.000 --> 00:00:22.000]  接下來迪士尼又有新電影
[00:00:22.000 --> 00:00:26.000]  《Stitch》,去看嗎?
[00:00:26.000 --> 00:00:29.000]  《Stitch》,《屎滴仔》
[00:00:29.000 --> 00:00:32.000]  我家裡也有迪士尼電影
[00:00:32.000 --> 00:00:36.000]  所以經常去看迪士尼的電影
[00:00:36.000 --> 00:00:42.000]  當然,現在也拍了很多真人版
[00:00:42.000 --> 00:00:45.000]  除了卡通版,還有真人版
[00:00:45.000 --> 00:00:46.000]  都很精彩
[00:00:46.000 --> 00:00:48.000]  我今天選了一個經文
[00:00:48.000 --> 00:00:50.000]  就是《約翰福音》
[00:00:50.000 --> 00:00:52.000]  剛才主席跟我們讀出來
[00:00:52.000 --> 00:00:57.000]  聖經說「凡接待耶穌的就是信他明的人」
[00:00:57.000 --> 00:01:00.000]  我們可以做他的子女
[00:01:00.000 --> 00:01:02.000]  不知道你們的子女
[00:01:02.000 --> 00:01:05.000]  跟你們說他們有什麼志願
[00:01:05.000 --> 00:01:08.000]  我的兒子已經很大了,26歲
[00:01:08.000 --> 00:01:12.000]  他說他的志願就是成為富二代
[00:01:12.000 --> 00:01:14.000]  是不是很宏偉呢?
[00:01:14.000 --> 00:01:16.000]  於是我問問他老爸
[00:01:16.000 --> 00:01:18.000]  今天他又來了
[00:01:18.000 --> 00:01:20.000]  問問他,看一看他
[00:01:20.000 --> 00:01:22.000]  我就跟兒子說
[00:01:22.000 --> 00:01:25.000]  「算了吧,你沒有希望了」
[00:01:25.000 --> 00:01:28.000]  「你不可能成為富二代了」
[00:01:28.000 --> 00:01:30.000]  但我看著兒子說
[00:01:30.000 --> 00:01:32.000]  「我的孫子應該有機會的」
[00:01:32.000 --> 00:01:34.000]  「努力點,加油」
[00:01:34.000 --> 00:01:36.000]  「我的孫子應該可以做到的」
[00:01:36.000 --> 00:01:38.000]  「叫他努力,加油吧」
[00:01:38.000 --> 00:01:42.000]  不知道你想做誰的兒子呢?
[00:01:42.000 --> 00:01:44.000]  做李嘉誠的兒子
[00:01:44.000 --> 00:01:46.000]  做一些富豪的兒子
[00:01:46.000 --> 00:01:49.000]  還是想做我們的兒子呢?
[00:01:49.000 --> 00:01:50.000]  做不到富二代的
[00:01:50.000 --> 00:01:52.000]  成為神的兒女
[00:01:52.000 --> 00:01:55.000]  他比做富二代更棒
[00:01:55.000 --> 00:01:58.000]  如果做過,大家已經是神的兒女
[00:01:58.000 --> 00:02:00.000]  你會覺得很棒
[00:02:00.000 --> 00:02:02.000]  因為我們繼承的東西
[00:02:02.000 --> 00:02:04.000]  不單止在地上
[00:02:04.000 --> 00:02:06.000]  我講的是不單止
[00:02:06.000 --> 00:02:08.000]  不單止在地上
[00:02:08.000 --> 00:02:10.000]  還有天上的東西
[00:02:10.000 --> 00:02:12.000]  說真的,繼承你父母的
[00:02:12.000 --> 00:02:14.000]  都是在地上的
[00:02:14.000 --> 00:02:16.000]  還要看他用剩多少
[00:02:16.000 --> 00:02:18.000]  以前我也買了
[00:02:18.000 --> 00:02:20.000]  也有不少保險的
[00:02:20.000 --> 00:02:22.000]  但是我打算
[00:02:22.000 --> 00:02:24.000]  在我有生之年用光
[00:02:24.000 --> 00:02:26.000]  千萬不要留太多
[00:02:26.000 --> 00:02:28.000]  你會儲存的
[00:02:28.000 --> 00:02:30.000]  用完儲存的
[00:02:30.000 --> 00:02:32.000]  剩下的本就可以了
[00:02:32.000 --> 00:02:34.000]  後來過來英國沒有辦法
[00:02:34.000 --> 00:02:36.000]  連本都不要,全部拿回來了
[00:02:36.000 --> 00:02:39.000]  所以他們不能繼承
[00:02:39.000 --> 00:02:41.000]  神給我們的
[00:02:41.000 --> 00:02:43.000]  不單止在地上
[00:02:43.000 --> 00:02:45.000]  剩下多少錢,有房子
[00:02:45.000 --> 00:02:47.000]  現在我們的房子
[00:02:47.000 --> 00:02:49.000]  真的可以繼承
[00:02:49.000 --> 00:02:51.000]  一世的
[00:02:51.000 --> 00:02:53.000]  但是神給我們的
