
[00:00:00.000 --> 00:00:08.240]  我們一同讀一段聖經,在以賽亞書第六章。
[00:00:08.240 --> 00:00:11.960]  我們讀了好幾節的經文,從第一節開始,這裏說:
[00:00:11.960 --> 00:00:16.160]  當吾希望崩的那一年,我見主坐在高高的寶座上,
[00:00:16.160 --> 00:00:18.600]  在衣裳垂下遮滿聖殿,
[00:00:18.600 --> 00:00:21.560]  騎上有薩拉佛的勢力,各有六個翅膀,
[00:00:21.560 --> 00:00:25.800]  用兩個翅膀遮臉,兩個翅膀遮腳,兩個翅膀飛翔。
[00:00:25.800 --> 00:00:28.120]  鼻子呼喊說:聖災!聖災!聖災!
[00:00:28.120 --> 00:00:30.640]  萬君之夜華,祂的榮光充滿全地。
[00:00:30.640 --> 00:00:32.920]  我們跳到第八節。
[00:00:32.920 --> 00:00:36.760]  我又聽見主的聲音說:我可以猜淺誰呢?誰肯爲我們去呢?
[00:00:36.760 --> 00:00:38.960]  我說:我在這裏,請猜淺我。
[00:00:38.960 --> 00:00:42.760]  祂說:你去要告訴百姓說,你們聽是要聽見,卻不明白;
[00:00:42.760 --> 00:00:44.600]  看是要看見,卻不曉得。
[00:00:44.600 --> 00:00:49.880]  第十節:要使這百姓心盟止憂,耳朵發沉,眼睛昏迷,
[00:00:49.880 --> 00:00:54.760]  恐怕眼睛看見耳朵,聽見心裏明白,迴轉過來,便得一致。
[00:00:54.760 --> 00:00:56.640]  我就說主啊,這要到幾時爲止?
[00:00:56.640 --> 00:01:02.080]  祂說:直到城邑荒涼,無人居住,房屋空閒,無人,地土極其荒涼。
[00:01:02.080 --> 00:01:06.640]  並且夜華將人遷到遠方,這境內撇下的地土很多。
[00:01:06.640 --> 00:01:10.120]  十三節:境內聖像人若還有十分之一也必被吞滅,
[00:01:10.120 --> 00:01:14.840]  像慄樹、橡樹雖被砍伐,樹敦子卻仍存留。
[00:01:14.840 --> 00:01:18.560]  這聖節的種類在國中也是如此。
[00:01:18.560 --> 00:01:21.160]  我們就讀到這裏。
[00:01:21.160 --> 00:01:23.840]  再次謝謝楊傳導的分享。
[00:01:23.840 --> 00:01:30.160]  我們看見福音的工廠真的在全世界是何等的廣大。
[00:01:30.160 --> 00:01:35.640]  前兩個禮拜我有機會去美屬的薩摩亞島。
[00:01:35.640 --> 00:01:42.040]  那是一個只有六萬人的一個島,是一個太平洋的美軍基地。
[00:01:42.040 --> 00:01:44.720]  那你說牧師你去那裏幹什麼呢?
[00:01:44.720 --> 00:01:48.800]  因爲在那裏我們有一個華人的分堂在那裏。
[00:01:48.800 --> 00:01:52.160]  那邊人口不多,但華人卻有兩三千人。
