
[00:00:00.000 --> 00:00:05.940]  這個神蹟其實是剛剛以利沙成爲以利亞的接班人
[00:00:05.940 --> 00:00:07.100]  那以利亞去了哪裏呢?
[00:00:07.100 --> 00:00:08.700]  以利亞就升了天了
[00:00:08.700 --> 00:00:11.660]  得了他師父的雙倍的能力
[00:00:11.660 --> 00:00:15.040]  以利沙他拿到他師父雙倍的能力
[00:00:15.040 --> 00:00:20.240]  這個雙倍的能力就令到他成爲了以利亞的接班人
[00:00:20.240 --> 00:00:26.640]  當然也證明了他到底是不是有這樣的身份和這樣的能力
[00:00:26.640 --> 00:00:27.400]  於是乎
[00:00:27.400 --> 00:00:30.580]  所以我們就明白在二章第十九節那裏
[00:00:30.580 --> 00:00:32.120]  就接下來我們讀的經文
[00:00:32.120 --> 00:00:35.320]  看的經文就是第一個公開的神蹟
[00:00:35.320 --> 00:00:39.320]  原來住在耶利哥的人對於以利沙
[00:00:39.320 --> 00:00:43.560]  提到當他們的水質有問題出現了
[00:00:43.560 --> 00:00:48.200]  以利沙就奉神的口諭去處理這個問題
[00:00:48.200 --> 00:00:52.680]  而這裏剛剛就是這位接任以利亞的接班人
[00:00:52.680 --> 00:00:56.740]  以利沙第一個公開的神蹟
[00:00:56.740 --> 00:00:59.480]  就讓我們從這個神蹟裏面去學習
[00:00:59.480 --> 00:01:01.620]  作爲服侍神的人
[00:01:01.620 --> 00:01:03.060]  作爲服侍神的人
[00:01:03.060 --> 00:01:04.920]  有幾樣東西是很重要
[00:01:04.920 --> 00:01:06.440]  值得我們今天來學習
[00:01:06.440 --> 00:01:07.280]  第一樣東西
[00:01:07.280 --> 00:01:11.460]  我們必須要有一個主動幫助人的熱情
[00:01:11.460 --> 00:01:14.840]  我們必須要有一個主動幫助人的熱情
[00:01:14.840 --> 00:01:18.640]  你有沒有留意第十九節這裏
[00:01:18.640 --> 00:01:22.180]  這裏一開始的時候就告訴我們
[00:01:22.180 --> 00:01:25.980]  整件事情發生的地點就是耶利哥
[00:01:25.980 --> 00:01:27.660]  到底耶利哥在哪裏呢?
[00:01:27.660 --> 00:01:30.820]  大家有沒有看到這個地圖
[00:01:30.820 --> 00:01:32.440]  鹽海這個地方
[00:01:32.440 --> 00:01:34.260]  鹽海這個地方
[00:01:34.260 --> 00:01:39.140]  就是在這個熒光幕裏面最下的一個地點
[00:01:39.140 --> 00:01:42.440]  鹽海就是中間有一個白色的洞的位置
[00:01:42.440 --> 00:01:47.000]  在鹽海的鹽字的頂頭上的位置
[00:01:47.000 --> 00:01:48.220]  你有沒有看到耶利哥
[00:01:48.220 --> 00:01:48.880]  雖然很小
[00:01:48.880 --> 00:01:49.740]  可能不一定能夠看到
[00:01:49.740 --> 00:01:50.760]  但是我告訴你
[00:01:50.760 --> 00:01:53.620]  其實這個位置就在鹽海的北面
[00:01:53.620 --> 00:01:55.800]  你現在看上去是最頂的位置
[00:01:56.460 --> 00:01:58.040]  如果你看到耶路撒冷的話
[00:01:58.040 --> 00:02:00.040]  就在耶路撒冷的另一邊
[00:02:00.040 --> 00:02:00.780]  在旁邊而已
[00:02:00.780 --> 00:02:02.480]  耶利哥就在那個位置
[00:02:02.480 --> 00:02:07.020]  耶利哥就位於死海以北十公里
[00:02:07.020 --> 00:02:09.440]  耶路撒冷的東北十四公里
[00:02:09.440 --> 00:02:12.640]  耶利哥是全世界最低的地方
[00:02:12.640 --> 00:02:13.860]  最低的城市
[00:02:13.860 --> 00:02:18.380]  這個區裏面是海平面以下三百公尺的
[00:02:18.380 --> 00:02:22.740]  全區位於海平面三百公尺以下
[00:02:22.740 --> 00:02:25.120]  我們看到氣候十分炎熱
[00:02:25.120 --> 00:02:27.320]  熱日強光照射之下
[00:02:27.320 --> 00:02:28.760]  基本上你可以想象
[00:02:28.760 --> 00:02:30.500]  應該是寸草不生的
[00:02:30.500 --> 00:02:33.060]  由耶路撒冷一直過去的時候
[00:02:33.060 --> 00:02:34.800]  四周盡都是沙漠
[00:02:34.800 --> 00:02:37.720]  但是在這個荒蕪的地方
[00:02:37.720 --> 00:02:39.940]  卻一直有人來居住
[00:02:39.940 --> 00:02:42.140]  而且現在也成爲巴勒斯坦
[00:02:42.140 --> 00:02:43.960]  其中一個最重要的城市之一
[00:02:43.960 --> 00:02:47.340]  也是旅遊的一個景點
[00:02:47.340 --> 00:02:49.060]  因爲自古以來
[00:02:49.060 --> 00:02:54.520]  耶利哥就有地下的水泉來滋養這個地方
[00:02:54.520 --> 00:02:58.600]  來生產很多的菜蔬、水果等等的美食
[00:02:58.600 --> 00:03:01.580]  所以耶利哥有一個稱呼叫做
[00:03:01.580 --> 00:03:04.820]  "中旅泉之鄉"這個美語
