
[00:00:00.000 --> 00:00:03.940]  咁今日呢同大家呢係會講曬嘅應該呢個老弟家教會
[00:00:03.940 --> 00:00:07.340]  老弟家教會呢如果你講七個教會嚟講呢
[00:00:07.340 --> 00:00:08.900]  佢有好多好特別嘅地方嘅
[00:00:08.900 --> 00:00:10.900]  第一呢就係
[00:00:10.900 --> 00:00:14.640]  只係得個責備冇稱讚嘅
[00:00:14.640 --> 00:00:17.140]  即係如果你話最唔好嘅教會呢
[00:00:17.140 --> 00:00:21.060]  你真係可以講呢個老弟家教會啦
[00:00:21.060 --> 00:00:23.760]  因為每一個教會都有唔多唔少
[00:00:23.760 --> 00:00:27.060]  有少少嘢呀有啲多啲有啲少啲嘅稱讚
[00:00:27.060 --> 00:00:29.060]  有啲就全部稱讚冇責備
[00:00:29.060 --> 00:00:31.740]  譬如善美娜同埋菲拉鐵飛教會呢
[00:00:31.740 --> 00:00:33.740]  係有稱讚冇責備嘅
[00:00:33.740 --> 00:00:35.740]  因為佢哋為主受苦
[00:00:35.740 --> 00:00:37.740]  同埋呢係彼此相愛呀
[00:00:37.740 --> 00:00:39.740]  所以呢完全冇責備佢哋
[00:00:39.740 --> 00:00:41.740]  係鼓勵佢哋
[00:00:41.740 --> 00:00:43.740]  以分所第一個教會點呢
[00:00:43.740 --> 00:00:47.000]  做咗好多好事多為呀七樣好嘢
[00:00:47.000 --> 00:00:49.000]  夠犀利啦七樣好嘢喎
[00:00:49.000 --> 00:00:52.000]  但係就有一樣嘢耶穌基督係責備佢哋嘅
[00:00:52.000 --> 00:00:55.500]  就係話呢失去咗個起初嘅愛心
[00:00:55.500 --> 00:00:57.500]  你失去咗起初嘅愛心呢
[00:00:57.500 --> 00:00:59.500]  你幾好呢都係假嘅係咪呀
[00:00:59.500 --> 00:01:02.500]  即係譬如你用得好簡單呀譬如你一對夫婦
[00:01:02.500 --> 00:01:06.500]  就算你初初結婚應該就ok嘅係咪
[00:01:06.500 --> 00:01:08.500]  但係整下整下呢一年呀五年呀
[00:01:08.500 --> 00:01:10.500]  七年呀十年呀二十年呀三十年之後呢
[00:01:10.500 --> 00:01:13.500]  發覺冇咗嗰個愛喎
[00:01:13.500 --> 00:01:15.500]  起初嗰種嘅愛喎
[00:01:15.500 --> 00:01:17.500]  就算你畀大屋大車
[00:01:17.500 --> 00:01:19.500]  乜嘢都畀曬佢
[00:01:19.500 --> 00:01:21.500]  銀行嘅大戶口畀曬佢
[00:01:21.500 --> 00:01:23.500]  咁又點呢咁又點呢
[00:01:23.500 --> 00:01:25.500]  係咪所以呢
[00:01:25.500 --> 00:01:27.500]  爭嗰樣最重要嘅嘢呢
[00:01:27.500 --> 00:01:29.500]  都係有問題嘅
[00:01:29.500 --> 00:01:33.500]  嚟到呢個老弟家教會呢
[00:01:33.500 --> 00:01:34.500]  正如我話啦
[00:01:34.500 --> 00:01:37.500]  佢真係冇一樣嘢係稱讚佢㗎喎
[00:01:37.500 --> 00:01:39.500]  但係咪咁佢就係叫做
[00:01:39.500 --> 00:01:41.500]  元旦呢
