
[00:00:00.000 --> 00:00:03.320]  我們繼續思想李希米記的信息
[00:00:03.320 --> 00:00:05.680]  開始的時候請我們同心低頭,我們同祈禱
[00:00:05.680 --> 00:00:06.840]  天父,我再一次感謝祢
[00:00:06.840 --> 00:00:09.160]  讓祢寶貴的話語作為我們生命的指引
[00:00:09.160 --> 00:00:16.400]  求祢藉著祢的話語去提醒、勸勉、教導、安慰、督責、挑戰、改變我們
[00:00:16.400 --> 00:00:18.800]  祈禱奉耶穌名求,阿們
[00:00:18.800 --> 00:00:21.800]  在1960年美國總統競選的時候
[00:00:21.800 --> 00:00:27.000]  一般人都以為代表共和黨的參選人尼克遜
[00:00:27.000 --> 00:00:31.000]  一定可以拿到這次的競選
[00:00:31.000 --> 00:00:35.000]  對手是一個參議員,甘迺迪
[00:00:35.000 --> 00:00:38.000]  尼克遜是做過很多年的副總統
[00:00:38.000 --> 00:00:42.600]  也都無論在外交或者內政方面是富有經驗
[00:00:42.600 --> 00:00:45.400]  所以一般人都看他是看得好一點
[00:00:45.400 --> 00:00:48.200]  但是怎知道在這一次的競選裡面
[00:00:48.200 --> 00:00:50.400]  甘迺迪就贏了
[00:00:50.400 --> 00:00:54.000]  一般的分析家、政治評論家
[00:00:54.000 --> 00:00:56.000]  都是說出一樣東西
[00:00:56.000 --> 00:00:59.800]  尼克遜輸就輸在一次的電視辯論
[00:00:59.800 --> 00:01:01.600]  在這一次的辯論裡面
[00:01:01.600 --> 00:01:07.400]  甘迺迪無論在儀表、談吐、口才、機智
[00:01:07.400 --> 00:01:09.400]  都是遠遠勝過尼克遜
[00:01:09.400 --> 00:01:11.600]  樣子都帥很多
[00:01:11.600 --> 00:01:12.800]  高也高很多
[00:01:12.800 --> 00:01:15.800]  原來在美國競選總統除了兩次之外
[00:01:15.800 --> 00:01:17.800]  其餘全部是高的贏
[00:01:17.800 --> 00:01:24.400]  尼克遜知道自己在口才、儀表方面
[00:01:24.400 --> 00:01:26.400]  不及甘迺迪
[00:01:26.400 --> 00:01:28.400]  所以就一於人身攻擊
[00:01:28.400 --> 00:01:30.400]  在辯論裡面他就這樣說
[00:01:30.400 --> 00:01:32.400]  甘迺迪先生
[00:01:32.400 --> 00:01:34.400]  他沒有資格做總統
[00:01:34.400 --> 00:01:38.400]  甚至連做參議員的資格都沒有
[00:01:38.400 --> 00:01:40.400]  因為眾所共知
[00:01:40.400 --> 00:01:42.400]  他是例牌遲到的
[00:01:42.400 --> 00:01:44.400]  每逢開會
[00:01:44.400 --> 00:01:47.400]  每個人都要等他
[00:01:47.400 --> 00:01:48.800]  經常遲到
[00:01:48.800 --> 00:01:50.800]  這些不負責任的行為
[00:01:50.800 --> 00:01:54.800]  怎麼可以去領導整個美國做總統呢
[00:01:54.800 --> 00:01:56.800]  這一招很厲害
[00:01:56.800 --> 00:01:58.800]  攻擊他
[00:01:58.800 --> 00:02:00.800]  比你撒謊更厲害
[00:02:00.800 --> 00:02:02.800]  誰知道
[00:02:02.800 --> 00:02:04.800]  甘迺迪急才過人
[00:02:04.800 --> 00:02:06.800]  輕描淡寫去應對
[00:02:06.800 --> 00:02:08.800]  他說尼克遜先生說這句話
[00:02:08.800 --> 00:02:10.800]  一點都沒有錯
[00:02:10.800 --> 00:02:12.800]  我是經常遲到的
[00:02:12.800 --> 00:02:14.800]  就因為這樣的緣故
[00:02:14.800 --> 00:02:16.800]  我不是很適合做參議員
[00:02:16.800 --> 00:02:18.800]  但我只是適合做總統
[00:02:18.800 --> 00:02:22.800]  引得全場的掌聲
[00:02:22.800 --> 00:02:24.800]  結果他贏了
[00:02:24.800 --> 00:02:26.800]  經過了這次慘痛的失敗之後
[00:02:26.800 --> 00:02:29.800]  尼克遜的幕僚了解到一件事
[00:02:29.800 --> 00:02:31.800]  原來那些選民投票
[00:02:31.800 --> 00:02:34.800]  不是投你有多少經驗
[00:02:34.800 --> 00:02:37.800]  不是選你有多少才幹
[00:02:37.800 --> 00:02:39.800]  而是選你的樣子
[00:02:39.800 --> 00:02:41.800]  選你的形象
[00:02:41.800 --> 00:02:43.800]  你的形象好的時候
[00:02:43.800 --> 00:02:44.800]  他就投你一票
[00:02:44.800 --> 00:02:46.800]  就算你有經驗
[00:02:46.800 --> 00:02:48.800]  你打不出來的時候
[00:02:48.800 --> 00:02:50.800]  人家不會投票
[00:02:50.800 --> 00:02:52.800]  所以他的幕僚
[00:02:52.800 --> 00:02:54.800]  這個叫做喬·麥金尼斯
[00:02:54.800 --> 00:02:56.800]  開始轉變態度
[00:02:56.800 --> 00:02:58.800]  轉變計劃
[00:02:58.800 --> 00:03:00.800]  在1968年
[00:03:00.800 --> 00:03:02.800]  總統競選捲土重來
[00:03:02.800 --> 00:03:04.800]  於是就用很多的錢
[00:03:04.800 --> 00:03:06.800]  用很多的心機
[00:03:06.800 --> 00:03:08.800]  去製造尼克遜的不同的形象
[00:03:08.800 --> 00:03:10.800]  購買電視的廣告
[00:03:10.800 --> 00:03:12.800]  刻意製造尼克遜
[00:03:12.800 --> 00:03:14.800]  是一個很有儀表
[00:03:14.800 --> 00:03:16.800]  很有才幹
[00:03:16.800 --> 00:03:18.800]  很有口才的一個領袖
[00:03:18.800 --> 00:03:20.800]  廣告而已
[00:03:20.800 --> 00:03:22.800]  拍戲而已
[00:03:22.800 --> 00:03:24.800]  可以找人做妹
[00:03:24.800 --> 00:03:26.800]  又可以化妝
[00:03:26.800 --> 00:03:28.800]  又染頭髮
[00:03:28.800 --> 00:03:30.800]  好像我都染了頭髮才過來
[00:03:30.800 --> 00:03:32.800]  讓你知道我都稍微可以見得光
[00:03:32.800 --> 00:03:34.800]  人就是這樣
[00:03:34.800 --> 00:03:36.800]  看你做戲做得好不好
[00:03:36.800 --> 00:03:38.800]  你可以做到毫無瑕疵
[00:03:38.800 --> 00:03:40.800]  如果有瑕疵就再做
[00:03:40.800 --> 00:03:42.800]  再用錢再做
[00:03:42.800 --> 00:03:44.800]  再用錢再做
[00:03:44.800 --> 00:03:46.800]  結果尼克遜就兩次獲選總統
[00:03:46.800 --> 00:03:50.800]  這件事給我們看到一個很有趣
[00:03:50.800 --> 00:03:52.800]  近代的真理
[00:03:52.800 --> 00:03:54.800]  人是看你外表
[00:03:54.800 --> 00:03:56.800]  是一個義勇
[00:03:56.800 --> 00:03:58.800]  一個領袖
[00:03:58.800 --> 00:04:00.800]  我想很久以前
[00:04:00.800 --> 00:04:02.800]  香港有一套戲叫英雄本色
[00:04:02.800 --> 00:04:04.800]  如果英雄本色
[00:04:04.800 --> 00:04:06.800]  Mark哥周潤發
[00:04:06.800 --> 00:04:08.800]  擺的樣子真是有型有款
[00:04:08.800 --> 00:04:10.800]  如果你說找曾志偉去做
[00:04:10.800 --> 00:04:12.800]  是不對的
[00:04:12.800 --> 00:04:14.800]  你的形象不同
[00:04:14.800 --> 00:04:16.800]  擺出來的款式是很重要的
[00:04:16.800 --> 00:04:18.800]  所以尼克遜
[00:04:18.800 --> 00:04:20.800]  一出場的時候
[00:04:20.800 --> 00:04:22.800]  因為他有很多廣告
